Reference area,Time Period,Unit of measure,Obs value,Obs status,Unit mult,Decimals,Freq,Country-iso3,Indicator name
#geo+reference+area,#date,#meta+unit+measure+name,#indicator+value+num,,#meta+unit+mult+name,#meta+decimals,#indicator+frequency,#country+iso3,#indicator+name
MW,1970,BIRTH_R_WOMEN,7.303,A,0,5,A,MWI,FR
MW,1971,BIRTH_R_WOMEN,7.345,A,0,5,A,MWI,FR
MW,1972,BIRTH_R_WOMEN,7.389,A,0,5,A,MWI,FR
MW,1973,BIRTH_R_WOMEN,7.432,A,0,5,A,MWI,FR
MW,1974,BIRTH_R_WOMEN,7.476,A,0,5,A,MWI,FR
MW,1975,BIRTH_R_WOMEN,7.517,A,0,5,A,MWI,FR
MW,1976,BIRTH_R_WOMEN,7.556,A,0,5,A,MWI,FR
MW,1977,BIRTH_R_WOMEN,7.59,A,0,5,A,MWI,FR
MW,1978,BIRTH_R_WOMEN,7.618,A,0,5,A,MWI,FR
MW,1979,BIRTH_R_WOMEN,7.636,A,0,5,A,MWI,FR
MW,1980,BIRTH_R_WOMEN,7.643,A,0,5,A,MWI,FR
MW,1981,BIRTH_R_WOMEN,7.637,A,0,5,A,MWI,FR
MW,1982,BIRTH_R_WOMEN,7.618,A,0,5,A,MWI,FR
MW,1983,BIRTH_R_WOMEN,7.585,A,0,5,A,MWI,FR
MW,1984,BIRTH_R_WOMEN,7.538,A,0,5,A,MWI,FR
MW,1985,BIRTH_R_WOMEN,7.474,A,0,5,A,MWI,FR
MW,1986,BIRTH_R_WOMEN,7.392,A,0,5,A,MWI,FR
MW,1987,BIRTH_R_WOMEN,7.291,A,0,5,A,MWI,FR
MW,1988,BIRTH_R_WOMEN,7.176,A,0,5,A,MWI,FR
MW,1989,BIRTH_R_WOMEN,7.051,A,0,5,A,MWI,FR
MW,1990,BIRTH_R_WOMEN,6.922,A,0,5,A,MWI,FR
MW,1991,BIRTH_R_WOMEN,6.798,A,0,5,A,MWI,FR
MW,1992,BIRTH_R_WOMEN,6.683,A,0,5,A,MWI,FR
MW,1993,BIRTH_R_WOMEN,6.582,A,0,5,A,MWI,FR
MW,1994,BIRTH_R_WOMEN,6.495,A,0,5,A,MWI,FR
MW,1995,BIRTH_R_WOMEN,6.424,A,0,5,A,MWI,FR
MW,1996,BIRTH_R_WOMEN,6.364,A,0,5,A,MWI,FR
MW,1997,BIRTH_R_WOMEN,6.31,A,0,5,A,MWI,FR
MW,1998,BIRTH_R_WOMEN,6.257,A,0,5,A,MWI,FR
MW,1999,BIRTH_R_WOMEN,6.203,A,0,5,A,MWI,FR
MW,2000,BIRTH_R_WOMEN,6.149,A,0,5,A,MWI,FR
MW,2001,BIRTH_R_WOMEN,6.097,A,0,5,A,MWI,FR
MW,2002,BIRTH_R_WOMEN,6.049,A,0,5,A,MWI,FR
MW,2003,BIRTH_R_WOMEN,6.003,A,0,5,A,MWI,FR
MW,2004,BIRTH_R_WOMEN,5.958,A,0,5,A,MWI,FR
MW,2005,BIRTH_R_WOMEN,5.903,A,0,5,A,MWI,FR
MW,2006,BIRTH_R_WOMEN,5.83,A,0,5,A,MWI,FR
MW,2007,BIRTH_R_WOMEN,5.733,A,0,5,A,MWI,FR
MW,2008,BIRTH_R_WOMEN,5.611,A,0,5,A,MWI,FR
MW,2009,BIRTH_R_WOMEN,5.467,A,0,5,A,MWI,FR
MW,2010,BIRTH_R_WOMEN,5.308,A,0,5,A,MWI,FR
MW,2011,BIRTH_R_WOMEN,5.146,A,0,5,A,MWI,FR
MW,2012,BIRTH_R_WOMEN,4.992,A,0,5,A,MWI,FR
MW,2013,BIRTH_R_WOMEN,4.856,A,0,5,A,MWI,FR
MW,2014,BIRTH_R_WOMEN,4.74,A,0,5,A,MWI,FR
MW,2015,BIRTH_R_WOMEN,4.646,A,0,5,A,MWI,FR
MW,2016,BIRTH_R_WOMEN,4.571,A,0,5,A,MWI,FR
MW,2017,BIRTH_R_WOMEN,4.505,A,0,5,A,MWI,FR
