Reference area,Time Period,Unit of measure,Obs value,Obs status,Unit mult,Decimals,Freq,Country-iso3,Indicator name
#geo+reference+area,#date,#meta+unit+measure+name,#indicator+value+num,,#meta+unit+mult+name,#meta+decimals,#indicator+frequency,#country+iso3,#indicator+name
MW,1970,USD_CUR,63.107969999999995,A,0,5,A,MWI,GDP_CAP
MW,1970,LCU_CUR,52.587869999999995,A,0,5,A,MWI,GDP_CAP
MW,1971,USD_CUR,77.27001,A,0,5,A,MWI,GDP_CAP
MW,1971,LCU_CUR,64.20365,A,0,5,A,MWI,GDP_CAP
MW,1972,USD_CUR,83.55874,A,0,5,A,MWI,GDP_CAP
MW,1972,LCU_CUR,66.98068,A,0,5,A,MWI,GDP_CAP
MW,1973,LCU_CUR,72.84458000000001,A,0,5,A,MWI,GDP_CAP
MW,1973,USD_CUR,88.91075,A,0,5,A,MWI,GDP_CAP
MW,1974,USD_CUR,106.71065,A,0,5,A,MWI,GDP_CAP
MW,1974,LCU_CUR,89.765,A,0,5,A,MWI,GDP_CAP
MW,1975,USD_CUR,115.85923000000001,A,0,5,A,MWI,GDP_CAP
MW,1975,LCU_CUR,100.0792,A,0,5,A,MWI,GDP_CAP
MW,1976,LCU_CUR,112.19672,A,0,5,A,MWI,GDP_CAP
MW,1976,USD_CUR,122.88797,A,0,5,A,MWI,GDP_CAP
MW,1977,LCU_CUR,129.36397,A,0,5,A,MWI,GDP_CAP
MW,1977,USD_CUR,143.27608,A,0,5,A,MWI,GDP_CAP
MW,1978,LCU_CUR,137.88898999999998,A,0,5,A,MWI,GDP_CAP
MW,1978,USD_CUR,163.43367,A,0,5,A,MWI,GDP_CAP
MW,1979,LCU_CUR,144.4123,A,0,5,A,MWI,GDP_CAP
MW,1979,USD_CUR,176.78088,A,0,5,A,MWI,GDP_CAP
MW,1980,LCU_CUR,163.08404,A,0,5,A,MWI,GDP_CAP
MW,1980,USD_CUR,200.81769,A,0,5,A,MWI,GDP_CAP
MW,1981,LCU_CUR,175.12255,A,0,5,A,MWI,GDP_CAP
MW,1981,USD_CUR,195.60209,A,0,5,A,MWI,GDP_CAP
MW,1982,LCU_CUR,192.09025,A,0,5,A,MWI,GDP_CAP
MW,1982,USD_CUR,181.98981,A,0,5,A,MWI,GDP_CAP
MW,1983,LCU_CUR,215.72176000000002,A,0,5,A,MWI,GDP_CAP
MW,1983,USD_CUR,183.62425,A,0,5,A,MWI,GDP_CAP
