Reference area,Time Period,Unit of measure,Obs value,Obs status,Unit mult,Decimals,Freq,Country-iso3,Indicator name
#geo+reference+area,#date,#meta+unit+measure+name,#indicator+value+num,,#meta+unit+mult+name,#meta+decimals,#indicator+frequency,#country+iso3,#indicator+name
MW,1990,INTER_CUR,480.88473,A,0,5,A,MWI,GDP_CAP_PPP
MW,1991,INTER_CUR,528.86145,A,0,5,A,MWI,GDP_CAP_PPP
MW,1992,INTER_CUR,496.68917000000005,A,0,5,A,MWI,GDP_CAP_PPP
MW,1993,INTER_CUR,556.29581,A,0,5,A,MWI,GDP_CAP_PPP
MW,1994,INTER_CUR,507.81618,A,0,5,A,MWI,GDP_CAP_PPP
MW,1995,INTER_CUR,598.28455,A,0,5,A,MWI,GDP_CAP_PPP
MW,1996,INTER_CUR,640.80132,A,0,5,A,MWI,GDP_CAP_PPP
MW,1997,INTER_CUR,658.75806,A,0,5,A,MWI,GDP_CAP_PPP
MW,1998,INTER_CUR,670.97824,A,0,5,A,MWI,GDP_CAP_PPP
MW,1999,INTER_CUR,680.38626,A,0,5,A,MWI,GDP_CAP_PPP
MW,2000,INTER_CUR,686.21928,A,0,5,A,MWI,GDP_CAP_PPP
MW,2001,INTER_CUR,648.71045,A,0,5,A,MWI,GDP_CAP_PPP
MW,2002,INTER_CUR,652.14361,A,0,5,A,MWI,GDP_CAP_PPP
MW,2003,INTER_CUR,684.6914400000001,A,0,5,A,MWI,GDP_CAP_PPP
MW,2004,INTER_CUR,721.79792,A,0,5,A,MWI,GDP_CAP_PPP
MW,2005,INTER_CUR,747.9179,A,0,5,A,MWI,GDP_CAP_PPP
MW,2006,INTER_CUR,783.71518,A,0,5,A,MWI,GDP_CAP_PPP
MW,2007,INTER_CUR,855.58148,A,0,5,A,MWI,GDP_CAP_PPP
MW,2008,INTER_CUR,910.70069,A,0,5,A,MWI,GDP_CAP_PPP
MW,2009,INTER_CUR,964.0855300000001,A,0,5,A,MWI,GDP_CAP_PPP
MW,2010,INTER_CUR,1011.82669,A,0,5,A,MWI,GDP_CAP_PPP
MW,2011,INTER_CUR,1051.186,A,0,5,A,MWI,GDP_CAP_PPP
MW,2012,INTER_CUR,1059.70029,A,0,5,A,MWI,GDP_CAP_PPP
MW,2013,INTER_CUR,1101.5333,A,0,5,A,MWI,GDP_CAP_PPP
MW,2014,INTER_CUR,1152.17392,A,0,5,A,MWI,GDP_CAP_PPP
MW,2015,INTER_CUR,1162.7159,A,0,5,A,MWI,GDP_CAP_PPP
MW,2016,INTER_CUR,1170.1398199999999,A,0,5,A,MWI,GDP_CAP_PPP
MW,2017,INTER_CUR,1204.74835,A,0,5,A,MWI,GDP_CAP_PPP
