Reference area,Time Period,Unit of measure,Obs value,Obs status,Unit mult,Decimals,Freq,Country-iso3,Indicator name
#geo+reference+area,#date,#meta+unit+measure+name,#indicator+value+num,,#meta+unit+mult+name,#meta+decimals,#indicator+frequency,#country+iso3,#indicator+name
MW,1970,PT,0.11667000000000001,A,0,5,A,MWI,GDP_DEFL
MW,1971,PT,0.12589,A,0,5,A,MWI,GDP_DEFL
MW,1972,PT,0.12705,A,0,5,A,MWI,GDP_DEFL
MW,1973,PT,0.13888,A,0,5,A,MWI,GDP_DEFL
MW,1974,PT,0.1643,A,0,5,A,MWI,GDP_DEFL
MW,1975,PT,0.17775,A,0,5,A,MWI,GDP_DEFL
MW,1976,PT,0.1956,A,0,5,A,MWI,GDP_DEFL
MW,1977,PT,0.22175999999999998,A,0,5,A,MWI,GDP_DEFL
MW,1978,PT,0.22225,A,0,5,A,MWI,GDP_DEFL
MW,1979,PT,0.22985999999999998,A,0,5,A,MWI,GDP_DEFL
MW,1980,PT,0.26616,A,0,5,A,MWI,GDP_DEFL
MW,1981,PT,0.30982,A,0,5,A,MWI,GDP_DEFL
MW,1982,PT,0.33976,A,0,5,A,MWI,GDP_DEFL
MW,1983,PT,0.37792,A,0,5,A,MWI,GDP_DEFL
MW,1984,PT,0.42618,A,0,5,A,MWI,GDP_DEFL
MW,1985,PT,0.46425,A,0,5,A,MWI,GDP_DEFL
MW,1986,PT,0.52696,A,0,5,A,MWI,GDP_DEFL
MW,1987,PT,0.6150899999999999,A,0,5,A,MWI,GDP_DEFL
MW,1988,PT,0.80633,A,0,5,A,MWI,GDP_DEFL
MW,1989,PT,0.9878299999999999,A,0,5,A,MWI,GDP_DEFL
MW,1990,PT,1.09314,A,0,5,A,MWI,GDP_DEFL
MW,1991,PT,1.21003,A,0,5,A,MWI,GDP_DEFL
MW,1992,PT,1.37068,A,0,5,A,MWI,GDP_DEFL
MW,1993,PT,1.7568599999999999,A,0,5,A,MWI,GDP_DEFL
MW,1994,PT,2.21666,A,0,5,A,MWI,GDP_DEFL
MW,1995,PT,3.92836,A,0,5,A,MWI,GDP_DEFL
MW,1996,PT,5.98468,A,0,5,A,MWI,GDP_DEFL
MW,1997,PT,7.23158,A,0,5,A,MWI,GDP_DEFL
MW,1998,PT,8.64525,A,0,5,A,MWI,GDP_DEFL
MW,1999,PT,12.07661,A,0,5,A,MWI,GDP_DEFL
MW,2000,PT,15.764079999999998,A,0,5,A,MWI,GDP_DEFL
MW,2001,PT,19.80323,A,0,5,A,MWI,GDP_DEFL
MW,2002,PT,42.12021,A,0,5,A,MWI,GDP_DEFL
MW,2003,PT,46.478,A,0,5,A,MWI,GDP_DEFL
MW,2004,PT,53.37842,A,0,5,A,MWI,GDP_DEFL
MW,2005,PT,59.11192,A,0,5,A,MWI,GDP_DEFL
MW,2006,PT,70.91495,A,0,5,A,MWI,GDP_DEFL
MW,2007,PT,73.82226999999999,A,0,5,A,MWI,GDP_DEFL
MW,2008,PT,82.65486,A,0,5,A,MWI,GDP_DEFL
MW,2009,PT,89.18444000000001,A,0,5,A,MWI,GDP_DEFL
MW,2010,PT,100.0,A,0,5,A,MWI,GDP_DEFL
MW,2011,PT,114.07576,A,0,5,A,MWI,GDP_DEFL
MW,2012,PT,134.21708999999998,A,0,5,A,MWI,GDP_DEFL
MW,2013,PT,170.85889,A,0,5,A,MWI,GDP_DEFL
MW,2014,PT,206.54056,A,0,5,A,MWI,GDP_DEFL
MW,2015,PT,248.95295,A,0,5,A,MWI,GDP_DEFL
MW,2016,PT,297.60865,A,0,5,A,MWI,GDP_DEFL
MW,2017,PT,337.67125,A,0,5,A,MWI,GDP_DEFL
