Reference area,Time Period,Unit of measure,Obs value,Obs status,Unit mult,Decimals,Freq,Country-iso3,Indicator name
#geo+reference+area,#date,#meta+unit+measure+name,#indicator+value+num,,#meta+unit+mult+name,#meta+decimals,#indicator+frequency,#country+iso3,#indicator+name
MW,1970,LCU_CUR,236100000.0,A,0,5,A,MWI,GNI
MW,1971,LCU_CUR,300300000.0,A,0,5,A,MWI,GNI
MW,1972,LCU_CUR,321800000.0,A,0,5,A,MWI,GNI
MW,1973,LCU_CUR,364800000.0,A,0,5,A,MWI,GNI
MW,1974,LCU_CUR,473900000.0,A,0,5,A,MWI,GNI
MW,1975,LCU_CUR,537700000.0,A,0,5,A,MWI,GNI
MW,1976,LCU_CUR,594000000.0,A,0,5,A,MWI,GNI
MW,1977,LCU_CUR,705000000.0,A,0,5,A,MWI,GNI
MW,1978,LCU_CUR,769200000.0,A,0,5,A,MWI,GNI
MW,1979,LCU_CUR,808200000.0,A,0,5,A,MWI,GNI
MW,1980,LCU_CUR,924000000.0,A,0,5,A,MWI,GNI
MW,1981,LCU_CUR,1033900000.0,A,0,5,A,MWI,GNI
MW,1982,LCU_CUR,1171600000.0,A,0,5,A,MWI,GNI
MW,1983,LCU_CUR,1353700000.0,A,0,5,A,MWI,GNI
MW,1984,LCU_CUR,1628600100.0,A,0,5,A,MWI,GNI
MW,1985,LCU_CUR,1854000000.0,A,0,5,A,MWI,GNI
MW,1986,LCU_CUR,2090000000.0,A,0,5,A,MWI,GNI
MW,1987,LCU_CUR,2487399900.0,A,0,5,A,MWI,GNI
MW,1988,LCU_CUR,3396500000.0,A,0,5,A,MWI,GNI
MW,1989,LCU_CUR,4250599900.0,A,0,5,A,MWI,GNI
MW,1990,LCU_CUR,5014237700.0,A,0,5,A,MWI,GNI
MW,1991,LCU_CUR,6046799900.0,A,0,5,A,MWI,GNI
MW,1992,LCU_CUR,6343701000.0,A,0,5,A,MWI,GNI
MW,1993,LCU_CUR,8932600800.0,A,0,5,A,MWI,GNI
MW,1994,LCU_CUR,9947239400.0,A,0,5,A,MWI,GNI
MW,1995,LCU_CUR,20634001400.0,A,0,5,A,MWI,GNI
MW,1996,LCU_CUR,34322180100.0,A,0,5,A,MWI,GNI
MW,1997,LCU_CUR,43116929000.0,A,0,5,A,MWI,GNI
MW,1998,LCU_CUR,53107441700.0,A,0,5,A,MWI,GNI
MW,1999,LCU_CUR,76457001000.0,A,0,5,A,MWI,GNI
MW,2000,LCU_CUR,101650603300.0,A,0,5,A,MWI,GNI
MW,2001,LCU_CUR,121534024500.0,A,0,5,A,MWI,GNI
MW,2002,LCU_CUR,264663213800.00006,A,0,5,A,MWI,GNI
MW,2003,LCU_CUR,308634682300.0,A,0,5,A,MWI,GNI
MW,2004,LCU_CUR,373570811500.0,A,0,5,A,MWI,GNI
MW,2005,LCU_CUR,428214550200.0,A,0,5,A,MWI,GNI
MW,2006,LCU_CUR,538642845200.0,A,0,5,A,MWI,GNI
MW,2007,LCU_CUR,617491509200.0,A,0,5,A,MWI,GNI
MW,2008,LCU_CUR,744579576800.0,A,0,5,A,MWI,GNI
MW,2009,LCU_CUR,865669988400.0,A,0,5,A,MWI,GNI
MW,2010,LCU_CUR,1031008077200.0,A,0,5,A,MWI,GNI
MW,2011,LCU_CUR,1234660661400.0,A,0,5,A,MWI,GNI
MW,2012,LCU_CUR,1467904081900.0,A,0,5,A,MWI,GNI
MW,2013,LCU_CUR,1952093033300.0,A,0,5,A,MWI,GNI
MW,2014,LCU_CUR,2497499222500.0,A,0,5,A,MWI,GNI
MW,2015,LCU_CUR,3082763641500.0,A,0,5,A,MWI,GNI
MW,2016,LCU_CUR,3800283532700.0,A,0,5,A,MWI,GNI
MW,2017,LCU_CUR,4499129213800.0,A,0,5,A,MWI,GNI
