Reference area,Time Period,Unit of measure,Obs value,Obs status,Unit mult,Decimals,Freq,Country-iso3,Indicator name
#geo+reference+area,#date,#meta+unit+measure+name,#indicator+value+num,,#meta+unit+mult+name,#meta+decimals,#indicator+frequency,#country+iso3,#indicator+name
MW,1990,INTER_CUR,470.0,A,0,5,A,MWI,GNI_CAP_PPP
MW,1991,INTER_CUR,520.0,A,0,5,A,MWI,GNI_CAP_PPP
MW,1992,INTER_CUR,490.0,A,0,5,A,MWI,GNI_CAP_PPP
MW,1993,INTER_CUR,550.0,A,0,5,A,MWI,GNI_CAP_PPP
MW,1994,INTER_CUR,490.0,A,0,5,A,MWI,GNI_CAP_PPP
MW,1995,INTER_CUR,580.0,A,0,5,A,MWI,GNI_CAP_PPP
MW,1996,INTER_CUR,630.0,A,0,5,A,MWI,GNI_CAP_PPP
MW,1997,INTER_CUR,650.0,A,0,5,A,MWI,GNI_CAP_PPP
MW,1998,INTER_CUR,660.0,A,0,5,A,MWI,GNI_CAP_PPP
MW,1999,INTER_CUR,660.0,A,0,5,A,MWI,GNI_CAP_PPP
MW,2000,INTER_CUR,670.0,A,0,5,A,MWI,GNI_CAP_PPP
MW,2001,INTER_CUR,640.0,A,0,5,A,MWI,GNI_CAP_PPP
MW,2002,INTER_CUR,640.0,A,0,5,A,MWI,GNI_CAP_PPP
MW,2003,INTER_CUR,680.0,A,0,5,A,MWI,GNI_CAP_PPP
MW,2004,INTER_CUR,710.0,A,0,5,A,MWI,GNI_CAP_PPP
MW,2005,INTER_CUR,740.0,A,0,5,A,MWI,GNI_CAP_PPP
MW,2006,INTER_CUR,780.0,A,0,5,A,MWI,GNI_CAP_PPP
MW,2007,INTER_CUR,850.0,A,0,5,A,MWI,GNI_CAP_PPP
MW,2008,INTER_CUR,910.0,A,0,5,A,MWI,GNI_CAP_PPP
MW,2009,INTER_CUR,950.0,A,0,5,A,MWI,GNI_CAP_PPP
MW,2010,INTER_CUR,1000.0,A,0,5,A,MWI,GNI_CAP_PPP
MW,2011,INTER_CUR,1040.0,A,0,5,A,MWI,GNI_CAP_PPP
MW,2012,INTER_CUR,1040.0,A,0,5,A,MWI,GNI_CAP_PPP
MW,2013,INTER_CUR,1070.0,A,0,5,A,MWI,GNI_CAP_PPP
MW,2014,INTER_CUR,1120.0,A,0,5,A,MWI,GNI_CAP_PPP
MW,2015,INTER_CUR,1130.0,A,0,5,A,MWI,GNI_CAP_PPP
MW,2016,INTER_CUR,1140.0,A,0,5,A,MWI,GNI_CAP_PPP
MW,2017,INTER_CUR,1180.0,A,0,5,A,MWI,GNI_CAP_PPP
