Reference area,Time Period,Unit of measure,Obs value,Obs status,Unit mult,Decimals,Freq,Country-iso3,Indicator name
#geo+reference+area,#date,#meta+unit+measure+name,#indicator+value+num,,#meta+unit+mult+name,#meta+decimals,#indicator+frequency,#country+iso3,#indicator+name
MW,2002,LCU_CUR,52077000000.0,A,0,5,A,MWI,GOV_EXP
MW,2003,LCU_CUR,67550000000.0,A,0,5,A,MWI,GOV_EXP
MW,2004,LCU_CUR,91222000000.0,A,0,5,A,MWI,GOV_EXP
MW,2005,LCU_CUR,105932000000.0,A,0,5,A,MWI,GOV_EXP
MW,2006,LCU_CUR,136066000000.0,A,0,5,A,MWI,GOV_EXP
MW,2007,LCU_CUR,181035000000.0,A,0,5,A,MWI,GOV_EXP
MW,2008,LCU_CUR,217310000000.0,A,0,5,A,MWI,GOV_EXP
MW,2009,LCU_CUR,247143000000.0,A,0,5,A,MWI,GOV_EXP
MW,2010,LCU_CUR,288066000000.0,A,0,5,A,MWI,GOV_EXP
MW,2011,LCU_CUR,299805000000.0,A,0,5,A,MWI,GOV_EXP
MW,2012,LCU_CUR,398235000000.0,A,0,5,A,MWI,GOV_EXP
MW,2013,LCU_CUR,595903000000.0,A,0,5,A,MWI,GOV_EXP
MW,2014,LCU_CUR,668746000000.0,A,0,5,A,MWI,GOV_EXP
MW,2015,LCU_CUR,884017000000.0,A,0,5,A,MWI,GOV_EXP
MW,2016,LCU_CUR,1096644000000.0,A,0,5,A,MWI,GOV_EXP
MW,2017,LCU_CUR,1375331000000.0,A,0,5,A,MWI,GOV_EXP
MW,2018,LCU_CUR,1369704000000.0,A,0,5,A,MWI,GOV_EXP
MW,2019,LCU_CUR,1494176000000.0,A,0,5,A,MWI,GOV_EXP
