Age,Reference area,Sex,Time Period,Unit of measure,Obs value,Obs status,Unit mult,Decimals,Freq,Country-iso3,Indicator name
#group+age,#geo+reference+area,#group+sex,#date,#meta+unit+measure+name,#indicator+value+num,,#meta+unit+mult+name,#meta+decimals,#indicator+frequency,#country+iso3,#indicator+name
Y_GE15,MW,_T,1991,PT,71.3,A,0,5,A,MWI,ILO_ETPR
Y_GE15,MW,F,1991,PT,69.2,A,0,5,A,MWI,ILO_ETPR
Y_GE15,MW,M,1991,PT,73.5,A,0,5,A,MWI,ILO_ETPR
Y_GE15,MW,F,1992,PT,69.2,A,0,5,A,MWI,ILO_ETPR
Y_GE15,MW,M,1992,PT,73.6,A,0,5,A,MWI,ILO_ETPR
Y_GE15,MW,_T,1992,PT,71.3,A,0,5,A,MWI,ILO_ETPR
Y_GE15,MW,M,1993,PT,73.5,A,0,5,A,MWI,ILO_ETPR
Y_GE15,MW,F,1993,PT,69.1,A,0,5,A,MWI,ILO_ETPR
Y_GE15,MW,_T,1993,PT,71.2,A,0,5,A,MWI,ILO_ETPR
Y_GE15,MW,M,1994,PT,73.5,A,0,5,A,MWI,ILO_ETPR
Y_GE15,MW,_T,1994,PT,71.3,A,0,5,A,MWI,ILO_ETPR
Y_GE15,MW,F,1994,PT,69.1,A,0,5,A,MWI,ILO_ETPR
Y_GE15,MW,M,1995,PT,73.6,A,0,5,A,MWI,ILO_ETPR
Y_GE15,MW,_T,1995,PT,71.3,A,0,5,A,MWI,ILO_ETPR
Y_GE15,MW,F,1995,PT,69.0,A,0,5,A,MWI,ILO_ETPR
Y_GE15,MW,F,1996,PT,69.1,A,0,5,A,MWI,ILO_ETPR
Y_GE15,MW,_T,1996,PT,71.3,A,0,5,A,MWI,ILO_ETPR
Y_GE15,MW,M,1996,PT,73.6,A,0,5,A,MWI,ILO_ETPR
Y_GE15,MW,M,1997,PT,73.7,A,0,5,A,MWI,ILO_ETPR
Y_GE15,MW,_T,1997,PT,71.3,A,0,5,A,MWI,ILO_ETPR
Y_GE15,MW,F,1997,PT,69.1,A,0,5,A,MWI,ILO_ETPR
Y_GE15,MW,F,1998,PT,69.2,A,0,5,A,MWI,ILO_ETPR
Y_GE15,MW,_T,1998,PT,71.4,A,0,5,A,MWI,ILO_ETPR
Y_GE15,MW,M,1998,PT,73.7,A,0,5,A,MWI,ILO_ETPR
Y_GE15,MW,M,1999,PT,74.0,A,0,5,A,MWI,ILO_ETPR
Y_GE15,MW,F,1999,PT,69.0,A,0,5,A,MWI,ILO_ETPR
Y_GE15,MW,_T,1999,PT,71.4,A,0,5,A,MWI,ILO_ETPR
Y_GE15,MW,M,2000,PT,74.2,A,0,5,A,MWI,ILO_ETPR
Y_GE15,MW,F,2000,PT,68.8,A,0,5,A,MWI,ILO_ETPR
Y_GE15,MW,_T,2000,PT,71.4,A,0,5,A,MWI,ILO_ETPR
Y_GE15,MW,F,2001,PT,68.6,A,0,5,A,MWI,ILO_ETPR
Y_GE15,MW,_T,2001,PT,71.4,A,0,5,A,MWI,ILO_ETPR
Y_GE15,MW,M,2001,PT,74.3,A,0,5,A,MWI,ILO_ETPR
Y_GE15,MW,F,2002,PT,68.3,A,0,5,A,MWI,ILO_ETPR
Y_GE15,MW,M,2002,PT,74.4,A,0,5,A,MWI,ILO_ETPR
Y_GE15,MW,_T,2002,PT,71.3,A,0,5,A,MWI,ILO_ETPR
Y_GE15,MW,F,2003,PT,68.0,A,0,5,A,MWI,ILO_ETPR
Y_GE15,MW,_T,2003,PT,71.2,A,0,5,A,MWI,ILO_ETPR
Y_GE15,MW,M,2003,PT,74.6,A,0,5,A,MWI,ILO_ETPR
Y_GE15,MW,F,2004,PT,67.7,A,0,5,A,MWI,ILO_ETPR
Y_GE15,MW,M,2004,PT,74.7,A,0,5,A,MWI,ILO_ETPR
Y_GE15,MW,_T,2004,PT,71.1,A,0,5,A,MWI,ILO_ETPR
Y_GE15,MW,_T,2005,PT,71.1,A,0,5,A,MWI,ILO_ETPR
Y_GE15,MW,F,2005,PT,67.5,A,0,5,A,MWI,ILO_ETPR
Y_GE15,MW,M,2005,PT,74.9,A,0,5,A,MWI,ILO_ETPR
Y_GE15,MW,M,2006,PT,75.3,A,0,5,A,MWI,ILO_ETPR
Y_GE15,MW,_T,2006,PT,71.3,A,0,5,A,MWI,ILO_ETPR
Y_GE15,MW,F,2006,PT,67.4,A,0,5,A,MWI,ILO_ETPR
Y_GE15,MW,_T,2007,PT,71.5,A,0,5,A,MWI,ILO_ETPR
Y_GE15,MW,M,2007,PT,75.8,A,0,5,A,MWI,ILO_ETPR
Y_GE15,MW,F,2007,PT,67.4,A,0,5,A,MWI,ILO_ETPR
Y_GE15,MW,_T,2008,PT,71.7,A,0,5,A,MWI,ILO_ETPR
Y_GE15,MW,F,2008,PT,67.4,A,0,5,A,MWI,ILO_ETPR
Y_GE15,MW,M,2008,PT,76.2,A,0,5,A,MWI,ILO_ETPR
Y_GE15,MW,M,2009,PT,76.7,A,0,5,A,MWI,ILO_ETPR
Y_GE15,MW,F,2009,PT,67.4,A,0,5,A,MWI,ILO_ETPR
Y_GE15,MW,_T,2009,PT,71.9,A,0,5,A,MWI,ILO_ETPR
Y_GE15,MW,_T,2010,PT,72.1,A,0,5,A,MWI,ILO_ETPR
Y_GE15,MW,M,2010,PT,77.1,A,0,5,A,MWI,ILO_ETPR
Y_GE15,MW,F,2010,PT,67.4,A,0,5,A,MWI,ILO_ETPR
Y_GE15,MW,F,2011,PT,67.4,A,0,5,A,MWI,ILO_ETPR
Y_GE15,MW,M,2011,PT,77.6,A,0,5,A,MWI,ILO_ETPR
Y_GE15,MW,_T,2011,PT,72.4,A,0,5,A,MWI,ILO_ETPR
Y_GE15,MW,M,2012,PT,78.1,A,0,5,A,MWI,ILO_ETPR
Y_GE15,MW,F,2012,PT,67.4,A,0,5,A,MWI,ILO_ETPR
Y_GE15,MW,_T,2012,PT,72.6,A,0,5,A,MWI,ILO_ETPR
Y_GE15,MW,F,2013,PT,67.4,A,0,5,A,MWI,ILO_ETPR
Y_GE15,MW,M,2013,PT,78.6,A,0,5,A,MWI,ILO_ETPR
Y_GE15,MW,_T,2013,PT,72.9,A,0,5,A,MWI,ILO_ETPR
Y_GE15,MW,_T,2014,PT,72.7,A,0,5,A,MWI,ILO_ETPR
Y_GE15,MW,F,2014,PT,67.4,A,0,5,A,MWI,ILO_ETPR
Y_GE15,MW,M,2014,PT,78.2,A,0,5,A,MWI,ILO_ETPR
Y_GE15,MW,M,2015,PT,77.9,A,0,5,A,MWI,ILO_ETPR
Y_GE15,MW,_T,2015,PT,72.5,A,0,5,A,MWI,ILO_ETPR
Y_GE15,MW,F,2015,PT,67.4,A,0,5,A,MWI,ILO_ETPR
Y_GE15,MW,M,2016,PT,77.4,A,0,5,A,MWI,ILO_ETPR
