Age,Reference area,Sex,Time Period,Unit of measure,Obs value,Obs status,Unit mult,Decimals,Freq,Country-iso3,Indicator name
#group+age,#geo+reference+area,#group+sex,#date,#meta+unit+measure+name,#indicator+value+num,,#meta+unit+mult+name,#meta+decimals,#indicator+frequency,#country+iso3,#indicator+name
Y_GE15,MW,M,1991,PT,78.4,A,0,5,A,MWI,ILO_LFPR
Y_GE15,MW,F,1991,PT,76.1,A,0,5,A,MWI,ILO_LFPR
Y_GE15,MW,_T,1991,PT,77.2,A,0,5,A,MWI,ILO_LFPR
Y_GE15,MW,F,1992,PT,76.0,A,0,5,A,MWI,ILO_LFPR
Y_GE15,MW,M,1992,PT,78.5,A,0,5,A,MWI,ILO_LFPR
Y_GE15,MW,_T,1992,PT,77.2,A,0,5,A,MWI,ILO_LFPR
Y_GE15,MW,M,1993,PT,78.4,A,0,5,A,MWI,ILO_LFPR
Y_GE15,MW,F,1993,PT,76.0,A,0,5,A,MWI,ILO_LFPR
Y_GE15,MW,_T,1993,PT,77.1,A,0,5,A,MWI,ILO_LFPR
Y_GE15,MW,M,1994,PT,78.5,A,0,5,A,MWI,ILO_LFPR
Y_GE15,MW,F,1994,PT,75.9,A,0,5,A,MWI,ILO_LFPR
Y_GE15,MW,_T,1994,PT,77.1,A,0,5,A,MWI,ILO_LFPR
Y_GE15,MW,_T,1995,PT,77.2,A,0,5,A,MWI,ILO_LFPR
Y_GE15,MW,M,1995,PT,78.5,A,0,5,A,MWI,ILO_LFPR
Y_GE15,MW,F,1995,PT,75.9,A,0,5,A,MWI,ILO_LFPR
Y_GE15,MW,F,1996,PT,76.0,A,0,5,A,MWI,ILO_LFPR
Y_GE15,MW,M,1996,PT,78.5,A,0,5,A,MWI,ILO_LFPR
Y_GE15,MW,_T,1996,PT,77.2,A,0,5,A,MWI,ILO_LFPR
Y_GE15,MW,M,1997,PT,78.6,A,0,5,A,MWI,ILO_LFPR
Y_GE15,MW,_T,1997,PT,77.3,A,0,5,A,MWI,ILO_LFPR
Y_GE15,MW,F,1997,PT,76.0,A,0,5,A,MWI,ILO_LFPR
Y_GE15,MW,_T,1998,PT,77.3,A,0,5,A,MWI,ILO_LFPR
Y_GE15,MW,M,1998,PT,78.7,A,0,5,A,MWI,ILO_LFPR
Y_GE15,MW,F,1998,PT,76.0,A,0,5,A,MWI,ILO_LFPR
Y_GE15,MW,F,1999,PT,75.9,A,0,5,A,MWI,ILO_LFPR
Y_GE15,MW,_T,1999,PT,77.4,A,0,5,A,MWI,ILO_LFPR
