Age,Reference area,Sex,Time Period,Unit of measure,Obs value,Obs status,Unit mult,Decimals,Freq,Country-iso3,Indicator name
#group+age,#geo+reference+area,#group+sex,#date,#meta+unit+measure+name,#indicator+value+num,,#meta+unit+mult+name,#meta+decimals,#indicator+frequency,#country+iso3,#indicator+name
Y_GE15,MW,F,1991,PER,2692.0,A,3,5,A,MWI,ILO_POP
Y_GE15,MW,M,1991,PER,2526.0,A,3,5,A,MWI,ILO_POP
Y_GE15,MW,_T,1991,PER,5218.0,A,3,5,A,MWI,ILO_POP
Y_GE15,MW,_T,1992,PER,5259.0,A,3,5,A,MWI,ILO_POP
Y_GE15,MW,F,1992,PER,2707.0,A,3,5,A,MWI,ILO_POP
Y_GE15,MW,M,1992,PER,2552.0,A,3,5,A,MWI,ILO_POP
Y_GE15,MW,F,1993,PER,2708.0,A,3,5,A,MWI,ILO_POP
Y_GE15,MW,_T,1993,PER,5274.0,A,3,5,A,MWI,ILO_POP
Y_GE15,MW,M,1993,PER,2567.0,A,3,5,A,MWI,ILO_POP
Y_GE15,MW,M,1994,PER,2583.0,A,3,5,A,MWI,ILO_POP
Y_GE15,MW,F,1994,PER,2713.0,A,3,5,A,MWI,ILO_POP
Y_GE15,MW,_T,1994,PER,5296.0,A,3,5,A,MWI,ILO_POP
Y_GE15,MW,_T,1995,PER,5345.0,A,3,5,A,MWI,ILO_POP
Y_GE15,MW,F,1995,PER,2733.0,A,3,5,A,MWI,ILO_POP
Y_GE15,MW,M,1995,PER,2612.0,A,3,5,A,MWI,ILO_POP
Y_GE15,MW,M,1996,PER,2653.0,A,3,5,A,MWI,ILO_POP
Y_GE15,MW,F,1996,PER,2779.0,A,3,5,A,MWI,ILO_POP
Y_GE15,MW,_T,1996,PER,5432.0,A,3,5,A,MWI,ILO_POP
Y_GE15,MW,_T,1997,PER,5556.0,A,3,5,A,MWI,ILO_POP
Y_GE15,MW,F,1997,PER,2844.0,A,3,5,A,MWI,ILO_POP
Y_GE15,MW,M,1997,PER,2712.0,A,3,5,A,MWI,ILO_POP
Y_GE15,MW,F,1998,PER,2924.0,A,3,5,A,MWI,ILO_POP
Y_GE15,MW,M,1998,PER,2783.0,A,3,5,A,MWI,ILO_POP
Y_GE15,MW,_T,1998,PER,5707.0,A,3,5,A,MWI,ILO_POP
Y_GE15,MW,M,1999,PER,2861.0,A,3,5,A,MWI,ILO_POP
Y_GE15,MW,F,1999,PER,3012.0,A,3,5,A,MWI,ILO_POP
Y_GE15,MW,_T,1999,PER,5873.0,A,3,5,A,MWI,ILO_POP
Y_GE15,MW,M,2000,PER,2943.0,A,3,5,A,MWI,ILO_POP
Y_GE15,MW,F,2000,PER,3103.0,A,3,5,A,MWI,ILO_POP
Y_GE15,MW,_T,2000,PER,6046.0,A,3,5,A,MWI,ILO_POP
Y_GE15,MW,_T,2001,PER,6202.0,A,3,5,A,MWI,ILO_POP
Y_GE15,MW,F,2001,PER,3183.0,A,3,5,A,MWI,ILO_POP
Y_GE15,MW,M,2001,PER,3018.0,A,3,5,A,MWI,ILO_POP
Y_GE15,MW,M,2002,PER,3100.0,A,3,5,A,MWI,ILO_POP
Y_GE15,MW,F,2002,PER,3270.0,A,3,5,A,MWI,ILO_POP
Y_GE15,MW,_T,2002,PER,6370.0,A,3,5,A,MWI,ILO_POP
Y_GE15,MW,F,2003,PER,3362.0,A,3,5,A,MWI,ILO_POP
Y_GE15,MW,M,2003,PER,3189.0,A,3,5,A,MWI,ILO_POP
Y_GE15,MW,_T,2003,PER,6551.0,A,3,5,A,MWI,ILO_POP
Y_GE15,MW,M,2004,PER,3283.0,A,3,5,A,MWI,ILO_POP
Y_GE15,MW,_T,2004,PER,6744.0,A,3,5,A,MWI,ILO_POP
Y_GE15,MW,F,2004,PER,3461.0,A,3,5,A,MWI,ILO_POP
Y_GE15,MW,_T,2005,PER,6948.0,A,3,5,A,MWI,ILO_POP
Y_GE15,MW,F,2005,PER,3564.0,A,3,5,A,MWI,ILO_POP
Y_GE15,MW,M,2005,PER,3383.0,A,3,5,A,MWI,ILO_POP
Y_GE15,MW,M,2006,PER,3491.0,A,3,5,A,MWI,ILO_POP
Y_GE15,MW,_T,2006,PER,7167.0,A,3,5,A,MWI,ILO_POP
Y_GE15,MW,F,2006,PER,3676.0,A,3,5,A,MWI,ILO_POP
Y_GE15,MW,F,2007,PER,3792.0,A,3,5,A,MWI,ILO_POP
Y_GE15,MW,_T,2007,PER,7395.0,A,3,5,A,MWI,ILO_POP
Y_GE15,MW,M,2007,PER,3603.0,A,3,5,A,MWI,ILO_POP
Y_GE15,MW,F,2008,PER,3913.0,A,3,5,A,MWI,ILO_POP
Y_GE15,MW,M,2008,PER,3720.0,A,3,5,A,MWI,ILO_POP
Y_GE15,MW,_T,2008,PER,7633.0,A,3,5,A,MWI,ILO_POP
Y_GE15,MW,M,2009,PER,3845.0,A,3,5,A,MWI,ILO_POP
Y_GE15,MW,_T,2009,PER,7886.0,A,3,5,A,MWI,ILO_POP
Y_GE15,MW,F,2009,PER,4042.0,A,3,5,A,MWI,ILO_POP
Y_GE15,MW,M,2010,PER,3978.0,A,3,5,A,MWI,ILO_POP
Y_GE15,MW,F,2010,PER,4179.0,A,3,5,A,MWI,ILO_POP
Y_GE15,MW,_T,2010,PER,8158.0,A,3,5,A,MWI,ILO_POP
Y_GE15,MW,F,2011,PER,4320.0,A,3,5,A,MWI,ILO_POP
Y_GE15,MW,_T,2011,PER,8433.0,A,3,5,A,MWI,ILO_POP
Y_GE15,MW,M,2011,PER,4114.0,A,3,5,A,MWI,ILO_POP
Y_GE15,MW,_T,2012,PER,8737.0,A,3,5,A,MWI,ILO_POP
Y_GE15,MW,F,2012,PER,4474.0,A,3,5,A,MWI,ILO_POP
Y_GE15,MW,M,2012,PER,4263.0,A,3,5,A,MWI,ILO_POP
Y_GE15,MW,_T,2013,PER,9061.0,A,3,5,A,MWI,ILO_POP
Y_GE15,MW,M,2013,PER,4423.0,A,3,5,A,MWI,ILO_POP
Y_GE15,MW,F,2013,PER,4638.0,A,3,5,A,MWI,ILO_POP
Y_GE15,MW,M,2014,PER,4586.0,A,3,5,A,MWI,ILO_POP
Y_GE15,MW,_T,2014,PER,9392.0,A,3,5,A,MWI,ILO_POP
Y_GE15,MW,F,2014,PER,4806.0,A,3,5,A,MWI,ILO_POP
Y_GE15,MW,M,2015,PER,4751.0,A,3,5,A,MWI,ILO_POP
Y_GE15,MW,F,2015,PER,4976.0,A,3,5,A,MWI,ILO_POP
Y_GE15,MW,_T,2015,PER,9727.0,A,3,5,A,MWI,ILO_POP
Y_GE15,MW,_T,2016,PER,10082.0,A,3,5,A,MWI,ILO_POP
Y_GE15,MW,M,2016,PER,4925.0,A,3,5,A,MWI,ILO_POP
Y_GE15,MW,F,2016,PER,5157.0,A,3,5,A,MWI,ILO_POP
Y_GE15,MW,_T,2017,PER,10430.0,A,3,5,A,MWI,ILO_POP
Y_GE15,MW,F,2017,PER,5335.0,A,3,5,A,MWI,ILO_POP
Y_GE15,MW,M,2017,PER,5096.0,A,3,5,A,MWI,ILO_POP
Y_GE15,MW,_T,2018,PER,10782.0,A,3,5,A,MWI,ILO_POP
