Age,Reference area,Time Period,Unit of measure,Obs value,Obs status,Unit mult,Decimals,Freq,Country-iso3,Indicator name
#group+age,#geo+reference+area,#date,#meta+unit+measure+name,#indicator+value+num,,#meta+unit+mult+name,#meta+decimals,#indicator+frequency,#country+iso3,#indicator+name
Y0T1,MW,1970,LB_1000,203.1,A,0,5,A,MWI,IMR
Y0T1,MW,1971,LB_1000,199.7,A,0,5,A,MWI,IMR
Y0T1,MW,1972,LB_1000,195.4,A,0,5,A,MWI,IMR
Y0T1,MW,1973,LB_1000,190.5,A,0,5,A,MWI,IMR
Y0T1,MW,1974,LB_1000,185.1,A,0,5,A,MWI,IMR
Y0T1,MW,1975,LB_1000,179.4,A,0,5,A,MWI,IMR
Y0T1,MW,1976,LB_1000,173.5,A,0,5,A,MWI,IMR
Y0T1,MW,1977,LB_1000,167.6,A,0,5,A,MWI,IMR
Y0T1,MW,1978,LB_1000,161.2,A,0,5,A,MWI,IMR
Y0T1,MW,1979,LB_1000,155.3,A,0,5,A,MWI,IMR
Y0T1,MW,1980,LB_1000,149.9,A,0,5,A,MWI,IMR
Y0T1,MW,1981,LB_1000,145.8,A,0,5,A,MWI,IMR
Y0T1,MW,1982,LB_1000,143.3,A,0,5,A,MWI,IMR
Y0T1,MW,1983,LB_1000,142.8,A,0,5,A,MWI,IMR
Y0T1,MW,1984,LB_1000,143.7,A,0,5,A,MWI,IMR
Y0T1,MW,1985,LB_1000,145.2,A,0,5,A,MWI,IMR
Y0T1,MW,1986,LB_1000,146.3,A,0,5,A,MWI,IMR
Y0T1,MW,1987,LB_1000,146.5,A,0,5,A,MWI,IMR
Y0T1,MW,1988,LB_1000,145.0,A,0,5,A,MWI,IMR
Y0T1,MW,1989,LB_1000,142.1,A,0,5,A,MWI,IMR
Y0T1,MW,1990,LB_1000,138.2,A,0,5,A,MWI,IMR
Y0T1,MW,1991,LB_1000,133.7,A,0,5,A,MWI,IMR
Y0T1,MW,1992,LB_1000,129.1,A,0,5,A,MWI,IMR
Y0T1,MW,1993,LB_1000,124.9,A,0,5,A,MWI,IMR
Y0T1,MW,1994,LB_1000,121.2,A,0,5,A,MWI,IMR
Y0T1,MW,1995,LB_1000,118.1,A,0,5,A,MWI,IMR
Y0T1,MW,1996,LB_1000,115.8,A,0,5,A,MWI,IMR
Y0T1,MW,1997,LB_1000,113.5,A,0,5,A,MWI,IMR
Y0T1,MW,1998,LB_1000,110.6,A,0,5,A,MWI,IMR
Y0T1,MW,1999,LB_1000,106.5,A,0,5,A,MWI,IMR
Y0T1,MW,2000,LB_1000,101.1,A,0,5,A,MWI,IMR
Y0T1,MW,2001,LB_1000,94.4,A,0,5,A,MWI,IMR
Y0T1,MW,2002,LB_1000,87.1,A,0,5,A,MWI,IMR
Y0T1,MW,2003,LB_1000,80.2,A,0,5,A,MWI,IMR
Y0T1,MW,2004,LB_1000,74.0,A,0,5,A,MWI,IMR
Y0T1,MW,2005,LB_1000,69.2,A,0,5,A,MWI,IMR
Y0T1,MW,2006,LB_1000,65.8,A,0,5,A,MWI,IMR
Y0T1,MW,2007,LB_1000,63.4,A,0,5,A,MWI,IMR
Y0T1,MW,2008,LB_1000,60.5,A,0,5,A,MWI,IMR
Y0T1,MW,2009,LB_1000,58.4,A,0,5,A,MWI,IMR
Y0T1,MW,2010,LB_1000,56.2,A,0,5,A,MWI,IMR
Y0T1,MW,2011,LB_1000,52.9,A,0,5,A,MWI,IMR
Y0T1,MW,2012,LB_1000,49.2,A,0,5,A,MWI,IMR
Y0T1,MW,2013,LB_1000,46.4,A,0,5,A,MWI,IMR
Y0T1,MW,2014,LB_1000,44.1,A,0,5,A,MWI,IMR
Y0T1,MW,2015,LB_1000,42.0,A,0,5,A,MWI,IMR
Y0T1,MW,2016,LB_1000,40.2,A,0,5,A,MWI,IMR
Y0T1,MW,2017,LB_1000,38.5,A,0,5,A,MWI,IMR
