Reference area,Time Period,Unit of measure,Obs value,Obs status,Unit mult,Decimals,Freq,Country-iso3,Indicator name
#geo+reference+area,#date,#meta+unit+measure+name,#indicator+value+num,,#meta+unit+mult+name,#meta+decimals,#indicator+frequency,#country+iso3,#indicator+name
MW,1990,MKT_XR,0.41441999999999996,A,0,5,A,MWI,PLR_PPP_GDP
MW,1991,MKT_XR,0.43217,A,0,5,A,MWI,PLR_PPP_GDP
MW,1992,MKT_XR,0.37237,A,0,5,A,MWI,PLR_PPP_GDP
MW,1993,MKT_XR,0.38153000000000004,A,0,5,A,MWI,PLR_PPP_GDP
MW,1994,MKT_XR,0.23755,A,0,5,A,MWI,PLR_PPP_GDP
MW,1995,MKT_XR,0.23571999999999999,A,0,5,A,MWI,PLR_PPP_GDP
MW,1996,MKT_XR,0.3521,A,0,5,A,MWI,PLR_PPP_GDP
MW,1997,MKT_XR,0.38941,A,0,5,A,MWI,PLR_PPP_GDP
MW,1998,MKT_XR,0.24372,A,0,5,A,MWI,PLR_PPP_GDP
MW,1999,MKT_XR,0.23633,A,0,5,A,MWI,PLR_PPP_GDP
MW,2000,MKT_XR,0.22334,A,0,5,A,MWI,PLR_PPP_GDP
MW,2001,MKT_XR,0.22624,A,0,5,A,MWI,PLR_PPP_GDP
MW,2002,MKT_XR,0.44619,A,0,5,A,MWI,PLR_PPP_GDP
MW,2003,MKT_XR,0.37989,A,0,5,A,MWI,PLR_PPP_GDP
MW,2004,MKT_XR,0.37992,A,0,5,A,MWI,PLR_PPP_GDP
MW,2005,MKT_XR,0.37485999999999997,A,0,5,A,MWI,PLR_PPP_GDP
MW,2006,MKT_XR,0.37987,A,0,5,A,MWI,PLR_PPP_GDP
MW,2007,MKT_XR,0.37434,A,0,5,A,MWI,PLR_PPP_GDP
MW,2008,MKT_XR,0.40941,A,0,5,A,MWI,PLR_PPP_GDP
MW,2009,MKT_XR,0.43642,A,0,5,A,MWI,PLR_PPP_GDP
MW,2010,MKT_XR,0.4535,A,0,5,A,MWI,PLR_PPP_GDP
MW,2011,MKT_XR,0.48723,A,0,5,A,MWI,PLR_PPP_GDP
MW,2012,MKT_XR,0.3534,A,0,5,A,MWI,PLR_PPP_GDP
MW,2013,MKT_XR,0.30223,A,0,5,A,MWI,PLR_PPP_GDP
MW,2014,MKT_XR,0.30751999999999996,A,0,5,A,MWI,PLR_PPP_GDP
MW,2015,MKT_XR,0.31190999999999997,A,0,5,A,MWI,PLR_PPP_GDP
MW,2016,MKT_XR,0.25664000000000003,A,0,5,A,MWI,PLR_PPP_GDP
MW,2017,MKT_XR,0.28096,A,0,5,A,MWI,PLR_PPP_GDP
