Age,Reference area,Time Period,Unit of measure,Obs value,Obs status,Unit mult,Decimals,Freq,Country-iso3,Indicator name
#group+age,#geo+reference+area,#date,#meta+unit+measure+name,#indicator+value+num,,#meta+unit+mult+name,#meta+decimals,#indicator+frequency,#country+iso3,#indicator+name
Y_GE65,MW,1970,PER,141.84,A,3,5,A,MWI,POP
Y15T24,MW,1970,PER,865.734,A,3,5,A,MWI,POP
_T,MW,1970,PER,4703.782,A,3,5,A,MWI,POP
Y15T24,MW,1971,PER,876.74,A,3,5,A,MWI,POP
_T,MW,1971,PER,4829.09,A,3,5,A,MWI,POP
Y_GE65,MW,1971,PER,144.0,A,3,5,A,MWI,POP
Y_GE65,MW,1972,PER,145.677,A,3,5,A,MWI,POP
Y15T24,MW,1972,PER,890.559,A,3,5,A,MWI,POP
_T,MW,1972,PER,4958.549,A,3,5,A,MWI,POP
Y_GE65,MW,1973,PER,147.259,A,3,5,A,MWI,POP
_T,MW,1973,PER,5093.363,A,3,5,A,MWI,POP
Y15T24,MW,1973,PER,907.741,A,3,5,A,MWI,POP
Y15T24,MW,1974,PER,929.095,A,3,5,A,MWI,POP
Y_GE65,MW,1974,PER,149.232,A,3,5,A,MWI,POP
_T,MW,1974,PER,5235.073,A,3,5,A,MWI,POP
Y_GE65,MW,1975,PER,151.888,A,3,5,A,MWI,POP
_T,MW,1975,PER,5384.795,A,3,5,A,MWI,POP
Y15T24,MW,1975,PER,955.237,A,3,5,A,MWI,POP
Y15T24,MW,1976,PER,982.965,A,3,5,A,MWI,POP
_T,MW,1976,PER,5545.651,A,3,5,A,MWI,POP
Y_GE65,MW,1976,PER,155.887,A,3,5,A,MWI,POP
Y_GE65,MW,1977,PER,160.386,A,3,5,A,MWI,POP
Y15T24,MW,1977,PER,1016.606,A,3,5,A,MWI,POP
_T,MW,1977,PER,5717.953,A,3,5,A,MWI,POP
Y_GE65,MW,1978,PER,165.394,A,3,5,A,MWI,POP
_T,MW,1978,PER,5896.865,A,3,5,A,MWI,POP
Y15T24,MW,1978,PER,1054.164,A,3,5,A,MWI,POP
Y_GE65,MW,1979,PER,170.935,A,3,5,A,MWI,POP
Y15T24,MW,1979,PER,1093.029,A,3,5,A,MWI,POP
_T,MW,1979,PER,6075.495,A,3,5,A,MWI,POP
Y_GE65,MW,1980,PER,177.03,A,3,5,A,MWI,POP
Y15T24,MW,1980,PER,1131.851,A,3,5,A,MWI,POP
_T,MW,1980,PER,6250.44,A,3,5,A,MWI,POP
_T,MW,1981,PER,6412.384,A,3,5,A,MWI,POP
Y_GE65,MW,1981,PER,184.032,A,3,5,A,MWI,POP
Y15T24,MW,1981,PER,1163.649,A,3,5,A,MWI,POP
Y15T24,MW,1982,PER,1196.2,A,3,5,A,MWI,POP
_T,MW,1982,PER,6565.985,A,3,5,A,MWI,POP
Y_GE65,MW,1982,PER,191.334,A,3,5,A,MWI,POP
Y_GE65,MW,1983,PER,199.196,A,3,5,A,MWI,POP
_T,MW,1983,PER,6737.924,A,3,5,A,MWI,POP
Y15T24,MW,1983,PER,1233.447,A,3,5,A,MWI,POP
Y_GE65,MW,1984,PER,207.957,A,3,5,A,MWI,POP
Y15T24,MW,1984,PER,1280.695,A,3,5,A,MWI,POP
_T,MW,1984,PER,6964.607,A,3,5,A,MWI,POP
Y15T24,MW,1985,PER,1341.1,A,3,5,A,MWI,POP
_T,MW,1985,PER,7268.267,A,3,5,A,MWI,POP
Y_GE65,MW,1985,PER,217.847,A,3,5,A,MWI,POP
Y15T24,MW,1986,PER,1422.093,A,3,5,A,MWI,POP
_T,MW,1986,PER,7666.391,A,3,5,A,MWI,POP
Y_GE65,MW,1986,PER,231.349,A,3,5,A,MWI,POP
Y_GE65,MW,1987,PER,246.793,A,3,5,A,MWI,POP
_T,MW,1987,PER,8141.146,A,3,5,A,MWI,POP
Y15T24,MW,1987,PER,1514.754,A,3,5,A,MWI,POP
_T,MW,1988,PER,8636.69,A,3,5,A,MWI,POP
Y_GE65,MW,1988,PER,262.985,A,3,5,A,MWI,POP
Y15T24,MW,1988,PER,1610.119,A,3,5,A,MWI,POP
Y15T24,MW,1989,PER,1696.939,A,3,5,A,MWI,POP
_T,MW,1989,PER,9075.572,A,3,5,A,MWI,POP
Y_GE65,MW,1989,PER,278.377,A,3,5,A,MWI,POP
_T,MW,1990,PER,9404.5,A,3,5,A,MWI,POP
Y_GE65,MW,1990,PER,291.877,A,3,5,A,MWI,POP
Y15T24,MW,1990,PER,1768.198,A,3,5,A,MWI,POP
Y_GE65,MW,1991,PER,303.686,A,3,5,A,MWI,POP
_T,MW,1991,PER,9600.355,A,3,5,A,MWI,POP
Y15T24,MW,1991,PER,1805.667,A,3,5,A,MWI,POP
Y15T24,MW,1992,PER,1828.775,A,3,5,A,MWI,POP
Y_GE65,MW,1992,PER,312.578,A,3,5,A,MWI,POP
_T,MW,1992,PER,9685.973,A,3,5,A,MWI,POP
Y15T24,MW,1993,PER,1843.045,A,3,5,A,MWI,POP
_T,MW,1993,PER,9710.331,A,3,5,A,MWI,POP
Y_GE65,MW,1993,PER,319.736,A,3,5,A,MWI,POP
Y15T24,MW,1994,PER,1856.469,A,3,5,A,MWI,POP
Y_GE65,MW,1994,PER,326.843,A,3,5,A,MWI,POP
_T,MW,1994,PER,9745.69,A,3,5,A,MWI,POP
Y15T24,MW,1995,PER,1875.467,A,3,5,A,MWI,POP
Y_GE65,MW,1995,PER,335.151,A,3,5,A,MWI,POP
_T,MW,1995,PER,9844.415,A,3,5,A,MWI,POP
Y15T24,MW,1996,PER,1908.791,A,3,5,A,MWI,POP
_T,MW,1996,PER,10022.789,A,3,5,A,MWI,POP
Y_GE65,MW,1996,PER,337.712,A,3,5,A,MWI,POP
Y_GE65,MW,1997,PER,340.913,A,3,5,A,MWI,POP
Y15T24,MW,1997,PER,1952.984,A,3,5,A,MWI,POP
_T,MW,1997,PER,10264.906,A,3,5,A,MWI,POP
_T,MW,1998,PER,10552.338,A,3,5,A,MWI,POP
Y15T24,MW,1998,PER,2006.428,A,3,5,A,MWI,POP
Y_GE65,MW,1998,PER,344.158,A,3,5,A,MWI,POP
_T,MW,1999,PER,10854.322,A,3,5,A,MWI,POP
Y15T24,MW,1999,PER,2067.785,A,3,5,A,MWI,POP
Y_GE65,MW,1999,PER,346.724,A,3,5,A,MWI,POP
Y15T24,MW,2000,PER,2135.707,A,3,5,A,MWI,POP
Y_GE65,MW,2000,PER,348.119,A,3,5,A,MWI,POP
_T,MW,2000,PER,11148.758,A,3,5,A,MWI,POP
Y_GE65,MW,2001,PER,352.842,A,3,5,A,MWI,POP
