date,cmname,unit,category,price,currency,country,admname,adm1id,mktname,mktid,cmid,ptid,umid,catid,sn,default,year,label,cmnameshort,x,scaling,interpolated
#date,#item+name,#item+unit,#item+type,#value,#currency,#country+name,#adm1+name,#adm1+code,#name+market,,#item+code,,,#item+type+code,#meta+id,,0.0,#item+label,#item+name+short,,,
2014-01-15,Beans - Retail,KG,pulses and nuts,466.29,MWK,Malawi,Southern Region,1890.0,Jali,778.0,50,15.0,5.0,5,778_50_15_5,,2014.0,Beans - Retail (KG),Beans,1389744000.0,1.0,0.0
2014-02-15,Beans - Retail,KG,pulses and nuts,458.6106111111111,,,,,,,50,,,5,,,,Beans - Retail (KG),Beans,,1.0,1.0
2014-03-15,Beans - Retail,KG,pulses and nuts,451.67438888888887,,,,,,,50,,,5,,,,Beans - Retail (KG),Beans,,1.0,1.0
2014-04-15,Beans - Retail,KG,pulses and nuts,443.995,MWK,Malawi,Southern Region,1890.0,Balaka,763.0,50,15.0,5.0,5,763_50_15_5,,2014.0,Beans - Retail (KG),Beans,1397520000.0,1.0,0.0
2014-05-15,Beans - Retail,KG,pulses and nuts,440.8391176470588,,,,,,,50,,,5,,,,Beans - Retail (KG),Beans,,1.0,1.0
2014-06-15,Beans - Retail,KG,pulses and nuts,437.57803921568626,,,,,,,50,,,5,,,,Beans - Retail (KG),Beans,,1.0,1.0
2014-07-15,Beans - Retail,KG,pulses and nuts,434.4221568627451,,,,,,,50,,,5,,,,Beans - Retail (KG),Beans,,1.0,1.0
2014-08-15,Beans - Retail,KG,pulses and nuts,431.1610784313725,,,,,,,50,,,5,,,,Beans - Retail (KG),Beans,,1.0,1.0
2014-09-15,Beans - Retail,KG,pulses and nuts,427.9,MWK,Malawi,Central Region,1888.0,Tsangano turn off,833.0,50,15.0,5.0,5,833_50_15_5,,2014.0,Beans - Retail (KG),Beans,1410739200.0,1.0,0.0
2014-10-15,Beans - Retail,KG,pulses and nuts,480.425,MWK,Malawi,Northern Region,1889.0,Rumphi,818.0,50,15.0,5.0,5,818_50_15_5,,2014.0,Beans - Retail (KG),Beans,1413331200.0,1.0,0.0
2014-11-15,Beans - Retail,KG,pulses and nuts,488.6044262295082,,,,,,,50,,,5,,,,Beans - Retail (KG),Beans,,1.0,1.0
2014-12-15,Beans - Retail,KG,pulses and nuts,496.52,MWK,Malawi,Central Region,1888.0,Mwansambo,798.0,50,15.0,5.0,5,798_50_15_5,,2014.0,Beans - Retail (KG),Beans,1418601600.0,1.0,0.0
2015-01-15,Beans - Retail,KG,pulses and nuts,507.7067,MWK,Malawi,Southern Region,1890.0,Balaka,763.0,50,15.0,5.0,5,763_50_15_5,,2015.0,Beans - Retail (KG),Beans,1421280000.0,1.0,0.0
2015-02-15,Beans - Retail,KG,pulses and nuts,600.0,MWK,Malawi,Central Region,1888.0,Thete,822.0,50,15.0,5.0,5,822_50_15_5,,2015.0,Beans - Retail (KG),Beans,1423958400.0,1.0,0.0
2015-03-15,Beans - Retail,KG,pulses and nuts,557.1348314606741,,,,,,,50,,,5,,,,Beans - Retail (KG),Beans,,1.0,1.0
2015-04-15,Beans - Retail,KG,pulses and nuts,509.6769662921348,,,,,,,50,,,5,,,,Beans - Retail (KG),Beans,,1.0,1.0
2015-05-15,Beans - Retail,KG,pulses and nuts,463.75,MWK,Malawi,Central Region,1888.0,Nkhoma,809.0,50,15.0,5.0,5,809_50_15_5,,2015.0,Beans - Retail (KG),Beans,1431648000.0,1.0,0.0
2015-06-15,Beans - Retail,KG,pulses and nuts,516.4625,MWK,Malawi,Central Region,1888.0,Mitundu,791.0,50,15.0,5.0,5,791_50_15_5,,2015.0,Beans - Retail (KG),Beans,1434326400.0,1.0,0.0
2015-07-15,Beans - Retail,KG,pulses and nuts,522.878,MWK,Malawi,Central Region,1888.0,Mitundu,791.0,50,15.0,5.0,5,791_50_15_5,,2015.0,Beans - Retail (KG),Beans,1436918400.0,1.0,0.0
2015-08-15,Beans - Retail,KG,pulses and nuts,519.215,MWK,Malawi,Southern Region,1890.0,Monkey Bay,793.0,50,15.0,5.0,5,793_50_15_5,,2015.0,Beans - Retail (KG),Beans,1439596800.0,1.0,0.0
2015-09-15,Beans - Retail,KG,pulses and nuts,518.42,MWK,Malawi,Northern Region,1889.0,Mzuzu,801.0,50,15.0,5.0,5,801_50_15_5,,2015.0,Beans - Retail (KG),Beans,1442275200.0,1.0,0.0
2015-10-15,Beans - Retail,KG,pulses and nuts,462.43,MWK,Malawi,Central Region,1888.0,Thete,822.0,50,15.0,5.0,5,822_50_15_5,,2015.0,Beans - Retail (KG),Beans,1444867200.0,1.0,0.0
2015-11-15,Beans - Retail,KG,pulses and nuts,460.8,MWK,Malawi,Southern Region,1890.0,Chiradzulu,773.0,50,15.0,5.0,5,773_50_15_5,,2015.0,Beans - Retail (KG),Beans,1447545600.0,1.0,0.0
2015-12-15,Beans - Retail,KG,pulses and nuts,614.19,MWK,Malawi,Central Region,1888.0,Mponela,795.0,50,15.0,5.0,5,795_50_15_5,,2015.0,Beans - Retail (KG),Beans,1450137600.0,1.0,0.0
2016-01-15,Beans - Retail,KG,pulses and nuts,670.8875,MWK,Malawi,Southern Region,1890.0,Bvumbwe,767.0,50,15.0,5.0,5,767_50_15_5,,2016.0,Beans - Retail (KG),Beans,1452816000.0,1.0,0.0
2016-02-15,Beans - Retail,KG,pulses and nuts,691.0975,MWK,Malawi,Southern Region,1890.0,Monkey Bay,793.0,50,15.0,5.0,5,793_50_15_5,,2016.0,Beans - Retail (KG),Beans,1455494400.0,1.0,0.0
