Rainfall - (MM), Year, Statistics, Country, ISO3
270.123,1991, Jan Average, Malawi, MWI
180.891,1991, Feb Average, Malawi, MWI
208.38,1991, Mar Average, Malawi, MWI
94.5087,1991, Apr Average, Malawi, MWI
19.4678,1991, May Average, Malawi, MWI
2.31401,1991, Jun Average, Malawi, MWI
9.97793,1991, Jul Average, Malawi, MWI
2.28472,1991, Aug Average, Malawi, MWI
4.8762,1991, Sep Average, Malawi, MWI
13.6732,1991, Oct Average, Malawi, MWI
81.7218,1991, Nov Average, Malawi, MWI
171.625,1991, Dec Average, Malawi, MWI
184.152,1992, Jan Average, Malawi, MWI
69.9821,1992, Feb Average, Malawi, MWI
156.026,1992, Mar Average, Malawi, MWI
38.7659,1992, Apr Average, Malawi, MWI
19.8563,1992, May Average, Malawi, MWI
4.58637,1992, Jun Average, Malawi, MWI
2.97051,1992, Jul Average, Malawi, MWI
0.3276,1992, Aug Average, Malawi, MWI
0.01029,1992, Sep Average, Malawi, MWI
2.29027,1992, Oct Average, Malawi, MWI
80.0148,1992, Nov Average, Malawi, MWI
168.552,1992, Dec Average, Malawi, MWI
258.631,1993, Jan Average, Malawi, MWI
218.628,1993, Feb Average, Malawi, MWI
172.998,1993, Mar Average, Malawi, MWI
81.2728,1993, Apr Average, Malawi, MWI
17.487,1993, May Average, Malawi, MWI
12.4404,1993, Jun Average, Malawi, MWI
2.54017,1993, Jul Average, Malawi, MWI
5.44864,1993, Aug Average, Malawi, MWI
5.84846,1993, Sep Average, Malawi, MWI
14.107,1993, Oct Average, Malawi, MWI
69.9573,1993, Nov Average, Malawi, MWI
98.9596,1993, Dec Average, Malawi, MWI
251.071,1994, Jan Average, Malawi, MWI
175.061,1994, Feb Average, Malawi, MWI
129.305,1994, Mar Average, Malawi, MWI
60.5344,1994, Apr Average, Malawi, MWI
2.85687,1994, May Average, Malawi, MWI
5.10176,1994, Jun Average, Malawi, MWI
2.85934,1994, Jul Average, Malawi, MWI
4.53583,1994, Aug Average, Malawi, MWI
1.94945,1994, Sep Average, Malawi, MWI
28.7545,1994, Oct Average, Malawi, MWI
40.1524,1994, Nov Average, Malawi, MWI
113.113,1994, Dec Average, Malawi, MWI
267.977,1995, Jan Average, Malawi, MWI
182.757,1995, Feb Average, Malawi, MWI
120.459,1995, Mar Average, Malawi, MWI
51.3507,1995, Apr Average, Malawi, MWI
15.492,1995, May Average, Malawi, MWI
2.02257,1995, Jun Average, Malawi, MWI
2.61997,1995, Jul Average, Malawi, MWI
2.38658,1995, Aug Average, Malawi, MWI
0.84412,1995, Sep Average, Malawi, MWI
3.91486,1995, Oct Average, Malawi, MWI
32.1672,1995, Nov Average, Malawi, MWI
239.801,1995, Dec Average, Malawi, MWI
215.021,1996, Jan Average, Malawi, MWI
265.888,1996, Feb Average, Malawi, MWI
247.538,1996, Mar Average, Malawi, MWI
67.8658,1996, Apr Average, Malawi, MWI
48.339,1996, May Average, Malawi, MWI
3.77052,1996, Jun Average, Malawi, MWI
4.59377,1996, Jul Average, Malawi, MWI
0.86492,1996, Aug Average, Malawi, MWI
2.50487,1996, Sep Average, Malawi, MWI
7.15362,1996, Oct Average, Malawi, MWI
24.9141,1996, Nov Average, Malawi, MWI
218.606,1996, Dec Average, Malawi, MWI
238.174,1997, Jan Average, Malawi, MWI
280.298,1997, Feb Average, Malawi, MWI
117.39,1997, Mar Average, Malawi, MWI
134.837,1997, Apr Average, Malawi, MWI
3.88681,1997, May Average, Malawi, MWI
1.7105,1997, Jun Average, Malawi, MWI
17.9929,1997, Jul Average, Malawi, MWI
0.24738,1997, Aug Average, Malawi, MWI
5.51118,1997, Sep Average, Malawi, MWI
30.547,1997, Oct Average, Malawi, MWI
78.842,1997, Nov Average, Malawi, MWI
272.967,1997, Dec Average, Malawi, MWI
280.473,1998, Jan Average, Malawi, MWI
173.418,1998, Feb Average, Malawi, MWI
109.132,1998, Mar Average, Malawi, MWI
55.6416,1998, Apr Average, Malawi, MWI
5.76929,1998, May Average, Malawi, MWI
0.96528,1998, Jun Average, Malawi, MWI
2.74243,1998, Jul Average, Malawi, MWI
4.67626,1998, Aug Average, Malawi, MWI
1.10235,1998, Sep Average, Malawi, MWI
15.822,1998, Oct Average, Malawi, MWI
41.4013,1998, Nov Average, Malawi, MWI
126.686,1998, Dec Average, Malawi, MWI
308.548,1999, Jan Average, Malawi, MWI
224.386,1999, Feb Average, Malawi, MWI
305.096,1999, Mar Average, Malawi, MWI
128.539,1999, Apr Average, Malawi, MWI
17.3611,1999, May Average, Malawi, MWI
11.9062,1999, Jun Average, Malawi, MWI
8.03799,1999, Jul Average, Malawi, MWI
6.48797,1999, Aug Average, Malawi, MWI
2.49592,1999, Sep Average, Malawi, MWI
2.47244,1999, Oct Average, Malawi, MWI
60.5037,1999, Nov Average, Malawi, MWI
117.73,1999, Dec Average, Malawi, MWI
212.528,2000, Jan Average, Malawi, MWI
199.966,2000, Feb Average, Malawi, MWI
201.535,2000, Mar Average, Malawi, MWI
63.4879,2000, Apr Average, Malawi, MWI
11.6383,2000, May Average, Malawi, MWI
6.63276,2000, Jun Average, Malawi, MWI
5.5895,2000, Jul Average, Malawi, MWI
0.98838,2000, Aug Average, Malawi, MWI
0.32534,2000, Sep Average, Malawi, MWI
8.41605,2000, Oct Average, Malawi, MWI
153.378,2000, Nov Average, Malawi, MWI
233.249,2000, Dec Average, Malawi, MWI
220.092,2001, Jan Average, Malawi, MWI
298.969,2001, Feb Average, Malawi, MWI
258.82,2001, Mar Average, Malawi, MWI
54.4563,2001, Apr Average, Malawi, MWI
43.9798,2001, May Average, Malawi, MWI
3.26176,2001, Jun Average, Malawi, MWI
1.76905,2001, Jul Average, Malawi, MWI
1.62999,2001, Aug Average, Malawi, MWI
1.54539,2001, Sep Average, Malawi, MWI
7.157,2001, Oct Average, Malawi, MWI
42.1384,2001, Nov Average, Malawi, MWI
184.29,2001, Dec Average, Malawi, MWI
257.918,2002, Jan Average, Malawi, MWI
132.355,2002, Feb Average, Malawi, MWI
218.424,2002, Mar Average, Malawi, MWI
75.8847,2002, Apr Average, Malawi, MWI
0.9419,2002, May Average, Malawi, MWI
21.5995,2002, Jun Average, Malawi, MWI
0.66433,2002, Jul Average, Malawi, MWI
7.13093,2002, Aug Average, Malawi, MWI
1.0251,2002, Sep Average, Malawi, MWI
