ISO3,DataId,Indicator,Value,Precision,DHS_CountryCode,CountryName,SurveyYear,SurveyId,IndicatorId,IndicatorOrder,IndicatorType,CharacteristicId,CharacteristicOrder,CharacteristicCategory,CharacteristicLabel,ByVariableId,ByVariableLabel,IsTotal,IsPreferred,SDRID,RegionId,SurveyYearLabel,SurveyType,DenominatorWeighted,DenominatorUnweighted,CILow,CIHigh
#country+code,#meta+id,#indicator+name,#indicator+value+num,#indicator+precision,,#country+name,#date+year,#survey+id,#indicator+code,,,,,,,#indicator+label+code,#indicator+label,,,,,,,,,,
MWI,1778,HIV prevalence among women,13.3,1,MW,Malawi,2004,MW2004DHS,HA_HIVP_W_HIV,135963160,I,10000,10000,Total 15-49,Total 15-49,0,,1,1,HAHIVPWHIV,,2004,DHS,2686,2864,11.7,14.9
MWI,37146,Number of women interviewed and tested,2686,0,MW,Malawi,2004,MW2004DHS,HA_HIVP_W_NUM,135963170,D,10000,10000,Total 15-49,Total 15-49,0,,1,1,HAHIVPWNUM,,2004,DHS,,2864,,
MWI,37157,Number of women interviewed and tested (unweighted),2864,0,MW,Malawi,2004,MW2004DHS,HA_HIVP_W_UNW,135963180,U,10000,10000,Total 15-49,Total 15-49,0,,1,1,HAHIVPWUNW,,2004,DHS,2686,,,
MWI,23719,HIV prevalence among men,10.2,1,MW,Malawi,2004,MW2004DHS,HA_HIVP_M_HIV,135964190,I,10000,10000,Total 15-49,Total 15-49,0,,1,1,HAHIVPMHIV,,2004,DHS,2465,2272,8.4,12
MWI,34528,Number of men interviewed and tested,2465,0,MW,Malawi,2004,MW2004DHS,HA_HIVP_M_NUM,135964200,D,10000,10000,Total 15-49,Total 15-49,0,,1,1,HAHIVPMNUM,,2004,DHS,,2272,,
MWI,36797,Number of men interviewed and tested (unweighted),2272,0,MW,Malawi,2004,MW2004DHS,HA_HIVP_M_UNW,135964210,U,10000,10000,Total 15-49,Total 15-49,0,,1,1,HAHIVPMUNW,,2004,DHS,2465,,,
MWI,395765,HIV prevalence among general population,11.8,1,MW,Malawi,2004,MW2004DHS,HA_HIVP_B_HIV,135965220,I,10000,10000,Total 15-49,Total 15-49,0,,1,1,HAHIVPBHIV,,2004,DHS,5150,5136,10.4,13.2
MWI,36427,Number of persons interviewed and tested,5150,0,MW,Malawi,2004,MW2004DHS,HA_HIVP_B_NUM,135965230,D,10000,10000,Total 15-49,Total 15-49,0,,1,1,HAHIVPBNUM,,2004,DHS,,5136,,
MWI,36742,Number of persons interviewed and tested (unweighted),5136,0,MW,Malawi,2004,MW2004DHS,HA_HIVP_B_UNW,135965240,U,10000,10000,Total 15-49,Total 15-49,0,,1,1,HAHIVPBUNW,,2004,DHS,5150,,,
MWI,419510,HIV prevalence among young women aged 15-24,9.1,1,MW,Malawi,2004,MW2004DHS,HA_HIVY_W_HIV,136003010,I,1000,0,Total,Total,0,,1,1,HAHIVYWHIV,,2004,DHS,1161,1236,7.3,10.9
MWI,434586,Number of young women interviewed and tested,1161,0,MW,Malawi,2004,MW2004DHS,HA_HIVY_W_NUM,136003020,D,1000,0,Total,Total,0,,1,1,HAHIVYWNUM,,2004,DHS,,1236,,
MWI,320863,Number of young women interviewed and tested (unweighted),1236,0,MW,Malawi,2004,MW2004DHS,HA_HIVY_W_UNW,136003030,U,1000,0,Total,Total,0,,1,1,HAHIVYWUNW,,2004,DHS,1161,,,
MWI,451272,HIV prevalence among young men aged 15-24,2.1,1,MW,Malawi,2004,MW2004DHS,HA_HIVY_M_HIV,136004040,I,1000,0,Total,Total,0,,1,1,HAHIVYMHIV,,2004,DHS,910,880,1,3.2
MWI,459128,Number of young men interviewed and tested,910,0,MW,Malawi,2004,MW2004DHS,HA_HIVY_M_NUM,136004050,D,1000,0,Total,Total,0,,1,1,HAHIVYMNUM,,2004,DHS,,880,,
MWI,291959,Number of young men interviewed and tested (unweighted),880,0,MW,Malawi,2004,MW2004DHS,HA_HIVY_M_UNW,136004060,U,1000,0,Total,Total,0,,1,1,HAHIVYMUNW,,2004,DHS,910,,,
MWI,30180,HIV prevalence among young people aged 15-24,6,1,MW,Malawi,2004,MW2004DHS,HA_HIVY_B_HIV,136005070,I,1000,0,Total,Total,0,,1,1,HAHIVYBHIV,,2004,DHS,2071,2116,4.8,7.2
MWI,435220,Number of young persons interviewed and tested,2071,0,MW,Malawi,2004,MW2004DHS,HA_HIVY_B_NUM,136005080,D,1000,0,Total,Total,0,,1,1,HAHIVYBNUM,,2004,DHS,,2116,,
MWI,262918,Number of young persons interviewed and tested (unweighted),2116,0,MW,Malawi,2004,MW2004DHS,HA_HIVY_B_UNW,136005090,U,1000,0,Total,Total,0,,1,1,HAHIVYBUNW,,2004,DHS,2071,,,
MWI,36201,Circumcised men HIV positive,13.2,1,MW,Malawi,2004,MW2004DHS,HA_HPMC_M_HVC,136064010,I,10000,10000,Total 15-49,Total 15-49,0,,1,1,HAHPMCMHVC,,2004,DHS,500,527,,
MWI,36426,Number of circumcised men,500,0,MW,Malawi,2004,MW2004DHS,HA_HPMC_M_NM1,136064020,D,10000,10000,Total 15-49,Total 15-49,0,,1,1,HAHPMCMNM1,,2004,DHS,,527,,
MWI,36776,Number of circumcised men (unweighted),527,0,MW,Malawi,2004,MW2004DHS,HA_HPMC_M_UN1,136064030,U,10000,10000,Total 15-49,Total 15-49,0,,1,1,HAHPMCMUN1,,2004,DHS,500,,,
MWI,36577,Uncircumcised men HIV positive,9.5,1,MW,Malawi,2004,MW2004DHS,HA_HPMC_M_HVU,136064040,I,10000,10000,Total 15-49,Total 15-49,0,,1,1,HAHPMCMHVU,,2004,DHS,1903,1687,,
MWI,36605,Number of uncircumcised men,1903,0,MW,Malawi,2004,MW2004DHS,HA_HPMC_M_NM2,136064050,D,10000,10000,Total 15-49,Total 15-49,0,,1,1,HAHPMCMNM2,,2004,DHS,,1687,,
MWI,32025,Number of uncircumcised men (unweighted),1687,0,MW,Malawi,2004,MW2004DHS,HA_HPMC_M_UN2,136064060,U,10000,10000,Total 15-49,Total 15-49,0,,1,1,HAHPMCMUN2,,2004,DHS,1903,,,
MWI,446963,Couple both HIV positive,7,1,MW,Malawi,2004,MW2004DHS,HA_HPAC_B_CPP,136105010,I,1000,0,Total,Total,0,,1,1,HAHPACBCPP,,2004,DHS,1324,1297,,
MWI,446964,"Man HIV positive, woman HIV negative",5.7,1,MW,Malawi,2004,MW2004DHS,HA_HPAC_B_CPN,136105020,I,1000,0,Total,Total,0,,1,1,HAHPACBCPN,,2004,DHS,1324,1297,,
MWI,446965,"Woman HIV positive, man HIV negative",4,1,MW,Malawi,2004,MW2004DHS,HA_HPAC_B_CNP,136105030,I,1000,0,Total,Total,0,,1,1,HAHPACBCNP,,2004,DHS,1324,1297,,
MWI,446967,Couple both HIV negative,83.3,1,MW,Malawi,2004,MW2004DHS,HA_HPAC_B_CNN,136105040,I,1000,0,Total,Total,0,,1,1,HAHPACBCNN,,2004,DHS,1324,1297,,
MWI,446966,HIV prevalence among couples: Total,100,1,MW,Malawi,2004,MW2004DHS,HA_HPAC_B_TOT,136105050,T,1000,0,Total,Total,0,,1,1,HAHPACBTOT,,2004,DHS,1324,1297,,
MWI,459155,Number of couples,1324,0,MW,Malawi,2004,MW2004DHS,HA_HPAC_B_NUM,136105060,D,1000,0,Total,Total,0,,1,1,HAHPACBNUM,,2004,DHS,,1297,,
MWI,303401,Number of couples (unweighted),1297,0,MW,Malawi,2004,MW2004DHS,HA_HPAC_B_UNW,136105070,U,1000,0,Total,Total,0,,1,1,HAHPACBUNW,,2004,DHS,1324,,,
MWI,27238,HIV prevalence among women,12.9,1,MW,Malawi,2010,MW2010DHS,HA_HIVP_W_HIV,135963160,I,10000,10000,Total 15-49,Total 15-49,0,,1,1,HAHIVPWHIV,,2010,DHS,7091,7398,11.6,14.2
MWI,352281,Number of women interviewed and tested,7091,0,MW,Malawi,2010,MW2010DHS,HA_HIVP_W_NUM,135963170,D,10000,10000,Total 15-49,Total 15-49,0,,1,1,HAHIVPWNUM,,2010,DHS,,7398,,
MWI,533717,Number of women interviewed and tested (unweighted),7398,0,MW,Malawi,2010,MW2010DHS,HA_HIVP_W_UNW,135963180,U,10000,10000,Total 15-49,Total 15-49,0,,1,1,HAHIVPWUNW,,2010,DHS,7091,,,
MWI,370451,HIV prevalence among men,8.1,1,MW,Malawi,2010,MW2010DHS,HA_HIVP_M_HIV,135964190,I,10000,10000,Total 15-49,Total 15-49,0,,1,1,HAHIVPMHIV,,2010,DHS,6497,6179,7.1,9.2
MWI,352273,Number of men interviewed and tested,6497,0,MW,Malawi,2010,MW2010DHS,HA_HIVP_M_NUM,135964200,D,10000,10000,Total 15-49,Total 15-49,0,,1,1,HAHIVPMNUM,,2010,DHS,,6179,,
MWI,515695,Number of men interviewed and tested (unweighted),6179,0,MW,Malawi,2010,MW2010DHS,HA_HIVP_M_UNW,135964210,U,10000,10000,Total 15-49,Total 15-49,0,,1,1,HAHIVPMUNW,,2010,DHS,6497,,,
MWI,201875,HIV prevalence among general population,10.6,1,MW,Malawi,2010,MW2010DHS,HA_HIVP_B_HIV,135965220,I,10000,10000,Total 15-49,Total 15-49,0,,1,1,HAHIVPBHIV,,2010,DHS,13588,13577,9.6,11.6
MWI,352275,Number of persons interviewed and tested,13588,0,MW,Malawi,2010,MW2010DHS,HA_HIVP_B_NUM,135965230,D,10000,10000,Total 15-49,Total 15-49,0,,1,1,HAHIVPBNUM,,2010,DHS,,13577,,
MWI,533709,Number of persons interviewed and tested (unweighted),13577,0,MW,Malawi,2010,MW2010DHS,HA_HIVP_B_UNW,135965240,U,10000,10000,Total 15-49,Total 15-49,0,,1,1,HAHIVPBUNW,,2010,DHS,13588,,,
MWI,317432,HIV prevalence among young women aged 15-24,5.2,1,MW,Malawi,2010,MW2010DHS,HA_HIVY_W_HIV,136003010,I,1000,0,Total,Total,0,,1,1,HAHIVYWHIV,,2010,DHS,2946,3060,4.1,6.3
MWI,201426,Number of young women interviewed and tested,2946,0,MW,Malawi,2010,MW2010DHS,HA_HIVY_W_NUM,136003020,D,1000,0,Total,Total,0,,1,1,HAHIVYWNUM,,2010,DHS,,3060,,
MWI,317739,Number of young women interviewed and tested (unweighted),3060,0,MW,Malawi,2010,MW2010DHS,HA_HIVY_W_UNW,136003030,U,1000,0,Total,Total,0,,1,1,HAHIVYWUNW,,2010,DHS,2946,,,
MWI,201446,HIV prevalence among young men aged 15-24,1.9,1,MW,Malawi,2010,MW2010DHS,HA_HIVY_M_HIV,136004040,I,1000,0,Total,Total,0,,1,1,HAHIVYMHIV,,2010,DHS,2879,2711,1.2,2.7
MWI,201443,Number of young men interviewed and tested,2879,0,MW,Malawi,2010,MW2010DHS,HA_HIVY_M_NUM,136004050,D,1000,0,Total,Total,0,,1,1,HAHIVYMNUM,,2010,DHS,,2711,,
