ISO3,DataId,Indicator,Value,Precision,DHS_CountryCode,CountryName,SurveyYear,SurveyId,IndicatorId,IndicatorOrder,IndicatorType,CharacteristicId,CharacteristicOrder,CharacteristicCategory,CharacteristicLabel,ByVariableId,ByVariableLabel,IsTotal,IsPreferred,SDRID,RegionId,SurveyYearLabel,SurveyType,DenominatorWeighted,DenominatorUnweighted,CILow,CIHigh
#country+code,#meta+id,#indicator+name,#indicator+value+num,#indicator+precision,,#country+name,#date+year,#survey+id,#indicator+code,,,,,,,#indicator+label+code,#indicator+label,,,,,,,,,,
MWI,88137,Households with salt tested for iodine content,90.4,1,MW,Malawi,2000,MW2000DHS,CN_IODZ_H_SLT,104531010,I,1000,0,Total,Total,0,,1,1,CNIODZHSLT,,2000,DHS,14213,14213,,
MWI,88146,Households with no salt,9.6,1,MW,Malawi,2000,MW2000DHS,CN_IODZ_H_NSL,104531020,I,1000,0,Total,Total,0,,1,1,CNIODZHNSL,,2000,DHS,14213,14213,,
MWI,88138,Number of households,14213,0,MW,Malawi,2000,MW2000DHS,CN_IODZ_H_NM1,104531030,D,1000,0,Total,Total,0,,1,1,CNIODZHNM1,,2000,DHS,,14213,,
MWI,88147,Number of households (unweighted),14213,0,MW,Malawi,2000,MW2000DHS,CN_IODZ_H_UN1,104531040,U,1000,0,Total,Total,0,,1,1,CNIODZHUN1,,2000,DHS,14213,,,
MWI,365054,Households with iodized salt,82,1,MW,Malawi,2000,MW2000DHS,CN_IODZ_H_IOD,104531050,I,1000,0,Total,Total,0,,1,1,CNIODZHIOD,,2000,DHS,12844,12986,,
MWI,88139,Number of households with salt tested,12844,0,MW,Malawi,2000,MW2000DHS,CN_IODZ_H_NM2,104531060,D,1000,0,Total,Total,0,,1,1,CNIODZHNM2,,2000,DHS,,12986,,
MWI,365057,Number of households with salt tested (unweighted),12986,0,MW,Malawi,2000,MW2000DHS,CN_IODZ_H_UN2,104531070,U,1000,0,Total,Total,0,,1,1,CNIODZHUN2,,2000,DHS,12844,,,
MWI,490945,Households with salt tested for iodine content,78.8,1,MW,Malawi,2010,MW2010DHS,CN_IODZ_H_SLT,104531010,I,1000,0,Total,Total,0,,1,1,CNIODZHSLT,,2010,DHS,24825,24825,,
MWI,490946,Households with no salt,21.2,1,MW,Malawi,2010,MW2010DHS,CN_IODZ_H_NSL,104531020,I,1000,0,Total,Total,0,,1,1,CNIODZHNSL,,2010,DHS,24825,24825,,
MWI,503829,Number of households,24825,0,MW,Malawi,2010,MW2010DHS,CN_IODZ_H_NM1,104531030,D,1000,0,Total,Total,0,,1,1,CNIODZHNM1,,2010,DHS,,24825,,
MWI,380604,Number of households (unweighted),24825,0,MW,Malawi,2010,MW2010DHS,CN_IODZ_H_UN1,104531040,U,1000,0,Total,Total,0,,1,1,CNIODZHUN1,,2010,DHS,24825,,,
MWI,542414,Households with iodized salt,97.2,1,MW,Malawi,2010,MW2010DHS,CN_IODZ_H_IOD,104531050,I,1000,0,Total,Total,0,,1,1,CNIODZHIOD,,2010,DHS,19552,19581,,
MWI,6433,Number of households with salt tested,19552,0,MW,Malawi,2010,MW2010DHS,CN_IODZ_H_NM2,104531060,D,1000,0,Total,Total,0,,1,1,CNIODZHNM2,,2010,DHS,,19581,,
MWI,272656,Number of households with salt tested (unweighted),19581,0,MW,Malawi,2010,MW2010DHS,CN_IODZ_H_UN2,104531070,U,1000,0,Total,Total,0,,1,1,CNIODZHUN2,,2010,DHS,19552,,,
MWI,448302,Households with salt tested for iodine content,85.3,1,MW,Malawi,2015,MW2015DHS,CN_IODZ_H_SLT,104531010,I,1000,0,Total,Total,0,,1,1,CNIODZHSLT,,2015-16,DHS,26361,26361,,
MWI,448303,Households with no salt,14.7,1,MW,Malawi,2015,MW2015DHS,CN_IODZ_H_NSL,104531020,I,1000,0,Total,Total,0,,1,1,CNIODZHNSL,,2015-16,DHS,26361,26361,,
MWI,448304,Number of households,26361,0,MW,Malawi,2015,MW2015DHS,CN_IODZ_H_NM1,104531030,D,1000,0,Total,Total,0,,1,1,CNIODZHNM1,,2015-16,DHS,,26361,,
MWI,254711,Number of households (unweighted),26361,0,MW,Malawi,2015,MW2015DHS,CN_IODZ_H_UN1,104531040,U,1000,0,Total,Total,0,,1,1,CNIODZHUN1,,2015-16,DHS,26361,,,
MWI,419249,Households with iodized salt,89.7,1,MW,Malawi,2015,MW2015DHS,CN_IODZ_H_IOD,104531050,I,1000,0,Total,Total,0,,1,1,CNIODZHIOD,,2015-16,DHS,22489,22921,,
MWI,429023,Number of households with salt tested,22489,0,MW,Malawi,2015,MW2015DHS,CN_IODZ_H_NM2,104531060,D,1000,0,Total,Total,0,,1,1,CNIODZHNM2,,2015-16,DHS,,22921,,
MWI,313886,Number of households with salt tested (unweighted),22921,0,MW,Malawi,2015,MW2015DHS,CN_IODZ_H_UN2,104531070,U,1000,0,Total,Total,0,,1,1,CNIODZHUN2,,2015-16,DHS,22489,,,
