ISO3,DataId,Indicator,Value,Precision,DHS_CountryCode,CountryName,SurveyYear,SurveyId,IndicatorId,IndicatorOrder,IndicatorType,CharacteristicId,CharacteristicOrder,CharacteristicCategory,CharacteristicLabel,ByVariableId,ByVariableLabel,IsTotal,IsPreferred,SDRID,RegionId,SurveyYearLabel,SurveyType,DenominatorWeighted,DenominatorUnweighted,CILow,CIHigh
#country+code,#meta+id,#indicator+name,#indicator+value+num,#indicator+precision,,#country+name,#date+year,#survey+id,#indicator+code,,,,,,,#indicator+label+code,#indicator+label,,,,,,,,,,
MWI,89366,Households with at least one insecticide-treated mosquito net (ITN),27.4,1,MW,Malawi,2004,MW2004DHS,ML_NETP_H_ITN,124661020,I,1000,0,Total,Total,0,,1,1,MLNETPHITN,,2004,DHS,13664,13664,,
MWI,89353,Households with at least one insecticide-treated mosquito net (ITN) for every two persons who stayed in the household the previous night,9.4,1,MW,Malawi,2004,MW2004DHS,ML_NETP_H_IT2,124661100,I,1000,0,Total,Total,0,,1,1,MLNETPHIT2,,2004,DHS,13624,13631,,
MWI,430050,Persons with access to an insecticide-treated mosquito net (ITN),18.7,1,MW,Malawi,2004,MW2004DHS,ML_ITNA_P_ACC,124732130,I,1000,0,Total,Total,0,,1,1,MLITNAPACC,,2004,DHS,58886,58812,,
MWI,390550,Population who slept under an insecticide-treated mosquito net (ITN) last night,11.9,1,MW,Malawi,2004,MW2004DHS,ML_NETU_P_ITN,124762020,I,1000,0,Total,Total,0,,1,1,MLNETUPITN,,2004,DHS,58886,58812,,
MWI,525145,Children under 5 who slept under an insecticide-treated net (ITN),14.8,1,MW,Malawi,2004,MW2004DHS,ML_NETC_C_ITN,124836020,I,1000,0,Total,Total,0,,1,1,MLNETCCITN,,2004,DHS,10539,10668,,
MWI,426653,Children under 5 who slept under an insecticide-treated mosquito net (ITN) last night of those living in a household with at least one ITN,46.5,1,MW,Malawi,2004,MW2004DHS,ML_NETC_C_IT1,124836070,I,1000,0,Total,Total,0,,1,1,MLNETCCIT1,,2004,DHS,3350,3562,,
MWI,428491,Pregnant women who slept under an insecticide-treated net (ITN),14.7,1,MW,Malawi,2004,MW2004DHS,ML_NETW_W_ITN,124863020,I,1000,0,Total,Total,0,,1,1,MLNETWWITN,,2004,DHS,1405,1449,,
MWI,451102,Pregnant women who slept under insecticide-treated mosquito net (ITN) last night of those living in a household with at least one ITN,51.9,1,MW,Malawi,2004,MW2004DHS,ML_NETW_W_IT1,124863070,I,1000,0,Total,Total,0,,1,1,MLNETWWIT1,,2004,DHS,397,435,,
MWI,441204,"SP/Fansidar 2+ doses, at least one during ANC visit (IPTp)",42.9,1,MW,Malawi,2004,MW2004DHS,ML_IPTP_W_2SA,124903040,I,1000,0,Total,Total,0,,1,1,MLIPTPW2SA,,2004,DHS,4604,4662,,
MWI,441206,"SP/Fansidar 3+ doses, at least one during ANC visit (IPTp)",13.7,1,MW,Malawi,2004,MW2004DHS,ML_IPTP_W_3SA,124903050,I,1000,0,Total,Total,0,,1,1,MLIPTPW3SA,,2004,DHS,4604,4662,,
