ISO3,DataId,Indicator,Value,Precision,DHS_CountryCode,CountryName,SurveyYear,SurveyId,IndicatorId,IndicatorOrder,IndicatorType,CharacteristicId,CharacteristicOrder,CharacteristicCategory,CharacteristicLabel,ByVariableId,ByVariableLabel,IsTotal,IsPreferred,SDRID,RegionId,SurveyYearLabel,SurveyType,DenominatorWeighted,DenominatorUnweighted,CILow,CIHigh
#country+code,#meta+id,#indicator+name,#indicator+value+num,#indicator+precision,,#country+name,#date+year,#survey+id,#indicator+code,,,,,,,#indicator+label+code,#indicator+label,,,,,,,,,,
MWI,422823,Children stunted,55.2,1,MW,Malawi,1992,MW1992DHS,CN_NUTS_C_HA2,104236020,I,1000,0,Total,Total,0,,1,1,CNNUTSCHA2,,1992,DHS,3213,3174,,
MWI,422819,Children wasted,6.4,1,MW,Malawi,1992,MW1992DHS,CN_NUTS_C_WH2,104236050,I,1000,0,Total,Total,0,,1,1,CNNUTSCWH2,,1992,DHS,3213,3174,,
MWI,422820,Children overweight,9.4,1,MW,Malawi,1992,MW1992DHS,CN_NUTS_C_WHP,104236060,I,1000,0,Total,Total,0,,1,1,CNNUTSCWHP,,1992,DHS,3213,3174,,
MWI,430413,Children exclusively breastfed,3.9,1,MW,Malawi,1992,MW1992DHS,CN_BRFS_C_EXB,104306020,I,295001,21001,Age in months (other groupings),0-5,0,,1,1,CNBRFSCEXB,,1992,DHS,501,487,,
MWI,430415,Children currently breastfeeding,99.3,1,MW,Malawi,1992,MW1992DHS,CN_BRFS_C_BRF,104306080,I,295001,21001,Age in months (other groupings),0-5,0,,1,1,CNBRFSCBRF,,1992,DHS,501,487,,
MWI,12976,Women who are thin according to BMI (<18.5),9.7,1,MW,Malawi,1992,MW1992DHS,AN_NUTS_W_THN,114563060,I,1000,0,Total,Total,0,,1,1,ANNUTSWTHN,,1992,DHS,2198,2193,,
MWI,12992,Women who are overweight or obese according to BMI (>=25.0),8.9,1,MW,Malawi,1992,MW1992DHS,AN_NUTS_W_OWT,114563090,I,1000,0,Total,Total,0,,1,1,ANNUTSWOWT,,1992,DHS,2198,2193,,
MWI,88128,Children stunted,54.6,1,MW,Malawi,2000,MW2000DHS,CN_NUTS_C_HA2,104236020,I,1000,0,Total,Total,0,,1,1,CNNUTSCHA2,,2000,DHS,10005,9996,,
MWI,88124,Children wasted,6.6,1,MW,Malawi,2000,MW2000DHS,CN_NUTS_C_WH2,104236050,I,1000,0,Total,Total,0,,1,1,CNNUTSCWH2,,2000,DHS,10005,9996,,
MWI,88125,Children overweight,7.9,1,MW,Malawi,2000,MW2000DHS,CN_NUTS_C_WHP,104236060,I,1000,0,Total,Total,0,,1,1,CNNUTSCWHP,,2000,DHS,10005,9996,,
MWI,88117,Children who started breastfeeding within 1 hour of birth,70.2,1,MW,Malawi,2000,MW2000DHS,CN_BRFI_C_1HR,104266020,I,1000,0,Total,Total,0,,1,1,CNBRFIC1HR,,2000,DHS,5063,4971,,
MWI,7591,Children exclusively breastfed,44,1,MW,Malawi,2000,MW2000DHS,CN_BRFS_C_EXB,104306020,I,295001,21001,Age in months (other groupings),0-5,0,,1,1,CNBRFSCEXB,,2000,DHS,1257,1242,,
MWI,7593,Children currently breastfeeding,100,1,MW,Malawi,2000,MW2000DHS,CN_BRFS_C_BRF,104306080,I,295001,21001,Age in months (other groupings),0-5,0,,1,1,CNBRFSCBRF,,2000,DHS,1257,1242,,
MWI,365054,Households with iodized salt,82,1,MW,Malawi,2000,MW2000DHS,CN_IODZ_H_IOD,104531050,I,1000,0,Total,Total,0,,1,1,CNIODZHIOD,,2000,DHS,12844,12986,,
MWI,88157,Women who are thin according to BMI (<18.5),8.8,1,MW,Malawi,2000,MW2000DHS,AN_NUTS_W_THN,114563060,I,1000,0,Total,Total,0,,1,1,ANNUTSWTHN,,2000,DHS,11125,11103,,
MWI,88152,Women who are overweight or obese according to BMI (>=25.0),11.9,1,MW,Malawi,2000,MW2000DHS,AN_NUTS_W_OWT,114563090,I,1000,0,Total,Total,0,,1,1,ANNUTSWOWT,,2000,DHS,11125,11103,,
MWI,444955,Children stunted,52.5,1,MW,Malawi,2004,MW2004DHS,CN_NUTS_C_HA2,104236020,I,1000,0,Total,Total,0,,1,1,CNNUTSCHA2,,2004,DHS,8568,8860,,
MWI,444950,Children wasted,6,1,MW,Malawi,2004,MW2004DHS,CN_NUTS_C_WH2,104236050,I,1000,0,Total,Total,0,,1,1,CNNUTSCWH2,,2004,DHS,8568,8860,,
MWI,444951,Children overweight,9.4,1,MW,Malawi,2004,MW2004DHS,CN_NUTS_C_WHP,104236060,I,1000,0,Total,Total,0,,1,1,CNNUTSCWHP,,2004,DHS,8568,8860,,
MWI,321749,Children who started breastfeeding within 1 hour of birth,67.7,1,MW,Malawi,2004,MW2004DHS,CN_BRFI_C_1HR,104266020,I,1000,0,Total,Total,0,,1,1,CNBRFIC1HR,,2004,DHS,4604,4662,,
MWI,89043,Children exclusively breastfed,52.8,1,MW,Malawi,2004,MW2004DHS,CN_BRFS_C_EXB,104306020,I,295001,21001,Age in months (other groupings),0-5,0,,1,1,CNBRFSCEXB,,2004,DHS,1092,1099,,
MWI,89046,Children currently breastfeeding,99.4,1,MW,Malawi,2004,MW2004DHS,CN_BRFS_C_BRF,104306080,I,295001,21001,Age in months (other groupings),0-5,0,,1,1,CNBRFSCBRF,,2004,DHS,1092,1099,,
MWI,448039,Women who are thin according to BMI (<18.5),9.2,1,MW,Malawi,2004,MW2004DHS,AN_NUTS_W_THN,114563060,I,1000,0,Total,Total,0,,1,1,ANNUTSWTHN,,2004,DHS,9280,9432,,
MWI,448041,Women who are overweight or obese according to BMI (>=25.0),13.7,1,MW,Malawi,2004,MW2004DHS,AN_NUTS_W_OWT,114563090,I,1000,0,Total,Total,0,,1,1,ANNUTSWOWT,,2004,DHS,9280,9432,,
MWI,331567,Children stunted,47.1,1,MW,Malawi,2010,MW2010DHS,CN_NUTS_C_HA2,104236020,I,1000,0,Total,Total,0,,1,1,CNNUTSCHA2,,2010,DHS,4849,4880,,
MWI,331562,Children wasted,4,1,MW,Malawi,2010,MW2010DHS,CN_NUTS_C_WH2,104236050,I,1000,0,Total,Total,0,,1,1,CNNUTSCWH2,,2010,DHS,4849,4880,,
MWI,331566,Children overweight,8.3,1,MW,Malawi,2010,MW2010DHS,CN_NUTS_C_WHP,104236060,I,1000,0,Total,Total,0,,1,1,CNNUTSCWHP,,2010,DHS,4849,4880,,
MWI,272644,Children who started breastfeeding within 1 hour of birth,94.2,1,MW,Malawi,2010,MW2010DHS,CN_BRFI_C_1HR,104266020,I,1000,0,Total,Total,0,,1,1,CNBRFIC1HR,,2010,DHS,7724,7755,,
MWI,13173,Children exclusively breastfed,71.5,1,MW,Malawi,2010,MW2010DHS,CN_BRFS_C_EXB,104306020,I,295001,21001,Age in months (other groupings),0-5,0,,1,1,CNBRFSCEXB,,2010,DHS,1656,1663,,
MWI,13166,Children currently breastfeeding,99.4,1,MW,Malawi,2010,MW2010DHS,CN_BRFS_C_BRF,104306080,I,295001,21001,Age in months (other groupings),0-5,0,,1,1,CNBRFSCBRF,,2010,DHS,1656,1663,,
MWI,542414,Households with iodized salt,97.2,1,MW,Malawi,2010,MW2010DHS,CN_IODZ_H_IOD,104531050,I,1000,0,Total,Total,0,,1,1,CNIODZHIOD,,2010,DHS,19552,19581,,
MWI,89201,Women who are thin according to BMI (<18.5),8.8,1,MW,Malawi,2010,MW2010DHS,AN_NUTS_W_THN,114563060,I,1000,0,Total,Total,0,,1,1,ANNUTSWTHN,,2010,DHS,6684,6705,,
MWI,89207,Women who are overweight or obese according to BMI (>=25.0),17.1,1,MW,Malawi,2010,MW2010DHS,AN_NUTS_W_OWT,114563090,I,1000,0,Total,Total,0,,1,1,ANNUTSWOWT,,2010,DHS,6684,6705,,
MWI,527047,Women with a birth in the past five years who took iron tablets or syrup for 90+ days,32.3,1,MW,Malawi,2010,MW2010DHS,AN_MIAM_W_90P,114633050,I,1000,0,Total,Total,0,,1,1,ANMIAMW90P,,2010,DHS,13664,13776,,
MWI,254635,Children stunted,37.1,1,MW,Malawi,2015,MW2015DHS,CN_NUTS_C_HA2,104236020,I,1000,0,Total,Total,0,,1,1,CNNUTSCHA2,,2015-16,DHS,5707,5686,,
MWI,254629,Children wasted,2.7,1,MW,Malawi,2015,MW2015DHS,CN_NUTS_C_WH2,104236050,I,1000,0,Total,Total,0,,1,1,CNNUTSCWH2,,2015-16,DHS,5707,5686,,
MWI,254638,Children overweight,5,1,MW,Malawi,2015,MW2015DHS,CN_NUTS_C_WHP,104236060,I,1000,0,Total,Total,0,,1,1,CNNUTSCWHP,,2015-16,DHS,5707,5686,,
MWI,444139,Children who started breastfeeding within 1 hour of birth,76.3,1,MW,Malawi,2015,MW2015DHS,CN_BRFI_C_1HR,104266020,I,1000,0,Total,Total,0,,1,1,CNBRFIC1HR,,2015-16,DHS,6693,6683,,
MWI,346449,Children exclusively breastfed,61,1,MW,Malawi,2015,MW2015DHS,CN_BRFS_C_EXB,104306020,I,295001,21001,Age in months (other groupings),0-5,0,,1,1,CNBRFSCEXB,,2015-16,DHS,1627,1636,,
MWI,346447,Children currently breastfeeding,92.7,1,MW,Malawi,2015,MW2015DHS,CN_BRFS_C_BRF,104306080,I,295001,21001,Age in months (other groupings),0-5,0,,1,1,CNBRFSCBRF,,2015-16,DHS,1627,1636,,
MWI,254661,Breastfed children 6-23 months fed both 4+ food groups and the minimum meal frequency,8.6,1,MW,Malawi,2015,MW2015DHS,CN_IYCF_C_BTB,104436030,I,1000,0,Total,Total,0,,1,1,CNIYCFCBTB,,2015-16,DHS,4145,4103,,
MWI,254665,Non-breastfed children 6-23 months with 3 IYCF practices,4.3,1,MW,Malawi,2015,MW2015DHS,CN_IYCF_C_3PN,104436090,I,1000,0,Total,Total,0,,1,1,CNIYCFC3PN,,2015-16,DHS,613,644,,
MWI,419249,Households with iodized salt,89.7,1,MW,Malawi,2015,MW2015DHS,CN_IODZ_H_IOD,104531050,I,1000,0,Total,Total,0,,1,1,CNIODZHIOD,,2015-16,DHS,22489,22921,,
MWI,315716,Women who are thin according to BMI (<18.5),7.2,1,MW,Malawi,2015,MW2015DHS,AN_NUTS_W_THN,114563060,I,1000,0,Total,Total,0,,1,1,ANNUTSWTHN,,2015-16,DHS,7180,7231,,
MWI,315452,Women who are overweight or obese according to BMI (>=25.0),20.7,1,MW,Malawi,2015,MW2015DHS,AN_NUTS_W_OWT,114563090,I,1000,0,Total,Total,0,,1,1,ANNUTSWOWT,,2015-16,DHS,7180,7231,,
MWI,520105,Women with a birth in the past five years who took iron tablets or syrup for 90+ days,33.4,1,MW,Malawi,2015,MW2015DHS,AN_MIAM_W_90P,114633050,I,1000,0,Total,Total,0,,1,1,ANMIAMW90P,,2015-16,DHS,13515,13448,,
