Reference area,Time Period,Unit of measure,Obs value,Obs status,Unit mult,Decimals,Freq,Country-iso3,Indicator name
#geo+reference+area,#date,#meta+unit+measure+name,#indicator+value+num,,#meta+unit+mult+name,#meta+decimals,#indicator+frequency,#country+iso3,#indicator+name
MW,1970,LCU_USD,0.8333,A,0,5,A,MWI,DEC
MW,1971,LCU_USD,0.8309,A,0,5,A,MWI,DEC
MW,1972,LCU_USD,0.8016,A,0,5,A,MWI,DEC
MW,1973,LCU_USD,0.8193,A,0,5,A,MWI,DEC
MW,1974,LCU_USD,0.8412,A,0,5,A,MWI,DEC
MW,1975,LCU_USD,0.8638,A,0,5,A,MWI,DEC
MW,1976,LCU_USD,0.913,A,0,5,A,MWI,DEC
MW,1977,LCU_USD,0.9029,A,0,5,A,MWI,DEC
MW,1978,LCU_USD,0.8437,A,0,5,A,MWI,DEC
MW,1979,LCU_USD,0.8169,A,0,5,A,MWI,DEC
MW,1980,LCU_USD,0.8121,A,0,5,A,MWI,DEC
MW,1981,LCU_USD,0.8953,A,0,5,A,MWI,DEC
MW,1982,LCU_USD,1.0555,A,0,5,A,MWI,DEC
MW,1983,LCU_USD,1.1748,A,0,5,A,MWI,DEC
MW,1984,LCU_USD,1.4134,A,0,5,A,MWI,DEC
MW,1985,LCU_USD,1.7191,A,0,5,A,MWI,DEC
MW,1986,LCU_USD,1.8611,A,0,5,A,MWI,DEC
MW,1987,LCU_USD,2.2087,A,0,5,A,MWI,DEC
MW,1988,LCU_USD,2.5613,A,0,5,A,MWI,DEC
MW,1989,LCU_USD,2.7595,A,0,5,A,MWI,DEC
MW,1990,LCU_USD,2.7289,A,0,5,A,MWI,DEC
MW,1991,LCU_USD,2.8033,A,0,5,A,MWI,DEC
MW,1992,LCU_USD,3.6033,A,0,5,A,MWI,DEC
MW,1993,LCU_USD,4.4028,A,0,5,A,MWI,DEC
MW,1994,LCU_USD,8.7364,A,0,5,A,MWI,DEC
MW,1995,LCU_USD,15.2837,A,0,5,A,MWI,DEC
MW,1996,LCU_USD,15.3085,A,0,5,A,MWI,DEC
MW,1997,LCU_USD,16.4442,A,0,5,A,MWI,DEC
MW,1998,LCU_USD,31.0727,A,0,5,A,MWI,DEC
MW,1999,LCU_USD,44.0881,A,0,5,A,MWI,DEC
MW,2000,LCU_USD,59.5438,A,0,5,A,MWI,DEC
MW,2001,LCU_USD,72.1973,A,0,5,A,MWI,DEC
MW,2002,LCU_USD,76.6833,A,0,5,A,MWI,DEC
MW,2003,LCU_USD,97.4425,A,0,5,A,MWI,DEC
MW,2004,LCU_USD,108.905,A,0,5,A,MWI,DEC
MW,2005,LCU_USD,118.4192,A,0,5,A,MWI,DEC
MW,2006,LCU_USD,136.0135,A,0,5,A,MWI,DEC
MW,2007,LCU_USD,139.9573,A,0,5,A,MWI,DEC
MW,2008,LCU_USD,140.5227,A,0,5,A,MWI,DEC
MW,2009,LCU_USD,141.1669,A,0,5,A,MWI,DEC
MW,2010,LCU_USD,150.4867,A,0,5,A,MWI,DEC
MW,2011,LCU_USD,156.5155,A,0,5,A,MWI,DEC
MW,2012,LCU_USD,249.106,A,0,5,A,MWI,DEC
MW,2013,LCU_USD,364.4073,A,0,5,A,MWI,DEC
MW,2014,LCU_USD,424.8958,A,0,5,A,MWI,DEC
MW,2015,LCU_USD,499.6058,A,0,5,A,MWI,DEC
MW,2016,LCU_USD,718.005,A,0,5,A,MWI,DEC
MW,2017,LCU_USD,730.2725,A,0,5,A,MWI,DEC
