Reference area,Time Period,Unit of measure,Obs value,Obs status,Unit mult,Decimals,Freq,Country-iso3,Indicator name
#geo+reference+area,#date,#meta+unit+measure+name,#indicator+value+num,,#meta+unit+mult+name,#meta+decimals,#indicator+frequency,#country+iso3,#indicator+name
MW,1970,LCU_CONST,207511862100.0,A,0,5,A,MWI,GDP
MW,1970,LCU_CUR,242100000.0,A,0,5,A,MWI,GDP
MW,1970,USD_CUR,290531621.26485,A,0,5,A,MWI,GDP
MW,1971,LCU_CUR,303600000.0,A,0,5,A,MWI,GDP
MW,1971,USD_CUR,365386929.83512,A,0,5,A,MWI,GDP
MW,1971,LCU_CONST,241167305500.0,A,0,5,A,MWI,GDP
MW,1972,LCU_CONST,256195282000.0,A,0,5,A,MWI,GDP
MW,1972,LCU_CUR,325500000.0,A,0,5,A,MWI,GDP
MW,1972,USD_CUR,406062874.2515,A,0,5,A,MWI,GDP
MW,1973,USD_CUR,444281703.89357,A,0,5,A,MWI,GDP
MW,1973,LCU_CONST,262089468400.0,A,0,5,A,MWI,GDP
MW,1973,LCU_CUR,364000000.0,A,0,5,A,MWI,GDP
MW,1974,LCU_CONST,280896913300.0,A,0,5,A,MWI,GDP
MW,1974,USD_CUR,548621017.59391,A,0,5,A,MWI,GDP
MW,1974,LCU_CUR,461500000.0,A,0,5,A,MWI,GDP
MW,1975,LCU_CONST,297994613500.0,A,0,5,A,MWI,GDP
MW,1975,USD_CUR,613220652.92892,A,0,5,A,MWI,GDP
MW,1975,LCU_CUR,529700000.0,A,0,5,A,MWI,GDP
MW,1976,USD_CUR,670317634.1730599,A,0,5,A,MWI,GDP
MW,1976,LCU_CUR,612000000.0,A,0,5,A,MWI,GDP
MW,1976,LCU_CONST,312887583400.0,A,0,5,A,MWI,GDP
MW,1977,LCU_CONST,328275492900.0,A,0,5,A,MWI,GDP
MW,1977,LCU_CUR,728000000.0,A,0,5,A,MWI,GDP
MW,1977,USD_CUR,806290840.62465,A,0,5,A,MWI,GDP
MW,1978,USD_CUR,949034016.8306301,A,0,5,A,MWI,GDP
MW,1978,LCU_CONST,360266163000.0,A,0,5,A,MWI,GDP
MW,1978,LCU_CUR,800700000.0,A,0,5,A,MWI,GDP
MW,1979,USD_CUR,1058269065.98115,A,0,5,A,MWI,GDP
MW,1979,LCU_CUR,864500000.0,A,0,5,A,MWI,GDP
MW,1979,LCU_CONST,376104017400.0,A,0,5,A,MWI,GDP
MW,1980,LCU_CUR,1005100000.0,A,0,5,A,MWI,GDP
