Reference area,Time Period,Unit of measure,Obs value,Obs status,Unit mult,Decimals,Freq,Country-iso3,Indicator name
#geo+reference+area,#date,#meta+unit+measure+name,#indicator+value+num,,#meta+unit+mult+name,#meta+decimals,#indicator+frequency,#country+iso3,#indicator+name
MW,1970,PT_ANNUAL,0.4793,A,0,5,A,MWI,GDP_GROWTH
MW,1971,PT_ANNUAL,16.21856,A,0,5,A,MWI,GDP_GROWTH
MW,1972,PT_ANNUAL,6.23135,A,0,5,A,MWI,GDP_GROWTH
MW,1973,PT_ANNUAL,2.3006599999999997,A,0,5,A,MWI,GDP_GROWTH
MW,1974,PT_ANNUAL,7.175960000000001,A,0,5,A,MWI,GDP_GROWTH
MW,1975,PT_ANNUAL,6.0868199999999995,A,0,5,A,MWI,GDP_GROWTH
MW,1976,PT_ANNUAL,4.997730000000001,A,0,5,A,MWI,GDP_GROWTH
MW,1977,PT_ANNUAL,4.91803,A,0,5,A,MWI,GDP_GROWTH
MW,1978,PT_ANNUAL,9.74507,A,0,5,A,MWI,GDP_GROWTH
MW,1979,PT_ANNUAL,4.39615,A,0,5,A,MWI,GDP_GROWTH
MW,1980,PT_ANNUAL,0.40675,A,0,5,A,MWI,GDP_GROWTH
MW,1981,PT_ANNUAL,-5.29012,A,0,5,A,MWI,GDP_GROWTH
MW,1982,PT_ANNUAL,2.50345,A,0,5,A,MWI,GDP_GROWTH
MW,1983,PT_ANNUAL,3.7187099999999997,A,0,5,A,MWI,GDP_GROWTH
MW,1984,PT_ANNUAL,5.3603,A,0,5,A,MWI,GDP_GROWTH
MW,1985,PT_ANNUAL,4.5709800000000005,A,0,5,A,MWI,GDP_GROWTH
MW,1986,PT_ANNUAL,-0.2148,A,0,5,A,MWI,GDP_GROWTH
MW,1987,PT_ANNUAL,1.62524,A,0,5,A,MWI,GDP_GROWTH
MW,1988,PT_ANNUAL,3.17729,A,0,5,A,MWI,GDP_GROWTH
MW,1989,PT_ANNUAL,1.34469,A,0,5,A,MWI,GDP_GROWTH
MW,1990,PT_ANNUAL,5.69229,A,0,5,A,MWI,GDP_GROWTH
MW,1991,PT_ANNUAL,8.73023,A,0,5,A,MWI,GDP_GROWTH
MW,1992,PT_ANNUAL,-7.33298,A,0,5,A,MWI,GDP_GROWTH
MW,1993,PT_ANNUAL,9.69184,A,0,5,A,MWI,GDP_GROWTH
MW,1994,PT_ANNUAL,-10.24018,A,0,5,A,MWI,GDP_GROWTH
MW,1995,PT_ANNUAL,16.728820000000002,A,0,5,A,MWI,GDP_GROWTH
MW,1996,PT_ANNUAL,7.31668,A,0,5,A,MWI,GDP_GROWTH
MW,1997,PT_ANNUAL,3.79242,A,0,5,A,MWI,GDP_GROWTH
MW,1998,PT_ANNUAL,3.89525,A,0,5,A,MWI,GDP_GROWTH
MW,1999,PT_ANNUAL,3.04228,A,0,5,A,MWI,GDP_GROWTH
MW,2000,PT_ANNUAL,1.57608,A,0,5,A,MWI,GDP_GROWTH
MW,2001,PT_ANNUAL,-4.97496,A,0,5,A,MWI,GDP_GROWTH
MW,2002,PT_ANNUAL,1.7,A,0,5,A,MWI,GDP_GROWTH
MW,2003,PT_ANNUAL,5.70564,A,0,5,A,MWI,GDP_GROWTH
MW,2004,PT_ANNUAL,5.4205,A,0,5,A,MWI,GDP_GROWTH
MW,2005,PT_ANNUAL,3.26873,A,0,5,A,MWI,GDP_GROWTH
MW,2006,PT_ANNUAL,4.7,A,0,5,A,MWI,GDP_GROWTH
MW,2007,PT_ANNUAL,9.6,A,0,5,A,MWI,GDP_GROWTH
MW,2008,PT_ANNUAL,7.63974,A,0,5,A,MWI,GDP_GROWTH
MW,2009,PT_ANNUAL,8.32811,A,0,5,A,MWI,GDP_GROWTH
MW,2010,PT_ANNUAL,6.87407,A,0,5,A,MWI,GDP_GROWTH
MW,2011,PT_ANNUAL,4.85406,A,0,5,A,MWI,GDP_GROWTH
MW,2012,PT_ANNUAL,1.8858,A,0,5,A,MWI,GDP_GROWTH
MW,2013,PT_ANNUAL,5.2,A,0,5,A,MWI,GDP_GROWTH
MW,2014,PT_ANNUAL,5.7,A,0,5,A,MWI,GDP_GROWTH
MW,2015,PT_ANNUAL,2.8,A,0,5,A,MWI,GDP_GROWTH
MW,2016,PT_ANNUAL,2.4840400000000002,A,0,5,A,MWI,GDP_GROWTH
MW,2017,PT_ANNUAL,4.000030000000001,A,0,5,A,MWI,GDP_GROWTH
