Reference area,Time Period,Unit of measure,Obs value,Obs status,Unit mult,Decimals,Freq,Country-iso3,Indicator name
#geo+reference+area,#date,#meta+unit+measure+name,#indicator+value+num,,#meta+unit+mult+name,#meta+decimals,#indicator+frequency,#country+iso3,#indicator+name
MW,1970,USD_CONST2010,1378938219.12501,A,0,5,A,MWI,GDP_MKT
MW,1971,USD_CONST2010,1602582191.6488302,A,0,5,A,MWI,GDP_MKT
MW,1972,USD_CONST2010,1702444681.1578698,A,0,5,A,MWI,GDP_MKT
MW,1973,USD_CONST2010,1741612171.7068698,A,0,5,A,MWI,GDP_MKT
MW,1974,USD_CONST2010,1866589627.5219,A,0,5,A,MWI,GDP_MKT
MW,1975,USD_CONST2010,1980205649.4029,A,0,5,A,MWI,GDP_MKT
MW,1976,USD_CONST2010,2079171005.80982,A,0,5,A,MWI,GDP_MKT
MW,1977,USD_CONST2010,2181425288.0819397,A,0,5,A,MWI,GDP_MKT
MW,1978,USD_CONST2010,2394006666.36985,A,0,5,A,MWI,GDP_MKT
MW,1979,USD_CONST2010,2499250879.9781,A,0,5,A,MWI,GDP_MKT
MW,1980,USD_CONST2010,2509416493.28479,A,0,5,A,MWI,GDP_MKT
MW,1981,USD_CONST2010,2376665369.09906,A,0,5,A,MWI,GDP_MKT
MW,1982,USD_CONST2010,2436164088.91949,A,0,5,A,MWI,GDP_MKT
MW,1983,USD_CONST2010,2526757943.393,A,0,5,A,MWI,GDP_MKT
MW,1984,USD_CONST2010,2662199852.8773603,A,0,5,A,MWI,GDP_MKT
MW,1985,USD_CONST2010,2783888536.99363,A,0,5,A,MWI,GDP_MKT
MW,1986,USD_CONST2010,2777908674.3213897,A,0,5,A,MWI,GDP_MKT
MW,1987,USD_CONST2010,2823056334.54651,A,0,5,A,MWI,GDP_MKT
MW,1988,USD_CONST2010,2912753057.24692,A,0,5,A,MWI,GDP_MKT
MW,1989,USD_CONST2010,2951920547.79592,A,0,5,A,MWI,GDP_MKT
MW,1990,USD_CONST2010,3119952558.5982,A,0,5,A,MWI,GDP_MKT
MW,1991,USD_CONST2010,3392331649.9066,A,0,5,A,MWI,GDP_MKT
MW,1992,USD_CONST2010,3143572711.7413,A,0,5,A,MWI,GDP_MKT
MW,1993,USD_CONST2010,3448242757.66563,A,0,5,A,MWI,GDP_MKT
MW,1994,USD_CONST2010,3095136432.65485,A,0,5,A,MWI,GDP_MKT
MW,1995,USD_CONST2010,3612916160.6972604,A,0,5,A,MWI,GDP_MKT
MW,1996,USD_CONST2010,3877261729.44187,A,0,5,A,MWI,GDP_MKT
MW,1997,USD_CONST2010,4024303743.7859898,A,0,5,A,MWI,GDP_MKT
MW,1998,USD_CONST2010,4181060581.4334397,A,0,5,A,MWI,GDP_MKT
MW,1999,USD_CONST2010,4308260071.48804,A,0,5,A,MWI,GDP_MKT
MW,2000,USD_CONST2010,4376161603.650021,A,0,5,A,MWI,GDP_MKT
MW,2001,USD_CONST2010,4158449146.00426,A,0,5,A,MWI,GDP_MKT
MW,2002,USD_CONST2010,4229142782.05316,A,0,5,A,MWI,GDP_MKT
MW,2003,USD_CONST2010,4470442420.49297,A,0,5,A,MWI,GDP_MKT
MW,2004,USD_CONST2010,4712762648.79222,A,0,5,A,MWI,GDP_MKT
MW,2005,USD_CONST2010,4866809938.68561,A,0,5,A,MWI,GDP_MKT
MW,2006,USD_CONST2010,5095550005.41576,A,0,5,A,MWI,GDP_MKT
MW,2007,USD_CONST2010,5584722806.06858,A,0,5,A,MWI,GDP_MKT
MW,2008,USD_CONST2010,6011380928.01556,A,0,5,A,MWI,GDP_MKT
MW,2009,USD_CONST2010,6512015360.825911,A,0,5,A,MWI,GDP_MKT
MW,2010,USD_CONST2010,6959655570.89098,A,0,5,A,MWI,GDP_MKT
MW,2011,USD_CONST2010,7297481087.69745,A,0,5,A,MWI,GDP_MKT
MW,2012,USD_CONST2010,7435096950.095921,A,0,5,A,MWI,GDP_MKT
MW,2013,USD_CONST2010,7821721991.37864,A,0,5,A,MWI,GDP_MKT
MW,2014,USD_CONST2010,8267560145.18226,A,0,5,A,MWI,GDP_MKT
MW,2015,USD_CONST2010,8499051829.16497,A,0,5,A,MWI,GDP_MKT
MW,2016,USD_CONST2010,8710171729.46181,A,0,5,A,MWI,GDP_MKT
MW,2017,USD_CONST2010,9058581256.68248,A,0,5,A,MWI,GDP_MKT
