Reference area,Time Period,Unit of measure,Obs value,Obs status,Unit mult,Decimals,Freq,Country-iso3,Indicator name
#geo+reference+area,#date,#meta+unit+measure+name,#indicator+value+num,,#meta+unit+mult+name,#meta+decimals,#indicator+frequency,#country+iso3,#indicator+name
MW,1990,INTER_CUR,4538375141.06654,A,0,5,A,MWI,GDP_PPP
MW,1991,INTER_CUR,5098834146.280089,A,0,5,A,MWI,GDP_PPP
MW,1992,INTER_CUR,4832645099.18818,A,0,5,A,MWI,GDP_PPP
MW,1993,INTER_CUR,5427142406.73125,A,0,5,A,MWI,GDP_PPP
MW,1994,INTER_CUR,4975062880.59449,A,0,5,A,MWI,GDP_PPP
MW,1995,INTER_CUR,5928454243.75949,A,0,5,A,MWI,GDP_PPP
MW,1996,INTER_CUR,6478366091.3753395,A,0,5,A,MWI,GDP_PPP
MW,1997,INTER_CUR,6839135294.55066,A,0,5,A,MWI,GDP_PPP
MW,1998,INTER_CUR,7182650240.71545,A,0,5,A,MWI,GDP_PPP
MW,1999,INTER_CUR,7514428105.07462,A,0,5,A,MWI,GDP_PPP
MW,2000,INTER_CUR,7806548612.557209,A,0,5,A,MWI,GDP_PPP
MW,2001,INTER_CUR,7587228511.91708,A,0,5,A,MWI,GDP_PPP
MW,2002,INTER_CUR,7834664856.42255,A,0,5,A,MWI,GDP_PPP
MW,2003,INTER_CUR,8446823994.53058,A,0,5,A,MWI,GDP_PPP
MW,2004,INTER_CUR,9149537871.52795,A,0,5,A,MWI,GDP_PPP
MW,2005,INTER_CUR,9752633306.414959,A,0,5,A,MWI,GDP_PPP
MW,2006,INTER_CUR,10524716433.3612,A,0,5,A,MWI,GDP_PPP
MW,2007,INTER_CUR,11842076738.4486,A,0,5,A,MWI,GDP_PPP
MW,2008,INTER_CUR,12996822649.3145,A,0,5,A,MWI,GDP_PPP
MW,2009,INTER_CUR,14186134805.2765,A,0,5,A,MWI,GDP_PPP
MW,2010,INTER_CUR,15346471457.1272,A,0,5,A,MWI,GDP_PPP
MW,2011,INTER_CUR,16427533195.5102,A,0,5,A,MWI,GDP_PPP
MW,2012,INTER_CUR,17058318777.8407,A,0,5,A,MWI,GDP_PPP
MW,2013,INTER_CUR,18260279513.5376,A,0,5,A,MWI,GDP_PPP
MW,2014,INTER_CUR,19666269971.5675,A,0,5,A,MWI,GDP_PPP
MW,2015,INTER_CUR,20433112339.0267,A,0,5,A,MWI,GDP_PPP
MW,2016,INTER_CUR,21169672345.433,A,0,5,A,MWI,GDP_PPP
MW,2017,INTER_CUR,22434948986.0215,A,0,5,A,MWI,GDP_PPP
