Reference area,Time Period,Unit of measure,Obs value,Obs status,Unit mult,Decimals,Freq,Country-iso3,Indicator name
#geo+reference+area,#date,#meta+unit+measure+name,#indicator+value+num,,#meta+unit+mult+name,#meta+decimals,#indicator+frequency,#country+iso3,#indicator+name
MW,1970,USD_CUR,60.0,A,0,5,A,MWI,GNI_CAP
MW,1970,LCU_CUR,51.28458,A,0,5,A,MWI,GNI_CAP
MW,1971,USD_CUR,70.0,A,0,5,A,MWI,GNI_CAP
MW,1971,LCU_CUR,63.505790000000005,A,0,5,A,MWI,GNI_CAP
MW,1972,LCU_CUR,66.21931,A,0,5,A,MWI,GNI_CAP
MW,1972,USD_CUR,80.0,A,0,5,A,MWI,GNI_CAP
MW,1973,LCU_CUR,73.00468000000001,A,0,5,A,MWI,GNI_CAP
MW,1973,USD_CUR,100.0,A,0,5,A,MWI,GNI_CAP
MW,1974,USD_CUR,120.0,A,0,5,A,MWI,GNI_CAP
MW,1974,LCU_CUR,92.17689,A,0,5,A,MWI,GNI_CAP
MW,1975,USD_CUR,130.0,A,0,5,A,MWI,GNI_CAP
MW,1975,LCU_CUR,101.59069000000001,A,0,5,A,MWI,GNI_CAP
MW,1976,USD_CUR,130.0,A,0,5,A,MWI,GNI_CAP
MW,1976,LCU_CUR,108.89681000000002,A,0,5,A,MWI,GNI_CAP
MW,1977,LCU_CUR,125.27691999999999,A,0,5,A,MWI,GNI_CAP
MW,1977,USD_CUR,130.0,A,0,5,A,MWI,GNI_CAP
MW,1978,LCU_CUR,132.46436,A,0,5,A,MWI,GNI_CAP
MW,1978,USD_CUR,160.0,A,0,5,A,MWI,GNI_CAP
MW,1979,LCU_CUR,135.00755,A,0,5,A,MWI,GNI_CAP
MW,1979,USD_CUR,180.0,A,0,5,A,MWI,GNI_CAP
MW,1980,USD_CUR,190.0,A,0,5,A,MWI,GNI_CAP
MW,1980,LCU_CUR,149.92504,A,0,5,A,MWI,GNI_CAP
MW,1981,LCU_CUR,163.39608,A,0,5,A,MWI,GNI_CAP
MW,1981,USD_CUR,190.0,A,0,5,A,MWI,GNI_CAP
MW,1982,LCU_CUR,180.67834,A,0,5,A,MWI,GNI_CAP
MW,1982,USD_CUR,180.0,A,0,5,A,MWI,GNI_CAP
MW,1983,USD_CUR,170.0,A,0,5,A,MWI,GNI_CAP
MW,1983,LCU_CUR,203.21681999999998,A,0,5,A,MWI,GNI_CAP
MW,1984,LCU_CUR,236.16837,A,0,5,A,MWI,GNI_CAP
MW,1984,USD_CUR,170.0,A,0,5,A,MWI,GNI_CAP
MW,1985,USD_CUR,160.0,A,0,5,A,MWI,GNI_CAP
MW,1985,LCU_CUR,257.10345,A,0,5,A,MWI,GNI_CAP
MW,1986,LCU_CUR,274.0874,A,0,5,A,MWI,GNI_CAP
MW,1986,USD_CUR,150.0,A,0,5,A,MWI,GNI_CAP
MW,1987,USD_CUR,150.0,A,0,5,A,MWI,GNI_CAP
MW,1987,LCU_CUR,306.32653,A,0,5,A,MWI,GNI_CAP
MW,1988,USD_CUR,160.0,A,0,5,A,MWI,GNI_CAP
MW,1988,LCU_CUR,393.25293,A,0,5,A,MWI,GNI_CAP
MW,1989,LCU_CUR,467.37259000000006,A,0,5,A,MWI,GNI_CAP
MW,1989,USD_CUR,160.0,A,0,5,A,MWI,GNI_CAP
MW,1990,USD_CUR,180.0,A,0,5,A,MWI,GNI_CAP
MW,1990,LCU_CUR,531.30697,A,0,5,A,MWI,GNI_CAP
MW,1991,USD_CUR,210.0,A,0,5,A,MWI,GNI_CAP
MW,1991,LCU_CUR,627.1863900000001,A,0,5,A,MWI,GNI_CAP
MW,1992,LCU_CUR,651.99234,A,0,5,A,MWI,GNI_CAP
MW,1992,USD_CUR,200.0,A,0,5,A,MWI,GNI_CAP
MW,1993,LCU_CUR,915.61416,A,0,5,A,MWI,GNI_CAP
MW,1993,USD_CUR,220.0,A,0,5,A,MWI,GNI_CAP
MW,1994,LCU_CUR,1015.3377300000001,A,0,5,A,MWI,GNI_CAP
MW,1994,USD_CUR,160.0,A,0,5,A,MWI,GNI_CAP
MW,1995,USD_CUR,160.0,A,0,5,A,MWI,GNI_CAP
MW,1995,LCU_CUR,2082.3310300000003,A,0,5,A,MWI,GNI_CAP
MW,1996,LCU_CUR,3394.94525,A,0,5,A,MWI,GNI_CAP
MW,1996,USD_CUR,170.0,A,0,5,A,MWI,GNI_CAP
MW,1997,USD_CUR,200.0,A,0,5,A,MWI,GNI_CAP
MW,1997,LCU_CUR,4153.101729999999,A,0,5,A,MWI,GNI_CAP
MW,1998,USD_CUR,200.0,A,0,5,A,MWI,GNI_CAP
MW,1998,LCU_CUR,4961.11273,A,0,5,A,MWI,GNI_CAP
MW,1999,USD_CUR,180.0,A,0,5,A,MWI,GNI_CAP
MW,1999,LCU_CUR,6922.72152,A,0,5,A,MWI,GNI_CAP
MW,2000,USD_CUR,150.0,A,0,5,A,MWI,GNI_CAP
MW,2000,LCU_CUR,8935.39613,A,0,5,A,MWI,GNI_CAP
MW,2001,USD_CUR,140.0,A,0,5,A,MWI,GNI_CAP
MW,2001,LCU_CUR,10391.19768,A,0,5,A,MWI,GNI_CAP
MW,2002,USD_CUR,170.0,A,0,5,A,MWI,GNI_CAP
MW,2002,LCU_CUR,22030.0966,A,0,5,A,MWI,GNI_CAP
MW,2003,USD_CUR,220.0,A,0,5,A,MWI,GNI_CAP
MW,2003,LCU_CUR,25017.630930000003,A,0,5,A,MWI,GNI_CAP
MW,2004,LCU_CUR,29470.62887,A,0,5,A,MWI,GNI_CAP
MW,2004,USD_CUR,290.0,A,0,5,A,MWI,GNI_CAP
MW,2005,USD_CUR,290.0,A,0,5,A,MWI,GNI_CAP
MW,2005,LCU_CUR,32839.26693,A,0,5,A,MWI,GNI_CAP
MW,2006,USD_CUR,300.0,A,0,5,A,MWI,GNI_CAP
MW,2006,LCU_CUR,40109.63858,A,0,5,A,MWI,GNI_CAP
MW,2007,USD_CUR,320.0,A,0,5,A,MWI,GNI_CAP
MW,2007,LCU_CUR,44613.31495,A,0,5,A,MWI,GNI_CAP
MW,2008,USD_CUR,360.0,A,0,5,A,MWI,GNI_CAP
MW,2008,LCU_CUR,52173.45443,A,0,5,A,MWI,GNI_CAP
MW,2009,LCU_CUR,58830.67639,A,0,5,A,MWI,GNI_CAP
MW,2009,USD_CUR,390.0,A,0,5,A,MWI,GNI_CAP
MW,2010,USD_CUR,430.0,A,0,5,A,MWI,GNI_CAP
MW,2010,LCU_CUR,67976.63476,A,0,5,A,MWI,GNI_CAP
MW,2011,LCU_CUR,79005.04488,A,0,5,A,MWI,GNI_CAP
MW,2011,USD_CUR,470.0,A,0,5,A,MWI,GNI_CAP
MW,2012,LCU_CUR,91189.4309,A,0,5,A,MWI,GNI_CAP
MW,2012,USD_CUR,440.0,A,0,5,A,MWI,GNI_CAP
MW,2013,LCU_CUR,117758.08185,A,0,5,A,MWI,GNI_CAP
MW,2013,USD_CUR,390.0,A,0,5,A,MWI,GNI_CAP
MW,2014,USD_CUR,350.0,A,0,5,A,MWI,GNI_CAP
MW,2014,LCU_CUR,146319.22938,A,0,5,A,MWI,GNI_CAP
MW,2015,LCU_CUR,175420.08544,A,0,5,A,MWI,GNI_CAP
MW,2015,USD_CUR,340.0,A,0,5,A,MWI,GNI_CAP
MW,2016,USD_CUR,320.0,A,0,5,A,MWI,GNI_CAP
MW,2016,LCU_CUR,210058.19188,A,0,5,A,MWI,GNI_CAP
MW,2017,LCU_CUR,241601.55124,A,0,5,A,MWI,GNI_CAP
MW,2017,USD_CUR,320.0,A,0,5,A,MWI,GNI_CAP
