Age,Reference area,Sex,Time Period,Unit of measure,Obs value,Obs status,Unit mult,Decimals,Freq,Country-iso3,Indicator name
#group+age,#geo+reference+area,#group+sex,#date,#meta+unit+measure+name,#indicator+value+num,,#meta+unit+mult+name,#meta+decimals,#indicator+frequency,#country+iso3,#indicator+name
Y_GE15,MW,_T,1991,PER,4029.0,A,3,5,A,MWI,ILO_LF
Y_GE15,MW,M,1991,PER,1980.0,A,3,5,A,MWI,ILO_LF
Y_GE15,MW,F,1991,PER,2049.0,A,3,5,A,MWI,ILO_LF
Y_GE15,MW,_T,1992,PER,4060.0,A,3,5,A,MWI,ILO_LF
Y_GE15,MW,M,1992,PER,2003.0,A,3,5,A,MWI,ILO_LF
Y_GE15,MW,F,1992,PER,2057.0,A,3,5,A,MWI,ILO_LF
Y_GE15,MW,M,1993,PER,2011.0,A,3,5,A,MWI,ILO_LF
Y_GE15,MW,F,1993,PER,2057.0,A,3,5,A,MWI,ILO_LF
Y_GE15,MW,_T,1993,PER,4069.0,A,3,5,A,MWI,ILO_LF
Y_GE15,MW,_T,1994,PER,4085.0,A,3,5,A,MWI,ILO_LF
Y_GE15,MW,F,1994,PER,2058.0,A,3,5,A,MWI,ILO_LF
Y_GE15,MW,M,1994,PER,2027.0,A,3,5,A,MWI,ILO_LF
Y_GE15,MW,M,1995,PER,2049.0,A,3,5,A,MWI,ILO_LF
Y_GE15,MW,_T,1995,PER,4124.0,A,3,5,A,MWI,ILO_LF
Y_GE15,MW,F,1995,PER,2075.0,A,3,5,A,MWI,ILO_LF
Y_GE15,MW,F,1996,PER,2111.0,A,3,5,A,MWI,ILO_LF
Y_GE15,MW,M,1996,PER,2083.0,A,3,5,A,MWI,ILO_LF
Y_GE15,MW,_T,1996,PER,4194.0,A,3,5,A,MWI,ILO_LF
Y_GE15,MW,_T,1997,PER,4293.0,A,3,5,A,MWI,ILO_LF
Y_GE15,MW,M,1997,PER,2131.0,A,3,5,A,MWI,ILO_LF
Y_GE15,MW,F,1997,PER,2162.0,A,3,5,A,MWI,ILO_LF
Y_GE15,MW,_T,1998,PER,4413.0,A,3,5,A,MWI,ILO_LF
Y_GE15,MW,M,1998,PER,2190.0,A,3,5,A,MWI,ILO_LF
Y_GE15,MW,F,1998,PER,2223.0,A,3,5,A,MWI,ILO_LF
Y_GE15,MW,F,1999,PER,2285.0,A,3,5,A,MWI,ILO_LF
Y_GE15,MW,_T,1999,PER,4544.0,A,3,5,A,MWI,ILO_LF
Y_GE15,MW,M,1999,PER,2260.0,A,3,5,A,MWI,ILO_LF
Y_GE15,MW,F,2000,PER,2347.0,A,3,5,A,MWI,ILO_LF
Y_GE15,MW,M,2000,PER,2331.0,A,3,5,A,MWI,ILO_LF
Y_GE15,MW,_T,2000,PER,4679.0,A,3,5,A,MWI,ILO_LF
Y_GE15,MW,F,2001,PER,2400.0,A,3,5,A,MWI,ILO_LF
Y_GE15,MW,_T,2001,PER,4797.0,A,3,5,A,MWI,ILO_LF
Y_GE15,MW,M,2001,PER,2397.0,A,3,5,A,MWI,ILO_LF
Y_GE15,MW,M,2002,PER,2466.0,A,3,5,A,MWI,ILO_LF
Y_GE15,MW,_T,2002,PER,4922.0,A,3,5,A,MWI,ILO_LF
Y_GE15,MW,F,2002,PER,2456.0,A,3,5,A,MWI,ILO_LF
Y_GE15,MW,_T,2003,PER,5057.0,A,3,5,A,MWI,ILO_LF
Y_GE15,MW,F,2003,PER,2515.0,A,3,5,A,MWI,ILO_LF
Y_GE15,MW,M,2003,PER,2542.0,A,3,5,A,MWI,ILO_LF
Y_GE15,MW,M,2004,PER,2623.0,A,3,5,A,MWI,ILO_LF
Y_GE15,MW,F,2004,PER,2578.0,A,3,5,A,MWI,ILO_LF
Y_GE15,MW,_T,2004,PER,5201.0,A,3,5,A,MWI,ILO_LF
Y_GE15,MW,F,2005,PER,2646.0,A,3,5,A,MWI,ILO_LF
Y_GE15,MW,M,2005,PER,2711.0,A,3,5,A,MWI,ILO_LF
Y_GE15,MW,_T,2005,PER,5357.0,A,3,5,A,MWI,ILO_LF
Y_GE15,MW,M,2006,PER,2808.0,A,3,5,A,MWI,ILO_LF
Y_GE15,MW,_T,2006,PER,5528.0,A,3,5,A,MWI,ILO_LF
Y_GE15,MW,F,2006,PER,2720.0,A,3,5,A,MWI,ILO_LF
Y_GE15,MW,F,2007,PER,2797.0,A,3,5,A,MWI,ILO_LF
Y_GE15,MW,M,2007,PER,2910.0,A,3,5,A,MWI,ILO_LF
Y_GE15,MW,_T,2007,PER,5707.0,A,3,5,A,MWI,ILO_LF
Y_GE15,MW,_T,2008,PER,5895.0,A,3,5,A,MWI,ILO_LF
Y_GE15,MW,M,2008,PER,3017.0,A,3,5,A,MWI,ILO_LF
Y_GE15,MW,F,2008,PER,2878.0,A,3,5,A,MWI,ILO_LF
Y_GE15,MW,_T,2009,PER,6095.0,A,3,5,A,MWI,ILO_LF
Y_GE15,MW,F,2009,PER,2964.0,A,3,5,A,MWI,ILO_LF
Y_GE15,MW,M,2009,PER,3131.0,A,3,5,A,MWI,ILO_LF
Y_GE15,MW,_T,2010,PER,6309.0,A,3,5,A,MWI,ILO_LF
Y_GE15,MW,M,2010,PER,3253.0,A,3,5,A,MWI,ILO_LF
Y_GE15,MW,F,2010,PER,3055.0,A,3,5,A,MWI,ILO_LF
Y_GE15,MW,F,2011,PER,3149.0,A,3,5,A,MWI,ILO_LF
Y_GE15,MW,M,2011,PER,3378.0,A,3,5,A,MWI,ILO_LF
Y_GE15,MW,_T,2011,PER,6528.0,A,3,5,A,MWI,ILO_LF
Y_GE15,MW,M,2012,PER,3515.0,A,3,5,A,MWI,ILO_LF
Y_GE15,MW,_T,2012,PER,6767.0,A,3,5,A,MWI,ILO_LF
Y_GE15,MW,F,2012,PER,3252.0,A,3,5,A,MWI,ILO_LF
Y_GE15,MW,M,2013,PER,3660.0,A,3,5,A,MWI,ILO_LF
Y_GE15,MW,_T,2013,PER,7021.0,A,3,5,A,MWI,ILO_LF
Y_GE15,MW,F,2013,PER,3361.0,A,3,5,A,MWI,ILO_LF
Y_GE15,MW,F,2014,PER,3480.0,A,3,5,A,MWI,ILO_LF
Y_GE15,MW,M,2014,PER,3775.0,A,3,5,A,MWI,ILO_LF
Y_GE15,MW,_T,2014,PER,7255.0,A,3,5,A,MWI,ILO_LF
Y_GE15,MW,M,2015,PER,3894.0,A,3,5,A,MWI,ILO_LF
Y_GE15,MW,_T,2015,PER,7495.0,A,3,5,A,MWI,ILO_LF
Y_GE15,MW,F,2015,PER,3600.0,A,3,5,A,MWI,ILO_LF
Y_GE15,MW,F,2016,PER,3729.0,A,3,5,A,MWI,ILO_LF
Y_GE15,MW,_T,2016,PER,7746.0,A,3,5,A,MWI,ILO_LF
Y_GE15,MW,M,2016,PER,4017.0,A,3,5,A,MWI,ILO_LF
Y_GE15,MW,M,2017,PER,4171.0,A,3,5,A,MWI,ILO_LF
Y_GE15,MW,F,2017,PER,3859.0,A,3,5,A,MWI,ILO_LF
Y_GE15,MW,_T,2017,PER,8030.0,A,3,5,A,MWI,ILO_LF
Y_GE15,MW,M,2018,PER,4327.0,A,3,5,A,MWI,ILO_LF
Y_GE15,MW,F,2018,PER,3990.0,A,3,5,A,MWI,ILO_LF
Y_GE15,MW,_T,2018,PER,8316.0,A,3,5,A,MWI,ILO_LF
Y_GE15,MW,M,2019,PER,4490.0,A,3,5,A,MWI,ILO_LF
Y_GE15,MW,_T,2019,PER,8617.0,A,3,5,A,MWI,ILO_LF
Y_GE15,MW,F,2019,PER,4127.0,A,3,5,A,MWI,ILO_LF
