Reference area,Time Period,Unit of measure,Obs value,Obs status,Unit mult,Decimals,Freq,Country-iso3,Indicator name
#geo+reference+area,#date,#meta+unit+measure+name,#indicator+value+num,,#meta+unit+mult+name,#meta+decimals,#indicator+frequency,#country+iso3,#indicator+name
MW,1970,YR,40.558,A,0,5,A,MWI,LIFE_EXP
MW,1971,YR,41.011,A,0,5,A,MWI,LIFE_EXP
MW,1972,YR,41.475,A,0,5,A,MWI,LIFE_EXP
MW,1973,YR,41.932,A,0,5,A,MWI,LIFE_EXP
MW,1974,YR,42.376,A,0,5,A,MWI,LIFE_EXP
MW,1975,YR,42.802,A,0,5,A,MWI,LIFE_EXP
MW,1976,YR,43.215,A,0,5,A,MWI,LIFE_EXP
MW,1977,YR,43.621,A,0,5,A,MWI,LIFE_EXP
MW,1978,YR,44.02,A,0,5,A,MWI,LIFE_EXP
MW,1979,YR,44.408,A,0,5,A,MWI,LIFE_EXP
MW,1980,YR,44.776,A,0,5,A,MWI,LIFE_EXP
MW,1981,YR,45.112,A,0,5,A,MWI,LIFE_EXP
MW,1982,YR,45.411,A,0,5,A,MWI,LIFE_EXP
MW,1983,YR,45.668,A,0,5,A,MWI,LIFE_EXP
MW,1984,YR,45.882,A,0,5,A,MWI,LIFE_EXP
MW,1985,YR,46.055,A,0,5,A,MWI,LIFE_EXP
MW,1986,YR,46.196,A,0,5,A,MWI,LIFE_EXP
MW,1987,YR,46.313,A,0,5,A,MWI,LIFE_EXP
MW,1988,YR,46.414,A,0,5,A,MWI,LIFE_EXP
MW,1989,YR,46.503,A,0,5,A,MWI,LIFE_EXP
MW,1990,YR,46.576,A,0,5,A,MWI,LIFE_EXP
MW,1991,YR,46.627,A,0,5,A,MWI,LIFE_EXP
MW,1992,YR,46.65,A,0,5,A,MWI,LIFE_EXP
MW,1993,YR,46.647,A,0,5,A,MWI,LIFE_EXP
MW,1994,YR,46.627,A,0,5,A,MWI,LIFE_EXP
MW,1995,YR,46.585,A,0,5,A,MWI,LIFE_EXP
MW,1996,YR,46.516,A,0,5,A,MWI,LIFE_EXP
MW,1997,YR,46.434,A,0,5,A,MWI,LIFE_EXP
MW,1998,YR,46.369,A,0,5,A,MWI,LIFE_EXP
MW,1999,YR,46.355,A,0,5,A,MWI,LIFE_EXP
MW,2000,YR,46.45,A,0,5,A,MWI,LIFE_EXP
MW,2001,YR,46.71,A,0,5,A,MWI,LIFE_EXP
MW,2002,YR,47.169,A,0,5,A,MWI,LIFE_EXP
MW,2003,YR,47.843,A,0,5,A,MWI,LIFE_EXP
MW,2004,YR,48.735,A,0,5,A,MWI,LIFE_EXP
MW,2005,YR,49.846,A,0,5,A,MWI,LIFE_EXP
MW,2006,YR,51.163,A,0,5,A,MWI,LIFE_EXP
MW,2007,YR,52.63,A,0,5,A,MWI,LIFE_EXP
MW,2008,YR,54.177,A,0,5,A,MWI,LIFE_EXP
MW,2009,YR,55.745,A,0,5,A,MWI,LIFE_EXP
MW,2010,YR,57.263,A,0,5,A,MWI,LIFE_EXP
MW,2011,YR,58.667,A,0,5,A,MWI,LIFE_EXP
MW,2012,YR,59.927,A,0,5,A,MWI,LIFE_EXP
MW,2013,YR,61.02,A,0,5,A,MWI,LIFE_EXP
MW,2014,YR,61.932,A,0,5,A,MWI,LIFE_EXP
MW,2015,YR,62.661,A,0,5,A,MWI,LIFE_EXP
MW,2016,YR,63.223,A,0,5,A,MWI,LIFE_EXP
MW,2017,YR,63.671,A,0,5,A,MWI,LIFE_EXP
