Reference area,Time Period,Unit of measure,Obs value,Obs status,Unit mult,Decimals,Freq,Country-iso3,Indicator name
#geo+reference+area,#date,#meta+unit+measure+name,#indicator+value+num,,#meta+unit+mult+name,#meta+decimals,#indicator+frequency,#country+iso3,#indicator+name
MW,1970,LCU_USD,0.8333299999999999,A,0,5,A,MWI,OFF_XR
MW,1971,LCU_USD,0.83089,A,0,5,A,MWI,OFF_XR
MW,1972,LCU_USD,0.80156,A,0,5,A,MWI,OFF_XR
MW,1973,LCU_USD,0.81926,A,0,5,A,MWI,OFF_XR
MW,1974,LCU_USD,0.8412,A,0,5,A,MWI,OFF_XR
MW,1975,LCU_USD,0.8638299999999999,A,0,5,A,MWI,OFF_XR
MW,1976,LCU_USD,0.91301,A,0,5,A,MWI,OFF_XR
MW,1977,LCU_USD,0.9029299999999999,A,0,5,A,MWI,OFF_XR
MW,1978,LCU_USD,0.84375,A,0,5,A,MWI,OFF_XR
MW,1979,LCU_USD,0.81688,A,0,5,A,MWI,OFF_XR
MW,1980,LCU_USD,0.8121,A,0,5,A,MWI,OFF_XR
MW,1981,LCU_USD,0.8953,A,0,5,A,MWI,OFF_XR
MW,1982,LCU_USD,1.05551,A,0,5,A,MWI,OFF_XR
MW,1983,LCU_USD,1.17476,A,0,5,A,MWI,OFF_XR
MW,1984,LCU_USD,1.4133799999999999,A,0,5,A,MWI,OFF_XR
MW,1985,LCU_USD,1.7191,A,0,5,A,MWI,OFF_XR
MW,1986,LCU_USD,1.86107,A,0,5,A,MWI,OFF_XR
MW,1987,LCU_USD,2.20874,A,0,5,A,MWI,OFF_XR
MW,1988,LCU_USD,2.5613,A,0,5,A,MWI,OFF_XR
MW,1989,LCU_USD,2.75952,A,0,5,A,MWI,OFF_XR
MW,1990,LCU_USD,2.7288799999999998,A,0,5,A,MWI,OFF_XR
MW,1991,LCU_USD,2.8033099999999997,A,0,5,A,MWI,OFF_XR
MW,1992,LCU_USD,3.6032800000000003,A,0,5,A,MWI,OFF_XR
MW,1993,LCU_USD,4.40278,A,0,5,A,MWI,OFF_XR
MW,1994,LCU_USD,8.7364,A,0,5,A,MWI,OFF_XR
MW,1995,LCU_USD,15.28374,A,0,5,A,MWI,OFF_XR
MW,1996,LCU_USD,15.308470000000002,A,0,5,A,MWI,OFF_XR
MW,1997,LCU_USD,16.44418,A,0,5,A,MWI,OFF_XR
MW,1998,LCU_USD,31.07268,A,0,5,A,MWI,OFF_XR
MW,1999,LCU_USD,44.08814,A,0,5,A,MWI,OFF_XR
MW,2000,LCU_USD,59.54381,A,0,5,A,MWI,OFF_XR
MW,2001,LCU_USD,72.19733000000001,A,0,5,A,MWI,OFF_XR
MW,2002,LCU_USD,76.68661,A,0,5,A,MWI,OFF_XR
MW,2003,LCU_USD,97.43247,A,0,5,A,MWI,OFF_XR
MW,2004,LCU_USD,108.89751000000001,A,0,5,A,MWI,OFF_XR
MW,2005,LCU_USD,118.41973999999999,A,0,5,A,MWI,OFF_XR
MW,2006,LCU_USD,136.01353999999998,A,0,5,A,MWI,OFF_XR
MW,2007,LCU_USD,139.95729,A,0,5,A,MWI,OFF_XR
MW,2008,LCU_USD,140.52268999999998,A,0,5,A,MWI,OFF_XR
MW,2009,LCU_USD,141.16693999999998,A,0,5,A,MWI,OFF_XR
MW,2010,LCU_USD,150.48666,A,0,5,A,MWI,OFF_XR
MW,2011,LCU_USD,156.51545,A,0,5,A,MWI,OFF_XR
MW,2012,LCU_USD,249.10595,A,0,5,A,MWI,OFF_XR
MW,2013,LCU_USD,364.40729,A,0,5,A,MWI,OFF_XR
MW,2014,LCU_USD,424.89581,A,0,5,A,MWI,OFF_XR
MW,2015,LCU_USD,499.60582999999997,A,0,5,A,MWI,OFF_XR
MW,2016,LCU_USD,718.005,A,0,5,A,MWI,OFF_XR
MW,2017,LCU_USD,730.2725,A,0,5,A,MWI,OFF_XR
