Reference area,Time Period,Unit of measure,Obs value,Obs status,Unit mult,Decimals,Freq,Country-iso3,Indicator name
#geo+reference+area,#date,#meta+unit+measure+name,#indicator+value+num,,#meta+unit+mult+name,#meta+decimals,#indicator+frequency,#country+iso3,#indicator+name
MW,1970,PT_ANNUAL,2.6251900000000004,A,0,5,A,MWI,POP_GROWTH
MW,1971,PT_ANNUAL,2.67856,A,0,5,A,MWI,POP_GROWTH
MW,1972,PT_ANNUAL,2.7307200000000003,A,0,5,A,MWI,POP_GROWTH
MW,1973,PT_ANNUAL,2.78675,A,0,5,A,MWI,POP_GROWTH
MW,1974,PT_ANNUAL,2.84612,A,0,5,A,MWI,POP_GROWTH
MW,1975,PT_ANNUAL,2.9062,A,0,5,A,MWI,POP_GROWTH
MW,1976,PT_ANNUAL,3.0129599999999996,A,0,5,A,MWI,POP_GROWTH
MW,1977,PT_ANNUAL,3.1192599999999997,A,0,5,A,MWI,POP_GROWTH
MW,1978,PT_ANNUAL,3.13662,A,0,5,A,MWI,POP_GROWTH
MW,1979,PT_ANNUAL,3.04415,A,0,5,A,MWI,POP_GROWTH
MW,1980,PT_ANNUAL,2.90978,A,0,5,A,MWI,POP_GROWTH
MW,1981,PT_ANNUAL,2.63395,A,0,5,A,MWI,POP_GROWTH
MW,1982,PT_ANNUAL,2.44912,A,0,5,A,MWI,POP_GROWTH
MW,1983,PT_ANNUAL,2.69161,A,0,5,A,MWI,POP_GROWTH
MW,1984,PT_ANNUAL,3.4607699999999997,A,0,5,A,MWI,POP_GROWTH
MW,1985,PT_ANNUAL,4.46911,A,0,5,A,MWI,POP_GROWTH
MW,1986,PT_ANNUAL,5.58501,A,0,5,A,MWI,POP_GROWTH
MW,1987,PT_ANNUAL,6.28693,A,0,5,A,MWI,POP_GROWTH
MW,1988,PT_ANNUAL,6.1706199999999995,A,0,5,A,MWI,POP_GROWTH
MW,1989,PT_ANNUAL,5.16409,A,0,5,A,MWI,POP_GROWTH
MW,1990,PT_ANNUAL,3.7008099999999997,A,0,5,A,MWI,POP_GROWTH
MW,1991,PT_ANNUAL,2.1344,A,0,5,A,MWI,POP_GROWTH
MW,1992,PT_ANNUAL,0.9144100000000001,A,0,5,A,MWI,POP_GROWTH
MW,1993,PT_ANNUAL,0.2683,A,0,5,A,MWI,POP_GROWTH
MW,1994,PT_ANNUAL,0.42058999999999996,A,0,5,A,MWI,POP_GROWTH
MW,1995,PT_ANNUAL,1.13785,A,0,5,A,MWI,POP_GROWTH
MW,1996,PT_ANNUAL,2.0051799999999997,A,0,5,A,MWI,POP_GROWTH
MW,1997,PT_ANNUAL,2.65561,A,0,5,A,MWI,POP_GROWTH
MW,1998,PT_ANNUAL,3.06268,A,0,5,A,MWI,POP_GROWTH
MW,1999,PT_ANNUAL,3.12325,A,0,5,A,MWI,POP_GROWTH
MW,2000,PT_ANNUAL,2.96015,A,0,5,A,MWI,POP_GROWTH
MW,2001,PT_ANNUAL,2.77142,A,0,5,A,MWI,POP_GROWTH
MW,2002,PT_ANNUAL,2.68134,A,0,5,A,MWI,POP_GROWTH
MW,2003,PT_ANNUAL,2.65289,A,0,5,A,MWI,POP_GROWTH
MW,2004,PT_ANNUAL,2.71359,A,0,5,A,MWI,POP_GROWTH
MW,2005,PT_ANNUAL,2.8286,A,0,5,A,MWI,POP_GROWTH
MW,2006,PT_ANNUAL,2.94367,A,0,5,A,MWI,POP_GROWTH
MW,2007,PT_ANNUAL,3.01969,A,0,5,A,MWI,POP_GROWTH
MW,2008,PT_ANNUAL,3.06129,A,0,5,A,MWI,POP_GROWTH
MW,2009,PT_ANNUAL,3.05944,A,0,5,A,MWI,POP_GROWTH
MW,2010,PT_ANNUAL,3.0287900000000003,A,0,5,A,MWI,POP_GROWTH
MW,2011,PT_ANNUAL,2.99115,A,0,5,A,MWI,POP_GROWTH
MW,2012,PT_ANNUAL,2.96121,A,0,5,A,MWI,POP_GROWTH
MW,2013,PT_ANNUAL,2.93732,A,0,5,A,MWI,POP_GROWTH
MW,2014,PT_ANNUAL,2.92294,A,0,5,A,MWI,POP_GROWTH
MW,2015,PT_ANNUAL,2.91437,A,0,5,A,MWI,POP_GROWTH
MW,2016,PT_ANNUAL,2.90482,A,0,5,A,MWI,POP_GROWTH
MW,2017,PT_ANNUAL,2.8902900000000002,A,0,5,A,MWI,POP_GROWTH
