Reference area,Time Period,Unit of measure,Obs value,Obs status,Unit mult,Decimals,Freq,Country-iso3,Indicator name
#geo+reference+area,#date,#meta+unit+measure+name,#indicator+value+num,,#meta+unit+mult+name,#meta+decimals,#indicator+frequency,#country+iso3,#indicator+name
MW,1970,PT_POP,93.947,A,0,5,A,MWI,POP_RUR
MW,1971,PT_POP,93.655,A,0,5,A,MWI,POP_RUR
MW,1972,PT_POP,93.349,A,0,5,A,MWI,POP_RUR
MW,1973,PT_POP,93.03,A,0,5,A,MWI,POP_RUR
MW,1974,PT_POP,92.696,A,0,5,A,MWI,POP_RUR
MW,1975,PT_POP,92.348,A,0,5,A,MWI,POP_RUR
MW,1976,PT_POP,91.985,A,0,5,A,MWI,POP_RUR
MW,1977,PT_POP,91.606,A,0,5,A,MWI,POP_RUR
MW,1978,PT_POP,91.364,A,0,5,A,MWI,POP_RUR
MW,1979,PT_POP,91.159,A,0,5,A,MWI,POP_RUR
MW,1980,PT_POP,90.95,A,0,5,A,MWI,POP_RUR
MW,1981,PT_POP,90.737,A,0,5,A,MWI,POP_RUR
MW,1982,PT_POP,90.519,A,0,5,A,MWI,POP_RUR
MW,1983,PT_POP,90.296,A,0,5,A,MWI,POP_RUR
MW,1984,PT_POP,90.069,A,0,5,A,MWI,POP_RUR
MW,1985,PT_POP,89.837,A,0,5,A,MWI,POP_RUR
MW,1986,PT_POP,89.6,A,0,5,A,MWI,POP_RUR
MW,1987,PT_POP,89.359,A,0,5,A,MWI,POP_RUR
MW,1988,PT_POP,89.066,A,0,5,A,MWI,POP_RUR
MW,1989,PT_POP,88.757,A,0,5,A,MWI,POP_RUR
MW,1990,PT_POP,88.44,A,0,5,A,MWI,POP_RUR
MW,1991,PT_POP,88.115,A,0,5,A,MWI,POP_RUR
MW,1992,PT_POP,87.782,A,0,5,A,MWI,POP_RUR
MW,1993,PT_POP,87.442,A,0,5,A,MWI,POP_RUR
MW,1994,PT_POP,87.093,A,0,5,A,MWI,POP_RUR
MW,1995,PT_POP,86.737,A,0,5,A,MWI,POP_RUR
MW,1996,PT_POP,86.371,A,0,5,A,MWI,POP_RUR
MW,1997,PT_POP,85.998,A,0,5,A,MWI,POP_RUR
MW,1998,PT_POP,85.616,A,0,5,A,MWI,POP_RUR
MW,1999,PT_POP,85.478,A,0,5,A,MWI,POP_RUR
MW,2000,PT_POP,85.39,A,0,5,A,MWI,POP_RUR
MW,2001,PT_POP,85.302,A,0,5,A,MWI,POP_RUR
MW,2002,PT_POP,85.214,A,0,5,A,MWI,POP_RUR
MW,2003,PT_POP,85.125,A,0,5,A,MWI,POP_RUR
MW,2004,PT_POP,85.036,A,0,5,A,MWI,POP_RUR
MW,2005,PT_POP,84.946,A,0,5,A,MWI,POP_RUR
MW,2006,PT_POP,84.856,A,0,5,A,MWI,POP_RUR
MW,2007,PT_POP,84.765,A,0,5,A,MWI,POP_RUR
MW,2008,PT_POP,84.674,A,0,5,A,MWI,POP_RUR
MW,2009,PT_POP,84.571,A,0,5,A,MWI,POP_RUR
MW,2010,PT_POP,84.456,A,0,5,A,MWI,POP_RUR
MW,2011,PT_POP,84.328,A,0,5,A,MWI,POP_RUR
MW,2012,PT_POP,84.188,A,0,5,A,MWI,POP_RUR
MW,2013,PT_POP,84.034,A,0,5,A,MWI,POP_RUR
MW,2014,PT_POP,83.868,A,0,5,A,MWI,POP_RUR
MW,2015,PT_POP,83.687,A,0,5,A,MWI,POP_RUR
MW,2016,PT_POP,83.494,A,0,5,A,MWI,POP_RUR
MW,2017,PT_POP,83.286,A,0,5,A,MWI,POP_RUR
