Reference area,Time Period,Unit of measure,Obs value,Obs status,Unit mult,Decimals,Freq,Country-iso3,Indicator name
#geo+reference+area,#date,#meta+unit+measure+name,#indicator+value+num,,#meta+unit+mult+name,#meta+decimals,#indicator+frequency,#country+iso3,#indicator+name
MW,1990,LCU_INTER,2.6150599999999997,A,0,5,A,MWI,PPP_FCT_PRIV_CONS
MW,1991,LCU_INTER,2.8253,A,0,5,A,MWI,PPP_FCT_PRIV_CONS
MW,1992,LCU_INTER,3.3935699999999995,A,0,5,A,MWI,PPP_FCT_PRIV_CONS
MW,1993,LCU_INTER,4.04692,A,0,5,A,MWI,PPP_FCT_PRIV_CONS
MW,1994,LCU_INTER,5.31069,A,0,5,A,MWI,PPP_FCT_PRIV_CONS
MW,1995,LCU_INTER,9.470189999999999,A,0,5,A,MWI,PPP_FCT_PRIV_CONS
MW,1996,LCU_INTER,12.66008,A,0,5,A,MWI,PPP_FCT_PRIV_CONS
MW,1997,LCU_INTER,13.50126,A,0,5,A,MWI,PPP_FCT_PRIV_CONS
MW,1998,LCU_INTER,17.24993,A,0,5,A,MWI,PPP_FCT_PRIV_CONS
MW,1999,LCU_INTER,24.44378,A,0,5,A,MWI,PPP_FCT_PRIV_CONS
MW,2000,LCU_INTER,30.63995,A,0,5,A,MWI,PPP_FCT_PRIV_CONS
MW,2001,LCU_INTER,36.56192,A,0,5,A,MWI,PPP_FCT_PRIV_CONS
MW,2002,LCU_INTER,41.29784,A,0,5,A,MWI,PPP_FCT_PRIV_CONS
MW,2003,LCU_INTER,44.24838,A,0,5,A,MWI,PPP_FCT_PRIV_CONS
MW,2004,LCU_INTER,48.02026,A,0,5,A,MWI,PPP_FCT_PRIV_CONS
MW,2005,LCU_INTER,53.601780000000005,A,0,5,A,MWI,PPP_FCT_PRIV_CONS
MW,2006,LCU_INTER,59.183040000000005,A,0,5,A,MWI,PPP_FCT_PRIV_CONS
MW,2007,LCU_INTER,62.11739,A,0,5,A,MWI,PPP_FCT_PRIV_CONS
MW,2008,LCU_INTER,65.03276,A,0,5,A,MWI,PPP_FCT_PRIV_CONS
MW,2009,LCU_INTER,70.76144000000001,A,0,5,A,MWI,PPP_FCT_PRIV_CONS
MW,2010,LCU_INTER,74.77956999999999,A,0,5,A,MWI,PPP_FCT_PRIV_CONS
MW,2011,LCU_INTER,78.01701,A,0,5,A,MWI,PPP_FCT_PRIV_CONS
MW,2012,LCU_INTER,92.69406,A,0,5,A,MWI,PPP_FCT_PRIV_CONS
MW,2013,LCU_INTER,116.28076999999999,A,0,5,A,MWI,PPP_FCT_PRIV_CONS
MW,2014,LCU_INTER,141.64851000000002,A,0,5,A,MWI,PPP_FCT_PRIV_CONS
MW,2015,LCU_INTER,172.41875,A,0,5,A,MWI,PPP_FCT_PRIV_CONS
MW,2016,LCU_INTER,207.23828999999998,A,0,5,A,MWI,PPP_FCT_PRIV_CONS
MW,2017,LCU_INTER,226.33935,A,0,5,A,MWI,PPP_FCT_PRIV_CONS
