Reference area,Time Period,Unit of measure,Obs value,Obs status,Unit mult,Decimals,Freq,Country-iso3,Indicator name
#geo+reference+area,#date,#meta+unit+measure+name,#indicator+value+num,,#meta+unit+mult+name,#meta+decimals,#indicator+frequency,#country+iso3,#indicator+name
MW,1990,LCU_INTER,1.1309,A,0,5,A,MWI,PPP_GDP
MW,1991,LCU_INTER,1.21149,A,0,5,A,MWI,PPP_GDP
MW,1992,LCU_INTER,1.34175,A,0,5,A,MWI,PPP_GDP
MW,1993,LCU_INTER,1.67982,A,0,5,A,MWI,PPP_GDP
MW,1994,LCU_INTER,2.0752900000000003,A,0,5,A,MWI,PPP_GDP
MW,1995,LCU_INTER,3.6026800000000003,A,0,5,A,MWI,PPP_GDP
MW,1996,LCU_INTER,5.39013,A,0,5,A,MWI,PPP_GDP
MW,1997,LCU_INTER,6.40355,A,0,5,A,MWI,PPP_GDP
MW,1998,LCU_INTER,7.573160000000001,A,0,5,A,MWI,PPP_GDP
MW,1999,LCU_INTER,10.41956,A,0,5,A,MWI,PPP_GDP
MW,2000,LCU_INTER,13.29845,A,0,5,A,MWI,PPP_GDP
MW,2001,LCU_INTER,16.33362,A,0,5,A,MWI,PPP_GDP
MW,2002,LCU_INTER,34.215309999999995,A,0,5,A,MWI,PPP_GDP
MW,2003,LCU_INTER,37.01712,A,0,5,A,MWI,PPP_GDP
MW,2004,LCU_INTER,41.375209999999996,A,0,5,A,MWI,PPP_GDP
MW,2005,LCU_INTER,44.39108,A,0,5,A,MWI,PPP_GDP
MW,2006,LCU_INTER,51.6674,A,0,5,A,MWI,PPP_GDP
MW,2007,LCU_INTER,52.39131,A,0,5,A,MWI,PPP_GDP
MW,2008,LCU_INTER,57.53122,A,0,5,A,MWI,PPP_GDP
MW,2009,LCU_INTER,61.6082,A,0,5,A,MWI,PPP_GDP
MW,2010,LCU_INTER,68.24602,A,0,5,A,MWI,PPP_GDP
MW,2011,LCU_INTER,76.25918,A,0,5,A,MWI,PPP_GDP
MW,2012,LCU_INTER,88.0352,A,0,5,A,MWI,PPP_GDP
MW,2013,LCU_INTER,110.13633999999999,A,0,5,A,MWI,PPP_GDP
MW,2014,LCU_INTER,130.66487,A,0,5,A,MWI,PPP_GDP
MW,2015,LCU_INTER,155.8301,A,0,5,A,MWI,PPP_GDP
MW,2016,LCU_INTER,184.27068,A,0,5,A,MWI,PPP_GDP
MW,2017,LCU_INTER,205.17635,A,0,5,A,MWI,PPP_GDP
