Reference area,Time Period,Unit of measure,Obs value,Obs status,Unit mult,Decimals,Freq,Country-iso3,Indicator name
#geo+reference+area,#date,#meta+unit+measure+name,#indicator+value+num,,#meta+unit+mult+name,#meta+decimals,#indicator+frequency,#country+iso3,#indicator+name
MW,1990,PT_POP_Y15T49,6.0,A,0,5,A,MWI,PREV_HIV
MW,1991,PT_POP_Y15T49,7.7,A,0,5,A,MWI,PREV_HIV
MW,1992,PT_POP_Y15T49,9.4,A,0,5,A,MWI,PREV_HIV
MW,1993,PT_POP_Y15T49,10.9,A,0,5,A,MWI,PREV_HIV
MW,1994,PT_POP_Y15T49,12.3,A,0,5,A,MWI,PREV_HIV
MW,1995,PT_POP_Y15T49,13.4,A,0,5,A,MWI,PREV_HIV
MW,1996,PT_POP_Y15T49,14.2,A,0,5,A,MWI,PREV_HIV
MW,1997,PT_POP_Y15T49,14.7,A,0,5,A,MWI,PREV_HIV
MW,1998,PT_POP_Y15T49,14.9,A,0,5,A,MWI,PREV_HIV
MW,1999,PT_POP_Y15T49,14.9,A,0,5,A,MWI,PREV_HIV
MW,2000,PT_POP_Y15T49,14.7,A,0,5,A,MWI,PREV_HIV
MW,2001,PT_POP_Y15T49,14.3,A,0,5,A,MWI,PREV_HIV
MW,2002,PT_POP_Y15T49,13.9,A,0,5,A,MWI,PREV_HIV
MW,2003,PT_POP_Y15T49,13.3,A,0,5,A,MWI,PREV_HIV
MW,2004,PT_POP_Y15T49,12.8,A,0,5,A,MWI,PREV_HIV
MW,2005,PT_POP_Y15T49,12.2,A,0,5,A,MWI,PREV_HIV
MW,2006,PT_POP_Y15T49,11.8,A,0,5,A,MWI,PREV_HIV
MW,2007,PT_POP_Y15T49,11.4,A,0,5,A,MWI,PREV_HIV
MW,2008,PT_POP_Y15T49,11.1,A,0,5,A,MWI,PREV_HIV
MW,2009,PT_POP_Y15T49,11.0,A,0,5,A,MWI,PREV_HIV
MW,2010,PT_POP_Y15T49,10.9,A,0,5,A,MWI,PREV_HIV
MW,2011,PT_POP_Y15T49,10.7,A,0,5,A,MWI,PREV_HIV
MW,2012,PT_POP_Y15T49,10.6,A,0,5,A,MWI,PREV_HIV
MW,2013,PT_POP_Y15T49,10.5,A,0,5,A,MWI,PREV_HIV
MW,2014,PT_POP_Y15T49,10.3,A,0,5,A,MWI,PREV_HIV
MW,2015,PT_POP_Y15T49,10.1,A,0,5,A,MWI,PREV_HIV
MW,2016,PT_POP_Y15T49,9.9,A,0,5,A,MWI,PREV_HIV
MW,2017,PT_POP_Y15T49,9.6,A,0,5,A,MWI,PREV_HIV
