Reference area,Time Period,Unit of measure,Obs value,Obs status,Unit mult,Decimals,Freq,Country-iso3,Indicator name
#geo+reference+area,#date,#meta+unit+measure+name,#indicator+value+num,,#meta+unit+mult+name,#meta+decimals,#indicator+frequency,#country+iso3,#indicator+name
MW,1970,GNI,2.26593,A,0,5,A,MWI,TDS
MW,1971,GNI,2.19339,A,0,5,A,MWI,TDS
MW,1972,GNI,2.35732,A,0,5,A,MWI,TDS
MW,1973,GNI,3.05154,A,0,5,A,MWI,TDS
MW,1974,GNI,2.65732,A,0,5,A,MWI,TDS
MW,1975,GNI,2.82127,A,0,5,A,MWI,TDS
MW,1976,GNI,2.81842,A,0,5,A,MWI,TDS
MW,1977,GNI,2.93498,A,0,5,A,MWI,TDS
MW,1978,GNI,4.65984,A,0,5,A,MWI,TDS
MW,1979,GNI,4.64834,A,0,5,A,MWI,TDS
MW,1980,GNI,7.68473,A,0,5,A,MWI,TDS
MW,1981,GNI,9.91055,A,0,5,A,MWI,TDS
MW,1982,GNI,8.49038,A,0,5,A,MWI,TDS
MW,1983,GNI,7.0107800000000005,A,0,5,A,MWI,TDS
MW,1984,GNI,9.206439999999999,A,0,5,A,MWI,TDS
MW,1985,GNI,10.201369999999999,A,0,5,A,MWI,TDS
MW,1986,GNI,12.9978,A,0,5,A,MWI,TDS
MW,1987,GNI,10.27813,A,0,5,A,MWI,TDS
MW,1988,GNI,7.9556,A,0,5,A,MWI,TDS
MW,1989,GNI,6.21877,A,0,5,A,MWI,TDS
MW,1990,GNI,7.21858,A,0,5,A,MWI,TDS
MW,1991,GNI,6.0122,A,0,5,A,MWI,TDS
MW,1992,GNI,6.138319999999999,A,0,5,A,MWI,TDS
MW,1993,GNI,3.85565,A,0,5,A,MWI,TDS
MW,1994,GNI,6.99098,A,0,5,A,MWI,TDS
MW,1995,GNI,8.74301,A,0,5,A,MWI,TDS
MW,1996,GNI,3.9435599999999997,A,0,5,A,MWI,TDS
MW,1997,GNI,3.24463,A,0,5,A,MWI,TDS
MW,1998,GNI,5.06643,A,0,5,A,MWI,TDS
MW,1999,GNI,4.25131,A,0,5,A,MWI,TDS
MW,2000,GNI,3.72335,A,0,5,A,MWI,TDS
MW,2001,GNI,2.7375599999999998,A,0,5,A,MWI,TDS
MW,2002,GNI,1.06905,A,0,5,A,MWI,TDS
MW,2003,GNI,1.32435,A,0,5,A,MWI,TDS
MW,2004,GNI,1.7634400000000001,A,0,5,A,MWI,TDS
MW,2005,GNI,2.1064,A,0,5,A,MWI,TDS
MW,2006,GNI,1.7773700000000001,A,0,5,A,MWI,TDS
MW,2007,GNI,0.76318,A,0,5,A,MWI,TDS
MW,2008,GNI,0.60454,A,0,5,A,MWI,TDS
MW,2009,GNI,0.62861,A,0,5,A,MWI,TDS
MW,2010,GNI,0.30533000000000005,A,0,5,A,MWI,TDS
MW,2011,GNI,0.28831999999999997,A,0,5,A,MWI,TDS
MW,2012,GNI,0.48268999999999995,A,0,5,A,MWI,TDS
MW,2013,GNI,0.82158,A,0,5,A,MWI,TDS
MW,2014,GNI,1.14885,A,0,5,A,MWI,TDS
MW,2015,GNI,1.12026,A,0,5,A,MWI,TDS
MW,2016,GNI,1.4265,A,0,5,A,MWI,TDS
MW,2017,GNI,1.15605,A,0,5,A,MWI,TDS
