Date,Commodity_Name,Unit,Category,Price,Currency,Country,Country_Region,Market_Name
15 12 2019,Beans - Retail,KG,pulses and nuts,829.16,MWK,Malawi,Southern Region,Balaka
15 12 2019,Maize - Retail,KG,cereals and tubers,336.61,MWK,Malawi,Southern Region,Balaka
15 12 2019,Rice - Retail,KG,cereals and tubers,765.22,MWK,Malawi,Southern Region,Balaka
15 12 2019,Groundnuts (shelled) - Retail,KG,pulses and nuts,474.03,MWK,Malawi,Southern Region,Balaka
15 12 2019,Maize - Retail,KG,cereals and tubers,298.5,MWK,Malawi,Southern Region,Liwonde
15 12 2019,Beans - Retail,KG,pulses and nuts,898.69,MWK,Malawi,Southern Region,Lunzu
15 12 2019,Maize - Retail,KG,cereals and tubers,299.51,MWK,Malawi,Southern Region,Lunzu
15 12 2019,Rice - Retail,KG,cereals and tubers,797.64,MWK,Malawi,Southern Region,Lunzu
15 12 2019,Groundnuts (shelled) - Retail,KG,pulses and nuts,987.94,MWK,Malawi,Southern Region,Lunzu
15 12 2019,Beans - Retail,KG,pulses and nuts,863.37,MWK,Malawi,Southern Region,Mangochi
15 12 2019,Maize - Retail,KG,cereals and tubers,303.65,MWK,Malawi,Southern Region,Mangochi
15 12 2019,Rice - Retail,KG,cereals and tubers,674.11,MWK,Malawi,Southern Region,Mangochi
15 12 2019,Groundnuts (shelled) - Retail,KG,pulses and nuts,868.27,MWK,Malawi,Southern Region,Mangochi
15 12 2019,Beans - Retail,KG,pulses and nuts,813.24,MWK,Malawi,Southern Region,Mwanza
15 12 2019,Maize - Retail,KG,cereals and tubers,297.1,MWK,Malawi,Southern Region,Mwanza
15 12 2019,Rice - Retail,KG,cereals and tubers,700,MWK,Malawi,Southern Region,Mwanza
15 12 2019,Groundnuts (shelled) - Retail,KG,pulses and nuts,842.48,MWK,Malawi,Southern Region,Mwanza
15 12 2019,Beans - Retail,KG,pulses and nuts,833.5,MWK,Malawi,Southern Region,Phalombe
15 12 2019,Maize - Retail,KG,cereals and tubers,300,MWK,Malawi,Southern Region,Phalombe
15 12 2019,Rice - Retail,KG,cereals and tubers,671.67,MWK,Malawi,Southern Region,Phalombe
15 12 2019,Groundnuts (shelled) - Retail,KG,pulses and nuts,1000,MWK,Malawi,Southern Region,Phalombe
15 12 2019,Rice (imported) - Retail,KG,cereals and tubers,15000,SOS,Malawi,Southern Region,Marka
15 12 2019,Maize (white) - Retail,KG,cereals and tubers,7650,SOS,Malawi,Southern Region,Marka
15 12 2019,Sorghum (red) - Retail,KG,cereals and tubers,10600,SOS,Malawi,Southern Region,Marka
15 12 2019,Beans - Retail,KG,pulses and nuts,700.2,MWK,Malawi,Southern Region,Nsanje
15 12 2019,Maize - Retail,KG,cereals and tubers,310,MWK,Malawi,Southern Region,Nsanje
15 12 2019,Rice - Retail,KG,cereals and tubers,700.17,MWK,Malawi,Southern Region,Nsanje
15 12 2019,Groundnuts (shelled) - Retail,KG,pulses and nuts,800,MWK,Malawi,Southern Region,Nsanje
15 12 2019,Beans - Retail,KG,pulses and nuts,901.38,MWK,Malawi,Northern Region,Chintheche
15 12 2019,Maize - Retail,KG,cereals and tubers,226.84,MWK,Malawi,Northern Region,Chintheche
15 12 2019,Rice - Retail,KG,cereals and tubers,801.38,MWK,Malawi,Northern Region,Chintheche
15 12 2019,Groundnuts (shelled) - Retail,KG,pulses and nuts,771.6,MWK,Malawi,Northern Region,Chintheche
15 12 2019,Beans - Retail,KG,pulses and nuts,785.67,MWK,Malawi,Northern Region,Embangweni
15 12 2019,Maize - Retail,KG,cereals and tubers,243.97,MWK,Malawi,Northern Region,Embangweni
15 12 2019,Rice - Retail,KG,cereals and tubers,781.9,MWK,Malawi,Northern Region,Embangweni
15 12 2019,Groundnuts (shelled) - Retail,KG,pulses and nuts,780.65,MWK,Malawi,Northern Region,Embangweni
