ISO3,DataId,Indicator,Value,Precision,DHS_CountryCode,CountryName,SurveyYear,SurveyId,IndicatorId,IndicatorOrder,IndicatorType,CharacteristicId,CharacteristicOrder,CharacteristicCategory,CharacteristicLabel,ByVariableId,ByVariableLabel,IsTotal,IsPreferred,SDRID,RegionId,SurveyYearLabel,SurveyType,DenominatorWeighted,DenominatorUnweighted,CILow,CIHigh
#country+code,#meta+id,#indicator+name,#indicator+value+num,#indicator+precision,,#country+name,#date+year,#survey+id,#indicator+code,,,,,,,#indicator+label+code,#indicator+label,,,,,,,,,,
MWI,88094,Total fertility rate 15-49,6.7,1,MW,Malawi,1992,MW1992DHS,FE_FRTR_W_TFR,11763080,I,1000,0,Total,Total,0,,1,1,FEFRTRWTFR,,1992,DHS,,,,
MWI,88083,General fertility rate,223,0,MW,Malawi,1992,MW1992DHS,FE_FRTR_W_GFR,11763100,I,1000,0,Total,Total,0,,1,1,FEFRTRWGFR,,1992,DHS,,,,
MWI,396086,Mean number of children ever born,3.48,2,MW,Malawi,1992,MW1992DHS,FE_CEBA_W_MNC,11863150,I,1000,0,Total,Total,0,,1,1,FECEBAWMNC,,1992,DHS,4849,4849,,
MWI,396085,Mean number of living children,2.55,2,MW,Malawi,1992,MW1992DHS,FE_CEBA_W_MNL,11863160,I,1000,0,Total,Total,0,,1,1,FECEBAWMNL,,1992,DHS,4849,4849,,
MWI,88105,Median age at first birth for women age 25-49,19,1,MW,Malawi,1992,MW1992DHS,FE_AAFB_W_M2B,12103080,I,1000,0,Total,Total,0,,1,1,FEAAFBWM2B,,1992,DHS,,,,
MWI,176411,Women who want no more children,25,1,MW,Malawi,1992,MW1992DHS,PR_DESL_W_WNM,22203010,I,1000,0,Total,Total,1000,Total,1,1,PRDESLWWNM,,1992,DHS,,3489,,
MWI,176076,Women who want no more children,1.6,1,MW,Malawi,1992,MW1992DHS,PR_DESL_W_WNM,22203010,I,1000,0,Total,Total,189000,Living children: 0,1,0,PRDESLWWNM,,1992,DHS,,335,,
MWI,435771,Women who want no more children,5.8,1,MW,Malawi,1992,MW1992DHS,PR_DESL_W_WNM,22203010,I,1000,0,Total,Total,189001,Living children: 1,1,0,PRDESLWWNM,,1992,DHS,,633,,
MWI,350329,Women who want no more children,12.1,1,MW,Malawi,1992,MW1992DHS,PR_DESL_W_WNM,22203010,I,1000,0,Total,Total,189002,Living children: 2,1,0,PRDESLWWNM,,1992,DHS,,620,,
MWI,329654,Women who want no more children,18.2,1,MW,Malawi,1992,MW1992DHS,PR_DESL_W_WNM,22203010,I,1000,0,Total,Total,189003,Living children: 3,1,0,PRDESLWWNM,,1992,DHS,,501,,
MWI,412537,Women who want no more children,34.4,1,MW,Malawi,1992,MW1992DHS,PR_DESL_W_WNM,22203010,I,1000,0,Total,Total,189004,Living children: 4,1,0,PRDESLWWNM,,1992,DHS,,414,,
MWI,536456,Women who want no more children,44.6,1,MW,Malawi,1992,MW1992DHS,PR_DESL_W_WNM,22203010,I,1000,0,Total,Total,189005,Living children: 5,1,0,PRDESLWWNM,,1992,DHS,,383,,
MWI,532285,Women who want no more children,59.6,1,MW,Malawi,1992,MW1992DHS,PR_DESL_W_WNM,22203010,I,1000,0,Total,Total,189006,Living children: 6+,1,0,PRDESLWWNM,,1992,DHS,,603,,
MWI,306933,Mean ideal number of children for all women,5.1,1,MW,Malawi,1992,MW1992DHS,PR_MIDL_W_MNA,22263010,I,1000,0,Total,Total,0,,1,1,PRMIDLWMNA,,1992,DHS,4197,4167,,
MWI,176434,Total wanted fertility rate,5.7,1,MW,Malawi,1992,MW1992DHS,PR_WTFR_W_WFR,22333010,I,1000,0,Total,Total,0,,1,1,PRWTFRWWFR,,1992,DHS,,,,
MWI,124612,Married women currently using any method of contraception,13,1,MW,Malawi,1992,MW1992DHS,FP_CUSM_W_ANY,32633010,I,1000,0,Total,Total,0,,1,1,FPCUSMWANY,,1992,DHS,3492,3489,,
MWI,124613,Married women currently using any modern method of contraception,7.4,1,MW,Malawi,1992,MW1992DHS,FP_CUSM_W_MOD,32633020,I,1000,0,Total,Total,0,,1,1,FPCUSMWMOD,,1992,DHS,3492,3489,,
MWI,518675,Unmet need for family planning,36.5,1,MW,Malawi,1992,MW1992DHS,FP_NADM_W_UNT,32933030,I,1000,0,Total,Total,0,,1,1,FPNADMWUNT,,1992,DHS,3492,3489,,
MWI,124657,Demand for family planning satisfied,26.3,1,MW,Malawi,1992,MW1992DHS,FP_NADM_W_PDS,32933140,I,1000,0,Total,Total,0,,1,1,FPNADMWPDS,,1992,DHS,1729,1802,,
