ISO3,DataId,Indicator,Value,Precision,DHS_CountryCode,CountryName,SurveyYear,SurveyId,IndicatorId,IndicatorOrder,IndicatorType,CharacteristicId,CharacteristicOrder,CharacteristicCategory,CharacteristicLabel,ByVariableId,ByVariableLabel,IsTotal,IsPreferred,SDRID,RegionId,SurveyYearLabel,SurveyType,DenominatorWeighted,DenominatorUnweighted,CILow,CIHigh
#country+code,#meta+id,#indicator+name,#indicator+value+num,#indicator+precision,,#country+name,#date+year,#survey+id,#indicator+code,,,,,,,#indicator+label+code,#indicator+label,,,,,,,,,,
MWI,88094,Total fertility rate 15-49,6.7,1,MW,Malawi,1992,MW1992DHS,FE_FRTR_W_TFR,11763080,I,1000,0,Total,Total,0,,1,1,FEFRTRWTFR,,1992,DHS,,,,
MWI,124612,Married women currently using any method of contraception,13,1,MW,Malawi,1992,MW1992DHS,FP_CUSM_W_ANY,32633010,I,1000,0,Total,Total,0,,1,1,FPCUSMWANY,,1992,DHS,3492,3489,,
MWI,124613,Married women currently using any modern method of contraception,7.4,1,MW,Malawi,1992,MW1992DHS,FP_CUSM_W_MOD,32633020,I,1000,0,Total,Total,0,,1,1,FPCUSMWMOD,,1992,DHS,3492,3489,,
MWI,518675,Unmet need for family planning,36.5,1,MW,Malawi,1992,MW1992DHS,FP_NADM_W_UNT,32933030,I,1000,0,Total,Total,0,,1,1,FPNADMWUNT,,1992,DHS,3492,3489,,
MWI,124658,Demand for family planning satisfied by modern methods,14.9,1,MW,Malawi,1992,MW1992DHS,FP_NADM_W_PDM,32933150,I,1000,0,Total,Total,0,,1,1,FPNADMWPDM,,1992,DHS,1729,1802,,
MWI,224426,Median age at first marriage [Women]: 25-49,17.8,1,MW,Malawi,1992,MW1992DHS,MA_AAFM_W_M2B,41633090,I,1000,0,Total,Total,0,,1,1,MAAAFMWM2B,,1992,DHS,,,,
MWI,250369,Infant mortality rate,135,0,MW,Malawi,1992,MW1992DHS,CM_ECMR_C_IMR,63206030,I,1000,0,Total,Total,14001,Five years preceding the survey,1,1,CMECMRCIMR,,1992,DHS,,,122,148
MWI,249571,Infant mortality rate,136,0,MW,Malawi,1992,MW1992DHS,CM_ECMR_C_IMR,63206030,I,1000,0,Total,Total,14003,Ten years preceding the survey,1,0,CMECMRCIMR,,1992,DHS,,,126,146
MWI,23353,Under-five mortality rate,234,0,MW,Malawi,1992,MW1992DHS,CM_ECMR_C_U5M,63206050,I,1000,0,Total,Total,14001,Five years preceding the survey,1,1,CMECMRCU5M,,1992,DHS,,,217,251
MWI,250386,Under-five mortality rate,240,0,MW,Malawi,1992,MW1992DHS,CM_ECMR_C_U5M,63206050,I,1000,0,Total,Total,14003,Ten years preceding the survey,1,0,CMECMRCU5M,,1992,DHS,,,226,253
MWI,168379,Pregnancy-related mortality ratio,615,0,MW,Malawi,1992,MW1992DHS,MM_MMRO_W_PMR,77033020,I,1000,0,Total,Total,0,,1,1,MMMMROWPMR,,1992,DHS,,,401,828
MWI,381745,Place of delivery: Health facility,53.3,1,MW,Malawi,1992,MW1992DHS,RH_DELP_C_DHF,83566070,I,1000,0,Total,Total,14000,Three years preceding the survey,1,0,RHDELPCDHF,,1992,DHS,2854,2818,,
MWI,464854,Place of delivery: Health facility,55.3,1,MW,Malawi,1992,MW1992DHS,RH_DELP_C_DHF,83566070,I,1000,0,Total,Total,14001,Five years preceding the survey,1,1,RHDELPCDHF,,1992,DHS,4574,4495,,
MWI,292228,Received all 8 basic vaccinations,81.8,1,MW,Malawi,1992,MW1992DHS,CH_VACC_C_BAS,93906230,I,1000,0,Total,Total,0,,1,1,CHVACCCBAS,,1992,DHS,774,780,,
MWI,303858,Treatment of diarrhea: Either ORS or RHF,64.6,1,MW,Malawi,1992,MW1992DHS,CH_DIAT_C_ORT,94106040,I,1000,0,Total,Total,14000,Three years preceding the survey,1,0,CHDIATCORT,,1992,DHS,697,692,,
MWI,202646,Treatment of diarrhea: Either ORS or RHF,63.2,1,MW,Malawi,1992,MW1992DHS,CH_DIAT_C_ORT,94106040,I,1000,0,Total,Total,14001,Five years preceding the survey,1,1,CHDIATCORT,,1992,DHS,821,814,,
MWI,422823,Children stunted,55.2,1,MW,Malawi,1992,MW1992DHS,CN_NUTS_C_HA2,104236020,I,1000,0,Total,Total,0,,1,1,CNNUTSCHA2,,1992,DHS,3213,3174,,
MWI,422819,Children wasted,6.4,1,MW,Malawi,1992,MW1992DHS,CN_NUTS_C_WH2,104236050,I,1000,0,Total,Total,0,,1,1,CNNUTSCWH2,,1992,DHS,3213,3174,,
