Country_Region,Date,Commodity_Name,Price
Central Region,2014-01-15,Beans - Retail,465.22
Central Region,2014-01-15,Cassava - Retail,97.42
Central Region,2014-01-15,Groundnuts (shelled) - Retail,390.03499999999997
Central Region,2014-01-15,Maize - Retail,144.77
Central Region,2014-01-15,Rice - Retail,389.08
Central Region,2014-02-15,Maize - Retail,121.07499999999999
Central Region,2014-03-15,Maize - Retail,113.515
Central Region,2014-03-15,Rice - Retail,478.06
Central Region,2014-04-15,Beans - Retail,396.41
Central Region,2014-04-15,Cassava - Retail,115.525
Central Region,2014-04-15,Groundnuts (shelled) - Retail,428.99
Central Region,2014-04-15,Maize - Retail,97.215
Central Region,2014-04-15,Rice - Retail,402.73
Central Region,2014-05-15,Maize - Retail,88.14500000000001
Central Region,2014-05-15,Rice - Retail,465.54
Central Region,2014-06-15,Maize - Retail,66.82
Central Region,2014-06-15,Rice - Retail,455.04
Central Region,2014-07-15,Maize - Retail,70.64
Central Region,2014-07-15,Rice - Retail,414.5
Central Region,2014-08-15,Maize - Retail,69.27
Central Region,2014-08-15,Rice - Retail,455.04
Central Region,2014-09-15,Beans - Retail,419.17499999999995
Central Region,2014-09-15,Cassava - Retail,130.7
Central Region,2014-09-15,Groundnuts (shelled) - Retail,360.0
Central Region,2014-09-15,Maize - Retail,62.82
Central Region,2014-09-15,Rice - Retail,400.0
Central Region,2014-10-15,Beans - Retail,478.265
Central Region,2014-10-15,Cassava - Retail,109.945
Central Region,2014-10-15,Groundnuts (shelled) - Retail,386.11
Central Region,2014-10-15,Maize - Retail,63.41
Central Region,2014-10-15,Rice - Retail,400.0
Central Region,2014-11-15,Maize - Retail,80.0
Central Region,2014-11-15,Rice - Retail,431.05
Central Region,2014-12-15,Beans - Retail,500.0
Central Region,2014-12-15,Cassava - Retail,125.16499999999999
Central Region,2014-12-15,Groundnuts (shelled) - Retail,410.76
Central Region,2014-12-15,Maize - Retail,66.935
Central Region,2014-12-15,Rice - Retail,408.33500000000004
Central Region,2015-01-15,Beans - Retail,500.0
Central Region,2015-01-15,Cassava - Retail,108.0
Central Region,2015-01-15,Groundnuts (shelled) - Retail,443.985
Central Region,2015-01-15,Maize - Retail,83.08500000000001
Central Region,2015-01-15,Rice - Retail,420.26
Central Region,2015-02-15,Beans - Retail,550.0
Central Region,2015-02-15,Cassava - Retail,149.34
Central Region,2015-02-15,Groundnuts (shelled) - Retail,505.16
Central Region,2015-02-15,Maize - Retail,87.8
Central Region,2015-02-15,Rice - Retail,450.0
Central Region,2015-03-15,Maize - Retail,88.42
Central Region,2015-04-15,Maize - Retail,123.61
Central Region,2015-04-15,Rice - Retail,450.0
Central Region,2015-05-15,Beans - Retail,495.615
Central Region,2015-05-15,Cowpeas - Retail,301.43
Central Region,2015-05-15,Groundnuts (shelled) - Retail,453.35
Central Region,2015-05-15,Maize - Retail,115.54
