ISO3,DataId,Indicator,Value,Precision,DHS_CountryCode,CountryName,SurveyYear,SurveyId,IndicatorId,IndicatorOrder,IndicatorType,CharacteristicId,CharacteristicOrder,CharacteristicCategory,CharacteristicLabel,ByVariableId,ByVariableLabel,IsTotal,IsPreferred,SDRID,RegionId,SurveyYearLabel,SurveyType,DenominatorWeighted,DenominatorUnweighted,CILow,CIHigh
#country+code,#meta+id,#indicator+name,#indicator+value+num,#indicator+precision,,#country+name,#date+year,#survey+id,#indicator+code,,,,,,,#indicator+label+code,#indicator+label,,,,,,,,,,
MWI,541353,Other employer-base health insurance [Women],1.1,1,MW,Malawi,2015,MW2015DHS,AH_HINS_W_EBI,151403020,I,10000,10000,Total 15-49,Total 15-49,0,,1,1,AHHINSWEBI,,2015-16,DHS,24562,24562,,
MWI,541354,Privately purchased commercial insurance [Women],0.4,1,MW,Malawi,2015,MW2015DHS,AH_HINS_W_PRV,151403040,I,10000,10000,Total 15-49,Total 15-49,0,,1,1,AHHINSWPRV,,2015-16,DHS,24562,24562,,
MWI,541352,Other health insurance [Women],0,1,MW,Malawi,2015,MW2015DHS,AH_HINS_W_OTH,151403050,I,10000,10000,Total 15-49,Total 15-49,0,,1,1,AHHINSWOTH,,2015-16,DHS,24562,24562,,
MWI,541351,No health insurance [Women],98.5,1,MW,Malawi,2015,MW2015DHS,AH_HINS_W_NON,151403060,I,10000,10000,Total 15-49,Total 15-49,0,,1,1,AHHINSWNON,,2015-16,DHS,24562,24562,,
MWI,1051,Number of women,24562,0,MW,Malawi,2015,MW2015DHS,AH_HINS_W_NUM,151403070,D,10000,10000,Total 15-49,Total 15-49,0,,1,1,AHHINSWNUM,,2015-16,DHS,,24562,,
MWI,313982,Number of women (unweighted),24562,0,MW,Malawi,2015,MW2015DHS,AH_HINS_W_UNW,151403080,U,10000,10000,Total 15-49,Total 15-49,0,,1,1,AHHINSWUNW,,2015-16,DHS,24562,,,
MWI,153719,Other employer-base health insurance [Men],1.7,1,MW,Malawi,2015,MW2015DHS,AH_HINS_M_EBI,151404100,I,10000,10000,Total 15-49,Total 15-49,0,,1,1,AHHINSMEBI,,2015-16,DHS,7128,7138,,
MWI,153736,Privately purchased commercial insurance [Men],1,1,MW,Malawi,2015,MW2015DHS,AH_HINS_M_PRV,151404120,I,10000,10000,Total 15-49,Total 15-49,0,,1,1,AHHINSMPRV,,2015-16,DHS,7128,7138,,
MWI,153737,Other health insurance [Men],0.2,1,MW,Malawi,2015,MW2015DHS,AH_HINS_M_OTH,151404130,I,10000,10000,Total 15-49,Total 15-49,0,,1,1,AHHINSMOTH,,2015-16,DHS,7128,7138,,
MWI,153718,No health insurance [Men],97.2,1,MW,Malawi,2015,MW2015DHS,AH_HINS_M_NON,151404140,I,10000,10000,Total 15-49,Total 15-49,0,,1,1,AHHINSMNON,,2015-16,DHS,7128,7138,,
MWI,153738,Number of men,7128,0,MW,Malawi,2015,MW2015DHS,AH_HINS_M_NUM,151404150,D,10000,10000,Total 15-49,Total 15-49,0,,1,1,AHHINSMNUM,,2015-16,DHS,,7138,,
MWI,153725,Number of men (unweighted),7138,0,MW,Malawi,2015,MW2015DHS,AH_HINS_M_UNW,151404160,U,10000,10000,Total 15-49,Total 15-49,0,,1,1,AHHINSMUNW,,2015-16,DHS,7128,,,
