ISO3,DataId,Indicator,Value,Precision,DHS_CountryCode,CountryName,SurveyYear,SurveyId,IndicatorId,IndicatorOrder,IndicatorType,CharacteristicId,CharacteristicOrder,CharacteristicCategory,CharacteristicLabel,ByVariableId,ByVariableLabel,IsTotal,IsPreferred,SDRID,RegionId,SurveyYearLabel,SurveyType,DenominatorWeighted,DenominatorUnweighted,CILow,CIHigh
#country+code,#meta+id,#indicator+name,#indicator+value+num,#indicator+precision,,#country+name,#date+year,#survey+id,#indicator+code,,,,,,,#indicator+label+code,#indicator+label,,,,,,,,,,
MWI,89357,Households with at least one mosquito net,41.9,1,MW,Malawi,2004,MW2004DHS,ML_NETP_H_MOS,124661010,I,1000,0,Total,Total,0,,1,1,MLNETPHMOS,,2004,DHS,13664,13664,,
MWI,89366,Households with at least one insecticide-treated mosquito net (ITN),27.4,1,MW,Malawi,2004,MW2004DHS,ML_NETP_H_ITN,124661020,I,1000,0,Total,Total,0,,1,1,MLNETPHITN,,2004,DHS,13664,13664,,
MWI,89361,Mean number of mosquito nets per household,0.7,1,MW,Malawi,2004,MW2004DHS,ML_NETP_H_MNM,124661040,I,1000,0,Total,Total,0,,1,1,MLNETPHMNM,,2004,DHS,13664,13664,,
MWI,89362,Mean number of insecticide-treated mosquito nets (ITNs) per household,0.4,1,MW,Malawi,2004,MW2004DHS,ML_NETP_H_MNI,124661050,I,1000,0,Total,Total,0,,1,1,MLNETPHMNI,,2004,DHS,13664,13664,,
MWI,89370,Number of households,13664,0,MW,Malawi,2004,MW2004DHS,ML_NETP_H_NUM,124661070,D,1000,0,Total,Total,0,,1,1,MLNETPHNUM,,2004,DHS,,13664,,
MWI,89365,Number of households (unweighted),13664,0,MW,Malawi,2004,MW2004DHS,ML_NETP_H_UNW,124661080,U,1000,0,Total,Total,0,,1,1,MLNETPHUNW,,2004,DHS,13664,,,
MWI,89369,Households with at least one mosquito net for every two persons who stayed in the household the previous night,15.1,1,MW,Malawi,2004,MW2004DHS,ML_NETP_H_MS2,124661090,I,1000,0,Total,Total,0,,1,1,MLNETPHMS2,,2004,DHS,13624,13631,,
MWI,89353,Households with at least one insecticide-treated mosquito net (ITN) for every two persons who stayed in the household the previous night,9.4,1,MW,Malawi,2004,MW2004DHS,ML_NETP_H_IT2,124661100,I,1000,0,Total,Total,0,,1,1,MLNETPHIT2,,2004,DHS,13624,13631,,
MWI,89354,Number of households with a least one person who stayed in the household last night,13624,0,MW,Malawi,2004,MW2004DHS,ML_NETP_H_NM2,124661120,D,1000,0,Total,Total,0,,1,1,MLNETPHNM2,,2004,DHS,,13631,,
MWI,89351,Number of households with a least one person who stayed in the household last night (unweighted),13631,0,MW,Malawi,2004,MW2004DHS,ML_NETP_H_UN2,124661130,U,1000,0,Total,Total,0,,1,1,MLNETPHUN2,,2004,DHS,13624,,,
