ISO3,DataId,Indicator,Value,Precision,DHS_CountryCode,CountryName,SurveyYear,SurveyId,IndicatorId,IndicatorOrder,IndicatorType,CharacteristicId,CharacteristicOrder,CharacteristicCategory,CharacteristicLabel,ByVariableId,ByVariableLabel,IsTotal,IsPreferred,SDRID,RegionId,SurveyYearLabel,SurveyType,DenominatorWeighted,DenominatorUnweighted,CILow,CIHigh
#country+code,#meta+id,#indicator+name,#indicator+value+num,#indicator+precision,,#country+name,#date+year,#survey+id,#indicator+code,,,,,,,#indicator+label+code,#indicator+label,,,,,,,,,,
MWI,424272,Households using an improved water source,66.2,1,MW,Malawi,1992,MW1992DHS,WS_SRCE_H_IMP,230161010,I,1000,0,Total,Total,0,,1,1,WSSRCEHIMP,,1992,DHS,5323,5323,,
MWI,424267,Households using water piped into dwelling,1.8,1,MW,Malawi,1992,MW1992DHS,WS_SRCE_H_PIP,230161020,I,1000,0,Total,Total,0,,1,1,WSSRCEHPIP,,1992,DHS,5323,5323,,
MWI,424269,Households using a public tap/standpipe,19.8,1,MW,Malawi,1992,MW1992DHS,WS_SRCE_H_TAP,230161030,I,1000,0,Total,Total,0,,1,1,WSSRCEHTAP,,1992,DHS,5323,5323,,
MWI,424271,Households using a protected well,21.9,1,MW,Malawi,1992,MW1992DHS,WS_SRCE_H_PWL,230161050,I,1000,0,Total,Total,0,,1,1,WSSRCEHPWL,,1992,DHS,5323,5323,,
MWI,424274,Households using an unimproved water source,33.6,1,MW,Malawi,1992,MW1992DHS,WS_SRCE_H_NIM,230161090,I,1000,0,Total,Total,0,,1,1,WSSRCEHNIM,,1992,DHS,5323,5323,,
MWI,424279,Households using surface water,14.5,1,MW,Malawi,1992,MW1992DHS,WS_SRCE_H_SRF,230161130,I,1000,0,Total,Total,0,,1,1,WSSRCEHSRF,,1992,DHS,5323,5323,,
MWI,424277,Households with don't know or missing information on water source,0.1,1,MW,Malawi,1992,MW1992DHS,WS_SRCE_H_DKM,230161150,S,1000,0,Total,Total,0,,1,1,WSSRCEHDKM,,1992,DHS,5323,5323,,
MWI,424281,Households: Total,100,1,MW,Malawi,1992,MW1992DHS,WS_SRCE_H_TOT,230161160,T,1000,0,Total,Total,0,,1,1,WSSRCEHTOT,,1992,DHS,5323,5323,,
MWI,373499,Population living in households using an improved water source,67,1,MW,Malawi,1992,MW1992DHS,WS_SRCE_P_IMP,230162010,I,1000,0,Total,Total,0,,1,1,WSSRCEPIMP,,1992,DHS,23743,24315,,
MWI,373498,Population living in households using water piped into dwelling,2.3,1,MW,Malawi,1992,MW1992DHS,WS_SRCE_P_PIP,230162020,I,1000,0,Total,Total,0,,1,1,WSSRCEPPIP,,1992,DHS,23743,24315,,
MWI,373500,Population living in households using a public tap/standpipe,19.5,1,MW,Malawi,1992,MW1992DHS,WS_SRCE_P_TAP,230162030,I,1000,0,Total,Total,0,,1,1,WSSRCEPTAP,,1992,DHS,23743,24315,,
MWI,373505,Population living in households using a protected well,22.6,1,MW,Malawi,1992,MW1992DHS,WS_SRCE_P_PWL,230162050,I,1000,0,Total,Total,0,,1,1,WSSRCEPPWL,,1992,DHS,23743,24315,,
MWI,373504,Population living in households using an unimproved water source,32.9,1,MW,Malawi,1992,MW1992DHS,WS_SRCE_P_NIM,230162090,I,1000,0,Total,Total,0,,1,1,WSSRCEPNIM,,1992,DHS,23743,24315,,
MWI,373501,Population living in households using surface water,14.1,1,MW,Malawi,1992,MW1992DHS,WS_SRCE_P_SRF,230162130,I,1000,0,Total,Total,0,,1,1,WSSRCEPSRF,,1992,DHS,23743,24315,,
MWI,373502,Population living in households with don't know or missing information on water source,0.1,1,MW,Malawi,1992,MW1992DHS,WS_SRCE_P_DKM,230162150,S,1000,0,Total,Total,0,,1,1,WSSRCEPDKM,,1992,DHS,23743,24315,,
MWI,373506,Population living in households: Total,100,1,MW,Malawi,1992,MW1992DHS,WS_SRCE_P_TOT,230162160,T,1000,0,Total,Total,0,,1,1,WSSRCEPTOT,,1992,DHS,23743,24315,,
MWI,424278,Households with water on the premises,12.2,1,MW,Malawi,1992,MW1992DHS,WS_TIME_H_ONP,230201010,I,1000,0,Total,Total,0,,1,1,WSTIMEHONP,,1992,DHS,5323,5323,,
MWI,424282,Households with water less than 30 minutes away round trip,52.8,1,MW,Malawi,1992,MW1992DHS,WS_TIME_H_L30,230201020,I,1000,0,Total,Total,0,,1,1,WSTIMEHL30,,1992,DHS,5323,5323,,
MWI,424276,Households with water 30 minutes or longer away round trip,32,1,MW,Malawi,1992,MW1992DHS,WS_TIME_H_30P,230201030,I,1000,0,Total,Total,0,,1,1,WSTIMEH30P,,1992,DHS,5323,5323,,
MWI,424283,Household with unknown or missing information on round trip time to water,3,1,MW,Malawi,1992,MW1992DHS,WS_TIME_H_DKM,230201040,S,1000,0,Total,Total,0,,1,1,WSTIMEHDKM,,1992,DHS,5323,5323,,
MWI,424284,Households: Total,100,1,MW,Malawi,1992,MW1992DHS,WS_TIME_H_TOT,230201050,T,1000,0,Total,Total,0,,1,1,WSTIMEHTOT,,1992,DHS,5323,5323,,
MWI,373511,Population living in households with water on the premises,13.1,1,MW,Malawi,1992,MW1992DHS,WS_TIME_P_ONP,230202010,I,1000,0,Total,Total,0,,1,1,WSTIMEPONP,,1992,DHS,23743,24315,,
MWI,373507,Population living in households with water less than 30 minutes away round trip,52.1,1,MW,Malawi,1992,MW1992DHS,WS_TIME_P_L30,230202020,I,1000,0,Total,Total,0,,1,1,WSTIMEPL30,,1992,DHS,23743,24315,,
MWI,373512,Population living in households with water 30 minutes or longer away round trip,32.2,1,MW,Malawi,1992,MW1992DHS,WS_TIME_P_30P,230202030,I,1000,0,Total,Total,0,,1,1,WSTIMEP30P,,1992,DHS,23743,24315,,
MWI,373513,Population living in households with unknown or missing information on round trip time to water,2.7,1,MW,Malawi,1992,MW1992DHS,WS_TIME_P_DKM,230202040,S,1000,0,Total,Total,0,,1,1,WSTIMEPDKM,,1992,DHS,23743,24315,,
MWI,373514,Population living in households: Total,100,1,MW,Malawi,1992,MW1992DHS,WS_TIME_P_TOT,230202050,T,1000,0,Total,Total,0,,1,1,WSTIMEPTOT,,1992,DHS,23743,24315,,
MWI,436503,Number of households,5323,0,MW,Malawi,1992,MW1992DHS,WS_WTRT_H_NUM,230231100,D,1000,0,Total,Total,0,,1,1,WSWTRTHNUM,,1992,DHS,,5323,,
MWI,264349,Number of households (unweighted),5323,0,MW,Malawi,1992,MW1992DHS,WS_WTRT_H_UNW,230231110,U,1000,0,Total,Total,0,,1,1,WSWTRTHUNW,,1992,DHS,5323,,,
MWI,176485,Number of persons,23743,0,MW,Malawi,1992,MW1992DHS,WS_WTRT_P_NUM,230232100,D,1000,0,Total,Total,0,,1,1,WSWTRTPNUM,,1992,DHS,,24315,,
MWI,373515,Number of persons (unweighted),24315,0,MW,Malawi,1992,MW1992DHS,WS_WTRT_P_UNW,230232110,U,1000,0,Total,Total,0,,1,1,WSWTRTPUNW,,1992,DHS,23743,,,
MWI,439592,Households using an improved water source,65.7,1,MW,Malawi,2000,MW2000DHS,WS_SRCE_H_IMP,230161010,I,1000,0,Total,Total,0,,1,1,WSSRCEHIMP,,2000,DHS,14213,14213,,
MWI,439603,Households using water piped into dwelling,2.8,1,MW,Malawi,2000,MW2000DHS,WS_SRCE_H_PIP,230161020,I,1000,0,Total,Total,0,,1,1,WSSRCEHPIP,,2000,DHS,14213,14213,,
